,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.0009960000000000001,0.001008,0.0009460000000000001,0.0009609999999999999,1,85505
1,"Aug 24, 2017",0.0009109999999999999,0.001004,0.000904,0.000997,17,78169
2,"Aug 23, 2017",0.000817,0.000936,0.000814,0.0009109999999999999,1,69983
3,"Aug 22, 2017",0.0008230000000000001,0.0008289999999999999,0.0008060000000000001,0.000819,16,70420
4,"Aug 21, 2017",0.000811,0.0008179999999999999,0.000794,0.000805,0,69348
5,"Aug 20, 2017",0.000953,0.000953,0.000735,0.000814,45,81407
6,"Aug 19, 2017",0.00074,0.0009599999999999999,0.000715,0.000958,10,63077
7,"Aug 18, 2017",0.0008960000000000001,0.0009140000000000001,0.0007160000000000001,0.00074,59,76339
8,"Aug 17, 2017",0.0009220000000000001,0.000925,0.000891,0.0008960000000000001,1,78382
9,"Aug 16, 2017",0.0009550000000000001,0.001021,0.0008289999999999999,0.000923,25,81075
10,"Aug 15, 2017",0.0008609999999999999,0.000965,0.000801,0.0009539999999999999,1,73058
11,"Aug 14, 2017",0.0008939999999999999,0.0009029999999999999,0.000572,0.000859,13,75711
12,"Aug 13, 2017",0.000886,0.000907,0.0008710000000000001,0.000893,0,75051
13,"Aug 12, 2017",0.00043799999999999997,0.000475,0.000433,0.00046399999999999995,0,37007
14,"Aug 11, 2017",0.000643,0.000669,0.00042199999999999996,0.00043799999999999997,0,54315
15,"Aug 10, 2017",0.000665,0.000681,0.00044400000000000006,0.000643,2,56044
16,"Aug 09, 2017",0.000718,0.00072,0.000657,0.000665,33,60457
17,"Aug 08, 2017",0.0007480000000000001,0.000794,0.0007070000000000001,0.000718,9,62972
18,"Aug 07, 2017",0.000741,0.0007599999999999999,0.000697,0.0007469999999999999,1,62296
19,"Aug 06, 2017",0.000556,0.000755,0.000538,0.000742,8,46767
20,"Aug 05, 2017",0.000536,0.000685,0.000348,0.000556,13,44991
21,"Aug 04, 2017",0.000585,0.000664,0.0005139999999999999,0.000536,43,49037
22,"Aug 03, 2017",0.0005139999999999999,0.000588,0.000513,0.000585,15,43014
23,"Aug 02, 2017",0.000573,0.000625,0.000454,0.000513,43,47945
24,"Aug 01, 2017",0.0006580000000000001,0.0006580000000000001,0.000558,0.000573,5,54989
25,"Jul 31, 2017",0.000787,0.000807,0.000634,0.0006580000000000001,1,65683
26,"Jul 30, 2017",0.000734,0.000788,0.000537,0.000786,17,61200
27,"Jul 29, 2017",0.000793,0.000795,0.000651,0.000734,11,66064
28,"Jul 28, 2017",0.000739,0.0008320000000000001,0.000739,0.000799,4,61466
29,"Jul 27, 2017",0.000557,0.000746,0.0005549999999999999,0.000739,9,46243
30,"Jul 26, 2017",0.000543,0.000608,0.00047000000000000004,0.000556,1,45047
31,"Jul 25, 2017",0.000633,0.000691,0.000536,0.000543,22,52439
32,"Jul 24, 2017",0.0005769999999999999,0.000634,0.0005690000000000001,0.000633,14,47753
33,"Jul 23, 2017",0.000573,0.000591,0.000558,0.0005780000000000001,27,47404
34,"Jul 22, 2017",0.000539,0.000766,0.000536,0.000766,1,44484
35,"Jul 21, 2017",0.000833,0.0008349999999999999,0.000529,0.000539,25,68660
36,"Jul 20, 2017",0.00040199999999999996,0.0008529999999999999,0.00035,0.0008269999999999999,9,33112
37,"Jul 19, 2017",0.00045999999999999996,0.000651,0.00036,0.00040300000000000004,111,37853
38,"Jul 18, 2017",0.00044800000000000005,0.00047599999999999997,0.000354,0.000459,6,36788
39,"Jul 17, 2017",0.000281,0.000471,0.000281,0.000446,4,23089
40,"Jul 16, 2017",0.0004969999999999999,0.0005269999999999999,0.00028199999999999997,0.00028199999999999997,54,40722
41,"Jul 15, 2017",0.0005549999999999999,0.000575,0.0004969999999999999,0.0004980000000000001,28,45401
42,"Jul 14, 2017",0.000558,0.0005639999999999999,0.000251,0.000556,991,45567
43,"Jul 13, 2017",0.00047699999999999994,0.00048300000000000003,0.000465,0.000465,22,38911
44,"Jul 12, 2017",0.00046100000000000004,0.00047999999999999996,0.000449,0.00047699999999999994,23,37573
45,"Jul 11, 2017",0.000491,0.000502,0.00046100000000000004,0.00046399999999999995,11,39988
46,"Jul 10, 2017",0.000576,0.000579,0.000479,0.000493,1,46833
47,"Jul 09, 2017",0.000612,0.000614,0.000532,0.000575,33,49673
48,"Jul 08, 2017",0.0005769999999999999,0.000612,0.0005740000000000001,0.000611,3,46781
49,"Jul 07, 2017",0.000598,0.000599,0.000591,0.000592,0,48400
50,"Jul 06, 2017",0.000595,0.000599,0.000591,0.000597,0,48150
51,"Jul 05, 2017",0.0006219999999999999,0.0006219999999999999,0.000606,0.00062,1,50224
52,"Jul 04, 2017",0.000608,0.00063,0.000608,0.0006219999999999999,1,49047
53,"Jul 03, 2017",0.000597,0.000618,0.0004940000000000001,0.000609,31,48155
54,"Jul 02, 2017",0.000586,0.000602,0.0005780000000000001,0.0006,0,47231
55,"Jul 01, 2017",0.000515,0.000524,0.000509,0.0005200000000000001,0,41363
56,"Jun 30, 2017",0.000528,0.000535,0.000513,0.000515,3,42304
57,"Jun 29, 2017",0.0006129999999999999,0.000614,0.000609,0.0006129999999999999,3,49013
58,"Jun 28, 2017",0.000612,0.000621,0.000589,0.0006129999999999999,3,48871
59,"Jun 27, 2017",0.000512,0.000608,0.000481,0.000608,1,40829
60,"Jun 26, 2017",0.000509,0.000509,0.000487,0.0005,0,40608
61,"Jun 25, 2017",0.000539,0.000552,0.0005200000000000001,0.0005200000000000001,40,42906
62,"Jun 24, 2017",0.000646,0.000653,0.000533,0.00054,41,51376
63,"Jun 23, 2017",0.0006,0.000654,0.000595,0.000646,4,47645
64,"Jun 22, 2017",0.0006,0.0006,0.0006,0.0006,3,47601
65,"Jun 21, 2017",0.00055,0.00055,0.00055,0.00055,0,43567
66,"Jun 20, 2017",0.0005,0.00055,0.0005,0.00055,1,39543
67,"Jun 19, 2017",0.0005,0.0005,0.0005,0.0005,2,39451
68,"Jun 18, 2017",0.0006,0.0006,0.0005,0.0005,0,47275
69,"Jun 17, 2017",0.000525,0.0006,0.000525,0.0006,26,41340
70,"Jun 16, 2017",0.000579,0.000598,0.000556,0.000597,33,45501
71,"Jun 15, 2017",0.00059,0.000601,0.0005110000000000001,0.00058,64,46268
72,"Jun 14, 2017",0.000657,0.00066,0.0005639999999999999,0.00059,1,51529
73,"Jun 13, 2017",0.0005549999999999999,0.00058,0.000554,0.0005690000000000001,1,43276
74,"Jun 12, 2017",0.000684,0.000686,0.000529,0.000557,4,53314
75,"Jun 11, 2017",0.000723,0.000723,0.00066,0.000685,1,56266
76,"Jun 10, 2017",0.000674,0.000723,0.000674,0.000723,30,52445
77,"Jun 09, 2017",0.000644,0.000678,0.000642,0.0006730000000000001,3,50037
78,"Jun 08, 2017",0.0006190000000000001,0.0006450000000000001,0.000602,0.0006450000000000001,15,48005
79,"Jun 07, 2017",0.000745,0.0007469999999999999,0.00047300000000000006,0.000616,6,57730
80,"Jun 06, 2017",0.000674,0.0007480000000000001,0.000674,0.000745,169,52064
81,"Jun 05, 2017",0.000629,0.000697,0.000629,0.000672,120,48462
82,"Jun 04, 2017",0.000608,0.000638,0.000371,0.000629,68,46787
83,"Jun 03, 2017",0.000346,0.0006129999999999999,0.00033999999999999997,0.00061,0,26626
84,"Jun 02, 2017",0.000552,0.000606,0.000333,0.00034700000000000003,57,42360
85,"Jun 01, 2017",0.00045700000000000005,0.000553,0.00045700000000000005,0.000552,54,35060
86,"May 31, 2017",0.000283,0.000462,0.000283,0.00045700000000000005,20,21637
87,"May 30, 2017",0.000433,0.00044100000000000004,0.00042199999999999996,0.00043799999999999997,0,33066
88,"May 29, 2017",0.000424,0.00044100000000000004,0.000417,0.00043200000000000004,0,32365
89,"May 27, 2017",0.000425,0.00043799999999999997,0.00035800000000000003,0.00038700000000000003,1,32386
90,"May 26, 2017",0.000411,0.000452,0.000304,0.000424,13,31335
91,"May 25, 2017",0.00021899999999999998,0.000248,0.00020899999999999998,0.00021600000000000002,5,16665
92,"May 24, 2017",0.00021899999999999998,0.00022400000000000002,0.00021600000000000002,0.00022,6,16646
93,"May 23, 2017",0.00035800000000000003,0.000386,0.00035800000000000003,0.000383,2,27183
94,"May 22, 2017",0.000306,0.00038199999999999996,0.000305,0.000359,2,23183
95,"May 21, 2017",0.000348,0.00035499999999999996,0.000301,0.000305,1,26328
96,"May 20, 2017",0.000314,0.000348,0.000297,0.000348,6,23739
97,"May 19, 2017",0.000226,0.000315,0.000226,0.000314,10,17075
98,"May 18, 2017",0.000217,0.000227,0.000217,0.000226,4,16388
99,"May 17, 2017",0.000296,0.000309,0.00021400000000000002,0.000218,11,22247
100,"May 16, 2017",0.00020899999999999998,0.00021,0.000207,0.00020899999999999998,3,15742
101,"May 13, 2017",0.000271,0.000279,0.000258,0.000277,2,20316
102,"May 12, 2017",0.00034700000000000003,0.000348,0.000183,0.000272,3,25948
103,"May 11, 2017",0.000317,0.00035099999999999997,0.000314,0.00034700000000000003,16,23606
104,"May 10, 2017",0.00031600000000000004,0.00032,0.000309,0.00031600000000000004,10,23511
105,"May 09, 2017",0.000293,0.00034700000000000003,0.000292,0.00031600000000000004,10,21736
106,"May 08, 2017",0.00020800000000000001,0.000293,0.000165,0.000293,53,15398
107,"May 07, 2017",0.000204,0.00020800000000000001,0.00020299999999999997,0.00020800000000000001,7,15117
108,"May 05, 2017",0.00021600000000000002,0.000227,0.00021400000000000002,0.00022,1,15906
109,"May 04, 2017",0.00017900000000000001,0.000225,0.00017900000000000001,0.000215,5,13175
