,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",5.84,5.92,5.49,5.55,109583,19466700
1,"Aug 24, 2017",5.6,5.96,5.49,5.84,205889,18660700
2,"Aug 23, 2017",5.56,6.03,5.44,5.6,150874,18510900
3,"Aug 22, 2017",5.81,5.9,5.42,5.57,153374,19356500
4,"Aug 21, 2017",5.58,6.44,5.58,5.76,708013,18564300
5,"Aug 20, 2017",5.16,5.76,4.88,5.57,164977,17179000
6,"Aug 19, 2017",5.27,5.32,4.67,5.15,229527,17548100
7,"Aug 18, 2017",5.14,5.44,5.0,5.32,209744,17098400
8,"Aug 17, 2017",6.02,6.35,4.96,5.25,337332,20008400
9,"Aug 16, 2017",5.35,6.17,4.96,6.01,553881,17777500
10,"Aug 15, 2017",6.14,6.3,5.16,5.47,822503,20414300
11,"Aug 14, 2017",6.41,7.92,5.91,6.11,2726950,21281900
12,"Aug 13, 2017",4.32,6.83,4.3,6.2,1278280,14347200
13,"Aug 12, 2017",4.37,4.58,4.16,4.32,200416,14515700
14,"Aug 11, 2017",4.39,4.54,4.24,4.37,167483,14564300
15,"Aug 10, 2017",4.7,4.83,4.39,4.39,155183,15607900
16,"Aug 09, 2017",4.43,4.94,4.27,4.67,238573,14706300
17,"Aug 08, 2017",4.08,4.74,4.04,4.44,330248,13522800
18,"Aug 07, 2017",3.8,4.2,3.73,4.07,144989,12603500
19,"Aug 06, 2017",4.2,4.2,3.73,3.81,125334,13905800
20,"Aug 05, 2017",4.1,4.27,3.54,4.2,274010,13574700
21,"Aug 04, 2017",4.05,4.34,3.96,4.01,209764,13413800
22,"Aug 03, 2017",3.96,4.13,3.8,4.05,60835,13116000
23,"Aug 02, 2017",3.9,4.08,3.72,3.93,117548,12893000
24,"Aug 01, 2017",3.43,4.21,3.26,3.9,157761,11353100
25,"Jul 31, 2017",3.41,3.48,3.17,3.35,121204,11293000
26,"Jul 30, 2017",3.38,3.62,3.34,3.41,92123,11187500
27,"Jul 29, 2017",3.42,3.55,3.23,3.38,69314,11304100
28,"Jul 28, 2017",3.62,3.72,3.31,3.43,214509,11963000
29,"Jul 27, 2017",3.86,3.99,3.54,3.61,105703,12755300
30,"Jul 26, 2017",4.17,4.25,3.65,3.87,187491,13760800
31,"Jul 25, 2017",5.26,5.61,3.85,4.16,305260,17355300
32,"Jul 24, 2017",4.85,5.97,4.69,5.26,621586,16003300
33,"Jul 23, 2017",4.92,5.08,4.01,4.85,350913,16237300
34,"Jul 22, 2017",4.15,4.92,4.03,4.89,183242,13671200
35,"Jul 21, 2017",4.03,4.39,3.85,4.12,110519,13296000
36,"Jul 20, 2017",3.0,4.15,3.0,4.04,228538,9875380
37,"Jul 19, 2017",3.15,3.43,2.97,3.0,100202,10371700
38,"Jul 18, 2017",2.75,3.35,2.56,3.11,186192,9064150
39,"Jul 17, 2017",2.31,2.74,2.31,2.74,32452,7617410
40,"Jul 16, 2017",2.42,2.48,2.11,2.32,58515,7971920
41,"Jul 15, 2017",2.57,2.65,2.35,2.43,47410,8460610
42,"Jul 14, 2017",2.9,2.92,2.48,2.58,73686,9537310
43,"Jul 13, 2017",3.24,3.49,2.88,2.9,160153,10652900
44,"Jul 12, 2017",2.88,3.23,2.67,3.22,141814,9476110
45,"Jul 11, 2017",2.85,3.01,2.43,2.91,186557,9367290
46,"Jul 10, 2017",3.92,3.97,2.84,2.84,502232,12887200
47,"Jul 09, 2017",4.18,4.64,3.92,3.92,229103,13717600
48,"Jul 08, 2017",4.17,4.23,3.85,4.22,196658,13703100
49,"Jul 07, 2017",5.12,5.16,4.13,4.17,392951,16811300
50,"Jul 06, 2017",5.47,5.58,5.13,5.14,201688,17936600
51,"Jul 05, 2017",5.66,5.78,5.4,5.46,205382,18572700
52,"Jul 04, 2017",5.11,5.93,5.11,5.64,315377,16763200
53,"Jul 03, 2017",4.98,5.36,4.87,5.12,301602,16341900
54,"Jul 02, 2017",4.91,5.02,4.57,5.0,220805,16096600
55,"Jul 01, 2017",5.21,5.67,4.8,4.95,581073,17055300
56,"Jun 30, 2017",5.79,5.83,5.07,5.13,431210,18962500
57,"Jun 29, 2017",6.3,6.3,5.54,5.78,655761,20622800
58,"Jun 28, 2017",6.35,6.61,5.94,6.3,505098,20783400
59,"Jun 27, 2017",6.04,7.31,5.15,6.25,6009290,19775800
60,"Jun 26, 2017",6.45,6.9,4.24,6.04,1242990,21104400
61,"Jun 25, 2017",7.23,7.42,6.21,6.51,469116,23657000
62,"Jun 24, 2017",7.56,7.62,6.95,7.25,269365,24700200
63,"Jun 23, 2017",7.35,7.72,6.87,7.63,566342,24016300
64,"Jun 22, 2017",6.21,7.77,6.18,7.43,1878660,20275100
65,"Jun 21, 2017",6.0,6.43,5.86,6.14,390295,19590100
66,"Jun 20, 2017",6.7,6.77,5.57,6.01,741078,21858800
67,"Jun 19, 2017",6.21,6.95,5.7,6.68,973379,20280500
68,"Jun 18, 2017",5.39,6.21,5.33,6.21,483118,17580500
69,"Jun 17, 2017",5.46,5.58,5.28,5.39,221787,17822500
70,"Jun 16, 2017",5.26,5.76,5.06,5.47,356688,17153200
71,"Jun 15, 2017",6.14,6.23,4.58,5.22,419591,20007100
72,"Jun 14, 2017",5.75,6.67,5.5,6.12,777754,18748300
73,"Jun 13, 2017",5.12,5.82,5.09,5.73,401014,16682400
74,"Jun 12, 2017",6.01,6.44,4.82,5.08,440022,19558400
75,"Jun 11, 2017",6.62,6.79,5.84,6.05,490330,21555400
76,"Jun 10, 2017",7.27,7.54,6.31,6.62,830286,23662500
77,"Jun 09, 2017",6.26,7.98,6.2,7.25,1384710,20365900
78,"Jun 08, 2017",6.31,7.62,6.14,6.28,1080710,20506400
79,"Jun 07, 2017",6.12,7.7,6.0,6.32,2981580,19908700
80,"Jun 06, 2017",5.71,6.52,4.94,6.03,1901360,18574700
81,"Jun 05, 2017",4.29,6.02,4.29,5.7,1558170,13932800
82,"Jun 04, 2017",4.51,4.62,4.3,4.3,300984,14653600
83,"Jun 03, 2017",4.61,4.84,4.42,4.5,380180,14964900
84,"Jun 02, 2017",4.23,4.7,3.95,4.61,438016,13741800
85,"Jun 01, 2017",4.09,4.93,3.76,4.23,1022070,13259500
86,"May 31, 2017",3.21,4.1,3.08,4.08,573008,10403700
87,"May 30, 2017",3.22,3.47,3.06,3.14,186425,10458200
88,"May 29, 2017",2.88,3.46,2.75,3.22,236842,9345650
89,"May 28, 2017",2.74,3.57,2.74,2.89,225422,8884890
90,"May 27, 2017",3.13,3.24,2.25,2.72,149463,10130300
91,"May 26, 2017",3.49,3.99,3.06,3.12,183137,11311000
92,"May 25, 2017",4.31,4.5,3.38,3.52,581641,13970900
93,"May 24, 2017",4.15,4.92,4.1,4.31,594524,13442400
94,"May 23, 2017",3.76,4.18,3.62,4.15,353053,12167900
95,"May 22, 2017",3.99,4.37,3.51,3.79,665936,12919100
96,"May 21, 2017",3.84,4.76,3.79,3.96,690635,12429500
97,"May 20, 2017",3.37,4.11,3.37,3.85,401992,10901200
98,"May 19, 2017",3.18,3.66,3.15,3.38,414607,10278400
99,"May 18, 2017",3.3,3.58,3.11,3.19,610984,10670500
100,"May 17, 2017",3.7,3.88,2.88,3.38,1064670,11935500
101,"May 16, 2017",2.63,4.1,2.52,3.73,2052540,8497060
102,"May 15, 2017",2.83,3.07,2.56,2.61,351096,9140060
103,"May 14, 2017",2.93,3.35,2.59,2.85,595176,9439420
104,"May 13, 2017",2.74,3.55,2.67,2.92,1504310,8837570
105,"May 12, 2017",2.29,3.22,2.09,2.72,1367420,7367770
