,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 24, 2017",0.000166,0.000169,0.000164,0.000167,23,-
1,"Aug 23, 2017",0.000168,0.00016999999999999999,0.00016299999999999998,0.000166,22,-
2,"Aug 18, 2017",0.000171,0.000174,0.000166,0.000168,11,-
3,"Aug 17, 2017",0.00048300000000000003,0.000493,0.000168,0.000172,26,-
4,"Aug 16, 2017",0.00045700000000000005,0.0005200000000000001,8.2e-05,0.00048300000000000003,132,-
5,"Aug 15, 2017",0.00026000000000000003,0.000482,0.00026000000000000003,0.00045599999999999997,2,-
6,"Aug 14, 2017",0.000404,0.000475,0.00025499999999999996,0.000259,109,-
7,"Aug 13, 2017",0.00038700000000000003,0.00041900000000000005,0.000386,0.000412,8,-
8,"Aug 12, 2017",0.00043799999999999997,0.00045700000000000005,0.000336,0.00038700000000000003,123,-
9,"Aug 11, 2017",0.000205,0.00044400000000000006,0.000204,0.00043799999999999997,73,-
10,"Aug 10, 2017",0.000205,0.000207,0.00020299999999999997,0.000205,4,-
11,"Apr 07, 2017",3.5e-05,3.5e-05,3.5e-05,3.5e-05,2,1034
12,"Apr 06, 2017",3.5e-05,3.6e-05,3.5e-05,3.5e-05,2,1012
13,"Mar 30, 2017",7.3e-05,7.3e-05,7.2e-05,7.2e-05,1,2133
14,"Mar 29, 2017",3.1e-05,7.4e-05,2.9999999999999997e-05,7.3e-05,5,918
15,"Mar 28, 2017",3.1e-05,3.2e-05,3.1e-05,3.1e-05,0,911
16,"Mar 23, 2017",7.4e-05,7.4e-05,7.2e-05,7.3e-05,2,2149
17,"Mar 22, 2017",7.8e-05,7.8e-05,7.099999999999999e-05,7.3e-05,2,2294
18,"Mar 21, 2017",8.4e-05,8.7e-05,3.3e-05,7.8e-05,115,2468
19,"Mar 20, 2017",6.4e-05,8.499999999999999e-05,6.3e-05,8.4e-05,5,1857
20,"Mar 19, 2017",4.9e-05,5.3e-05,4.9e-05,5.3e-05,0,1428
21,"Mar 18, 2017",7.7e-05,7.8e-05,4.8e-05,4.9e-05,0,2251
22,"Mar 17, 2017",5.9e-05,9.300000000000001e-05,5.6000000000000006e-05,7.7e-05,261,1725
23,"Mar 16, 2017",3.8e-05,6.2e-05,3.7e-05,5.9e-05,46,1098
24,"Mar 15, 2017",5e-05,5e-05,3.7e-05,3.7e-05,12,1450
25,"Mar 14, 2017",7.4e-05,7.4e-05,4.9e-05,5e-05,39,2161
26,"Mar 13, 2017",7.3e-05,7.4e-05,7.3e-05,7.4e-05,8,2143
27,"Mar 12, 2017",7.099999999999999e-05,7.4e-05,7.099999999999999e-05,7.3e-05,3,2064
28,"Mar 11, 2017",5.6000000000000006e-05,7.099999999999999e-05,5.6000000000000006e-05,7.099999999999999e-05,1,1632
29,"Mar 10, 2017",9.499999999999999e-05,9.6e-05,5.4000000000000005e-05,5.6000000000000006e-05,2,2782
30,"Mar 09, 2017",4.6e-05,9.6e-05,4.6e-05,9.499999999999999e-05,3,1345
31,"Mar 08, 2017",6.1e-05,6.2e-05,4.6e-05,4.6e-05,5,1788
32,"Mar 07, 2017",6.4e-05,8.9e-05,5.9999999999999995e-05,6.1e-05,65,1861
33,"Mar 06, 2017",6.3e-05,6.4e-05,6.3e-05,6.4e-05,4,1853
34,"Mar 05, 2017",6.2e-05,6.3e-05,6.2e-05,6.3e-05,26,1825
35,"Mar 04, 2017",5.1e-05,5.1e-05,5.1e-05,5.1e-05,1,1494
36,"Mar 03, 2017",5e-05,5.1e-05,5e-05,5.1e-05,1,1463
37,"Feb 28, 2017",3.5e-05,3.6e-05,3.5e-05,3.6e-05,0,1036
38,"Feb 27, 2017",4.7e-05,7.099999999999999e-05,3.5e-05,3.5e-05,8,1361
39,"Feb 26, 2017",3.4e-05,4.7e-05,3.4e-05,4.7e-05,1,1004
40,"Feb 25, 2017",4.7e-05,4.7e-05,2.3e-05,3.4e-05,3,1369
41,"Feb 24, 2017",7e-05,7.2e-05,3.5e-05,4.7e-05,1,2057
42,"Feb 23, 2017",6.8e-05,7.099999999999999e-05,6.8e-05,7e-05,6,2001
43,"Feb 22, 2017",4.5e-05,4.5e-05,4.4e-05,4.5e-05,8,1304
44,"Feb 21, 2017",6.500000000000001e-05,7.8e-05,4.5e-05,4.5e-05,44,1892
45,"Feb 20, 2017",5.2000000000000004e-05,5.3e-05,5.2000000000000004e-05,5.3e-05,0,1533
46,"Feb 19, 2017",4.2e-05,7.4e-05,4.2e-05,5.2000000000000004e-05,2,1234
47,"Feb 18, 2017",2.1e-05,7.4e-05,2.1e-05,4.2e-05,175,614
48,"Feb 17, 2017",3.1e-05,3.1e-05,2.1e-05,2.1e-05,2,900
49,"Feb 16, 2017",3.1e-05,3.1e-05,3.1e-05,3.1e-05,3,903
50,"Feb 15, 2017",4e-05,4e-05,4e-05,4e-05,4,1177
51,"Feb 14, 2017",2e-05,4e-05,2e-05,4e-05,4,580
52,"Feb 13, 2017",2.9999999999999997e-05,2.9999999999999997e-05,2e-05,2e-05,0,876
53,"Feb 12, 2017",2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,13,880
54,"Feb 11, 2017",4e-05,4e-05,2.9999999999999997e-05,2.9999999999999997e-05,0,1157
55,"Feb 10, 2017",2e-05,4e-05,1.9e-05,4e-05,3,582
56,"Feb 09, 2017",2.1e-05,2.2e-05,1.9e-05,2e-05,0,623
57,"Feb 08, 2017",2.1e-05,3.2e-05,2.1e-05,2.1e-05,17,621
58,"Feb 07, 2017",2.1e-05,2.1e-05,2.1e-05,2.1e-05,0,608
59,"Feb 06, 2017",3.1e-05,3.1e-05,2.1e-05,2.1e-05,46,912
60,"Feb 05, 2017",3.1e-05,3.1e-05,3.1e-05,3.1e-05,1,915
61,"Feb 04, 2017",4.1e-05,4.1e-05,2.9999999999999997e-05,3.1e-05,6,1206
62,"Feb 03, 2017",4e-05,4.1e-05,4e-05,4.1e-05,24,1183
63,"Feb 02, 2017",4e-05,4.1e-05,3.9e-05,4e-05,28,1158
64,"Feb 01, 2017",3.9e-05,4.9e-05,3.9e-05,4e-05,2,1135
65,"Jan 31, 2017",5.5e-05,6.500000000000001e-05,2.8000000000000003e-05,3.9e-05,30,1615
66,"Jan 30, 2017",3.7e-05,5.5e-05,3.7e-05,5.5e-05,17,1076
67,"Jan 29, 2017",5.5e-05,6.500000000000001e-05,3.7e-05,3.7e-05,9,1618
68,"Jan 28, 2017",5.5e-05,7.4e-05,3.7e-05,5.5e-05,40,1613
69,"Jan 27, 2017",9.2e-05,9.2e-05,3.7e-05,5.5e-05,55,2683
70,"Jan 26, 2017",4.5e-05,9.2e-05,3.7e-05,9.2e-05,139,1319
71,"Jan 25, 2017",3.6e-05,4.5e-05,3.6e-05,4.5e-05,8,1043
72,"Jan 24, 2017",2.7000000000000002e-05,3.6e-05,1.8e-05,3.6e-05,11,799
73,"Jan 23, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,2.8000000000000003e-05,12,812
74,"Jan 22, 2017",1.8e-05,2.8000000000000003e-05,1.8e-05,2.8000000000000003e-05,17,539
75,"Jan 21, 2017",1.8e-05,4.5e-05,1.8e-05,1.8e-05,40,523
76,"Jan 20, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,3,525
77,"Jan 19, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0,524
78,"Jan 18, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.6000000000000002e-05,29,798
79,"Jan 17, 2017",1.7e-05,2.7000000000000002e-05,1.7e-05,2.7000000000000002e-05,30,486
80,"Jan 16, 2017",2.5e-05,2.5e-05,1.6e-05,1.7e-05,9,721
81,"Jan 15, 2017",2.5e-05,8.2e-05,2.4e-05,2.5e-05,3,718
82,"Jan 14, 2017",1.6e-05,0.0001,1.6e-05,2.5e-05,153,482
83,"Jan 13, 2017",8e-06,3.3e-05,8e-06,1.6e-05,28,235
84,"Jan 12, 2017",8e-06,2.4e-05,8e-06,8e-06,48,227
85,"Jan 11, 2017",9e-06,9e-06,8e-06,8e-06,1,265
86,"Jan 10, 2017",9e-06,9e-06,9e-06,9e-06,1,264
87,"Jan 09, 2017",9e-06,9e-06,9e-06,9e-06,1,260
88,"Jan 05, 2017",3.5e-05,3.6e-05,2.7000000000000002e-05,2.8999999999999997e-05,0,1015
89,"Jan 04, 2017",3.3e-05,3.5e-05,3.3e-05,3.5e-05,0,971
90,"Jan 02, 2017",2e-05,2e-05,2e-05,2e-05,23,584
91,"Jan 01, 2017",1e-05,2e-05,1e-05,2e-05,22,282
92,"Dec 31, 2016",1e-05,1.9e-05,1e-05,1e-05,3,281
93,"Dec 30, 2016",9e-06,1e-05,9e-06,1e-05,1,278
94,"Dec 29, 2016",1e-05,1e-05,1e-05,1e-05,1,285
95,"Dec 28, 2016",1e-05,1.9e-05,1e-05,1e-05,2,281
96,"Dec 26, 2016",9e-06,9e-06,9e-06,9e-06,1,262
97,"Dec 25, 2016",9e-06,1.8e-05,9e-06,9e-06,22,263
98,"Dec 24, 2016",9e-06,9e-06,9e-06,9e-06,4,270
99,"Dec 23, 2016",9e-06,9e-06,9e-06,9e-06,11,265
100,"Dec 22, 2016",8e-06,9e-06,8e-06,9e-06,2,244
101,"Dec 21, 2016",8e-06,8e-06,8e-06,8e-06,3,236
102,"Dec 20, 2016",8e-06,8e-06,8e-06,8e-06,3,232
103,"Dec 19, 2016",1.6e-05,1.6e-05,8e-06,8e-06,3,462
