,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",10.61,16.86,5.6,8.28,857,18276
1,"Aug 24, 2017",4.76,10.7,4.76,10.62,8,8210
2,"Aug 23, 2017",10.22,10.64,4.76,4.76,791,17603
3,"Aug 22, 2017",9.05,11.54,7.07,10.24,227,15600
4,"Aug 21, 2017",12.74,12.84,7.8,9.03,125,21948
5,"Aug 20, 2017",13.06,13.06,7.12,12.79,148,22495
6,"Aug 19, 2017",18.08,18.41,10.33,13.12,158,31145
7,"Aug 18, 2017",8.56,18.46,8.52,18.09,1498,14749
8,"Aug 17, 2017",12.23,12.28,8.39,8.59,218,21068
9,"Aug 16, 2017",11.58,12.24,8.08,12.24,106,19950
10,"Aug 15, 2017",8.66,11.7,7.75,11.57,6,14908
11,"Aug 14, 2017",11.65,11.82,8.29,8.63,679,20070
12,"Aug 13, 2017",8.51,11.83,8.49,11.65,2,14654
13,"Aug 12, 2017",8.94,9.28,8.22,8.52,240,15401
14,"Aug 11, 2017",10.25,13.75,8.05,8.95,189,17645
15,"Aug 10, 2017",7.02,14.31,6.99,10.25,1525,12089
16,"Aug 09, 2017",14.73,14.93,7.02,7.02,3098,25352
17,"Aug 08, 2017",13.23,15.51,10.07,14.74,3133,22770
18,"Aug 07, 2017",18.35,19.4,12.9,13.21,34,31591
19,"Aug 06, 2017",10.09,19.33,9.79,18.39,21,17369
20,"Aug 05, 2017",18.84,20.88,9.87,10.09,199,32427
21,"Aug 04, 2017",9.09,18.91,8.58,18.85,507,15641
22,"Aug 03, 2017",9.11,9.43,8.97,9.09,159,15678
23,"Aug 02, 2017",14.44,14.56,8.97,9.1,292,24847
24,"Aug 01, 2017",9.59,15.31,8.93,14.44,153,16501
25,"Jul 31, 2017",12.51,15.36,6.8,9.58,190,21529
26,"Jul 30, 2017",16.61,18.62,11.91,12.49,250,28581
27,"Jul 29, 2017",13.4,16.79,7.49,16.6,282,23058
28,"Jul 28, 2017",14.37,14.71,5.72,13.35,474,24722
29,"Jul 27, 2017",13.89,15.1,11.64,14.33,500,23890
30,"Jul 26, 2017",16.64,16.94,9.73,13.85,730,28627
31,"Jul 25, 2017",15.19,18.93,10.17,16.63,1228,-
32,"Jul 24, 2017",23.65,24.38,8.22,15.16,5970,-
33,"Jul 23, 2017",27.17,28.51,21.12,23.68,30892,-
34,"Jul 22, 2017",29.34,31.44,18.65,27.17,34765,-
35,"Jul 21, 2017",33.98,34.38,20.93,29.35,91426,-
36,"Jul 20, 2017",20.3,35.09,20.3,33.73,30661,-
37,"Jul 19, 2017",13.97,27.06,13.82,20.36,4653,-
