,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.036749000000000004,0.043658999999999996,0.028283,0.036935,7210,196879
1,"Aug 24, 2017",0.019244,0.037755000000000004,0.019224,0.036807,3898,103097
2,"Aug 23, 2017",0.040895999999999995,0.050972,0.019024,0.019236000000000003,7744,219094
3,"Aug 22, 2017",0.040399000000000004,0.044528,0.038388,0.040979,3224,216324
4,"Aug 21, 2017",0.044772,0.054443,0.040237,0.040309,8094,239525
5,"Aug 20, 2017",0.049171,0.057116999999999994,0.040257999999999995,0.040952999999999996,9980,263042
6,"Aug 19, 2017",0.042339999999999996,0.050283999999999995,0.033322000000000004,0.049132,12809,226201
7,"Aug 18, 2017",0.034732,0.060924,0.034694,0.042373,27078,185104
8,"Aug 17, 2017",0.016501,0.050411000000000004,0.016256,0.034837,32106,87762
9,"Aug 16, 2017",0.022094,0.024327,0.015996,0.016517,6520,117445
10,"Aug 15, 2017",0.026724,0.028027999999999997,0.020052,0.022069,6735,141121
11,"Aug 14, 2017",0.060096000000000004,0.060096000000000004,0.019206,0.026654,21020,315085
12,"Aug 13, 2017",0.073797,0.089192,0.044201,0.060055,44499,383118
13,"Aug 12, 2017",0.017153,0.269787,0.015885,0.058122,182523,87883
14,"Aug 11, 2017",0.000343,0.017176,0.000343,0.017166,37972,1742
