,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.4e-05,4.5e-05,4.3e-05,4.4e-05,2,-
1,"Aug 19, 2017",4.1e-05,4.2e-05,4e-05,4.2e-05,0,-
2,"Aug 18, 2017",4.3e-05,4.4e-05,4.1e-05,4.1e-05,53,-
3,"Aug 17, 2017",4.4e-05,4.5e-05,4.2e-05,4.3e-05,0,-
4,"Aug 16, 2017",4.1e-05,4.4e-05,4.1e-05,4.4e-05,9,-
5,"Aug 11, 2017",3.4e-05,3.5e-05,3.4e-05,3.5e-05,35,-
6,"Aug 10, 2017",3.3e-05,3.4e-05,3.3e-05,3.4e-05,38,-
7,"Aug 09, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,0,-
8,"Aug 08, 2017",3.4e-05,3.5e-05,3.4e-05,3.4e-05,68,-
9,"Aug 07, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,0,-
10,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,0,-
11,"Aug 05, 2017",2.8999999999999997e-05,3.3e-05,2.8999999999999997e-05,3.3e-05,0,-
12,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,3,-
13,"Aug 03, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,31,-
14,"Aug 02, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,0,-
15,"Jul 31, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,27,-
16,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.7000000000000002e-05,27,-
17,"Jul 28, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,11,-
18,"Jul 27, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,11,-
19,"Jul 26, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,50,-
20,"Jul 25, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.5e-05,2.6000000000000002e-05,0,-
21,"Jul 24, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,3,-
22,"Jul 23, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,3,-
23,"Jul 22, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,10,-
24,"Jul 21, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.7000000000000002e-05,100,-
25,"Jul 20, 2017",2.3e-05,2.8999999999999997e-05,2.3e-05,2.8000000000000003e-05,44,-
26,"Jul 19, 2017",2.3e-05,2.4e-05,2.2e-05,2.3e-05,130,-
27,"Jul 18, 2017",2.2e-05,4.6e-05,2.2e-05,2.3e-05,308,-
28,"Jul 17, 2017",1.9e-05,4.2e-05,1.9e-05,2.2e-05,391,-
29,"Jul 16, 2017",2e-05,5.6999999999999996e-05,1.9e-05,1.9e-05,16065,-
30,"Jul 15, 2017",2.2e-05,2.2e-05,2e-05,2e-05,60,-
31,"Jul 14, 2017",2.3e-05,2.4e-05,2.2e-05,2.2e-05,93,-
