,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",15.8,17.4,15.76,16.26,18980,15866100
1,"Aug 24, 2017",16.24,16.68,14.74,15.83,42793,16309600
2,"Aug 23, 2017",13.64,18.22,12.95,16.24,224977,13697600
3,"Aug 22, 2017",13.86,14.4,12.31,13.67,19588,13912900
4,"Aug 21, 2017",13.4,14.46,13.22,13.82,21825,13453300
5,"Aug 20, 2017",15.05,15.5,12.86,13.45,22684,15110200
6,"Aug 19, 2017",13.76,16.57,12.08,15.12,52316,13812500
7,"Aug 18, 2017",14.13,14.89,12.74,13.77,9473,14185200
8,"Aug 17, 2017",15.14,15.38,13.85,14.17,18057,15202200
9,"Aug 16, 2017",14.44,16.02,13.63,15.16,35020,14496800
10,"Aug 15, 2017",15.65,16.41,11.7,14.42,58713,15708500
11,"Aug 14, 2017",13.61,15.85,13.21,15.6,64415,13661600
12,"Aug 13, 2017",11.82,21.85,11.7,13.8,463695,11868300
13,"Aug 12, 2017",11.06,13.22,10.54,11.83,9026,11103000
14,"Aug 11, 2017",11.2,11.65,10.33,11.07,18709,11240500
15,"Aug 10, 2017",11.03,13.47,10.96,11.07,51801,11079200
16,"Aug 09, 2017",11.08,15.04,10.27,11.03,91846,11125400
17,"Aug 08, 2017",11.48,17.83,10.07,11.08,166096,11528300
18,"Aug 07, 2017",11.26,11.95,9.78,11.47,9984,11306400
19,"Aug 06, 2017",11.02,11.79,10.5,11.29,11132,11066800
20,"Aug 05, 2017",9.82,11.63,9.82,11.02,4515,9859140
21,"Aug 04, 2017",10.48,11.01,9.4,10.41,21578,10518500
22,"Aug 03, 2017",9.69,10.48,9.55,10.48,12896,9728750
23,"Aug 02, 2017",10.47,10.98,9.53,9.68,13359,10507200
24,"Aug 01, 2017",10.26,11.25,9.53,10.47,8823,10301500
25,"Jul 31, 2017",10.28,10.85,10.06,10.25,5434,10321100
26,"Jul 30, 2017",11.55,11.57,9.67,10.27,7421,11593600
27,"Jul 29, 2017",10.43,13.35,9.61,11.55,15445,10472400
28,"Jul 28, 2017",11.83,13.24,10.29,10.47,20364,11874100
29,"Jul 27, 2017",10.86,11.83,10.82,11.79,6574,10906500
30,"Jul 26, 2017",11.42,11.62,10.37,10.83,7807,11463600
31,"Jul 25, 2017",12.37,12.76,10.42,11.41,4122,12418900
32,"Jul 24, 2017",13.19,13.45,11.75,12.37,4440,13243900
33,"Jul 23, 2017",13.27,13.89,11.95,13.21,9084,13323600
34,"Jul 22, 2017",12.84,15.99,12.78,13.27,15223,12891900
35,"Jul 21, 2017",13.52,14.29,12.64,12.84,12230,13573300
36,"Jul 20, 2017",11.39,13.93,11.1,13.42,19544,11438200
37,"Jul 19, 2017",13.22,13.22,11.1,11.43,28517,13273900
38,"Jul 18, 2017",14.43,16.28,10.29,13.2,159136,14482300
39,"Jul 17, 2017",8.55,20.39,7.15,14.39,243025,8583170
40,"Jul 16, 2017",10.93,11.26,6.65,8.56,4787,10970400
41,"Jul 15, 2017",12.49,13.2,10.47,10.53,6594,12541300
42,"Jul 14, 2017",14.07,14.39,11.21,12.51,14587,14122600
43,"Jul 13, 2017",15.86,15.95,13.95,14.08,13472,15925700
44,"Jul 12, 2017",16.35,16.5,13.58,15.85,28770,16415500
45,"Jul 11, 2017",16.05,17.7,15.46,16.43,21250,16113000
46,"Jul 10, 2017",23.08,23.56,15.97,16.09,40719,23169800
47,"Jul 09, 2017",23.0,30.55,20.31,23.04,193108,23086400
48,"Jul 08, 2017",16.51,22.94,15.1,22.94,22742,16573700
49,"Jul 07, 2017",23.39,23.43,16.35,16.5,24856,23475200
50,"Jul 06, 2017",24.44,24.45,22.77,23.37,33217,24530500
51,"Jul 05, 2017",23.26,27.66,22.44,24.15,117446,23347800
52,"Jul 04, 2017",30.13,30.73,22.7,23.27,265833,30243700
53,"Jul 03, 2017",15.5,60.18,14.87,30.2,2776980,15560700
54,"Jul 02, 2017",12.05,19.95,10.01,15.67,1154070,12092500
55,"Jul 01, 2017",12.83,16.71,12.02,12.05,105301,12874700
56,"Jun 30, 2017",16.4,16.45,11.82,12.83,180251,16463900
57,"Jun 29, 2017",11.81,16.69,11.48,16.37,36062,11851000
58,"Jun 28, 2017",11.19,15.48,10.37,11.82,21034,11227500
59,"Jun 27, 2017",11.23,11.37,9.62,11.11,3756,11269300
60,"Jun 26, 2017",15.95,16.44,9.35,11.23,25723,16012100
61,"Jun 25, 2017",12.62,20.31,10.11,16.21,116791,12669000
62,"Jun 24, 2017",12.72,13.4,10.45,12.65,11372,12771300
63,"Jun 23, 2017",10.71,13.08,9.85,12.73,7612,10746000
64,"Jun 22, 2017",8.88,11.25,8.47,10.71,17743,8915340
65,"Jun 21, 2017",9.56,11.31,7.57,8.88,17260,9598250
66,"Jun 20, 2017",8.27,9.56,7.36,9.56,10920,8298530
67,"Jun 19, 2017",8.23,8.69,8.23,8.69,6876,8259370
68,"Jun 18, 2017",7.75,8.67,7.75,8.23,7335,7781670
69,"Jun 17, 2017",7.51,8.32,7.36,7.75,17746,7533000
70,"Jun 16, 2017",7.11,7.64,7.03,7.51,6246,7139330
71,"Jun 15, 2017",7.91,8.15,5.79,7.12,9117,7938160
72,"Jun 14, 2017",8.67,8.85,7.56,7.91,7934,8696820
73,"Jun 13, 2017",7.87,8.92,7.86,8.67,14218,7901330
74,"Jun 12, 2017",9.39,9.76,7.77,7.9,18232,9421720
75,"Jun 11, 2017",8.39,10.13,8.32,9.4,31250,8420940
76,"Jun 10, 2017",8.24,8.55,6.77,8.48,30368,8271630
77,"Jun 09, 2017",8.27,8.36,8.12,8.23,5867,8298450
78,"Jun 08, 2017",8.67,8.88,7.47,8.28,33543,8703150
79,"Jun 07, 2017",8.34,9.29,7.98,8.63,3972,8368830
80,"Jun 06, 2017",8.15,10.28,7.31,8.34,31219,8179010
81,"Jun 05, 2017",7.84,8.29,7.44,8.13,14711,7867350
82,"Jun 04, 2017",7.7,7.91,7.43,7.84,8614,7731600
83,"Jun 03, 2017",7.8,8.44,7.49,7.73,13843,7823400
84,"Jun 02, 2017",8.11,9.5,7.53,7.8,38066,8139520
85,"Jun 01, 2017",4.77,11.82,4.26,7.57,111180,4790090
86,"May 31, 2017",3.44,4.87,3.44,4.77,5133,3453700
87,"May 30, 2017",4.49,4.7,3.4,3.43,5033,4509560
88,"May 29, 2017",4.36,4.63,3.39,4.49,12986,4370330
89,"May 28, 2017",4.15,4.67,3.2,4.36,3745,4169090
90,"May 27, 2017",4.65,4.65,3.31,4.13,8464,4665390
91,"May 26, 2017",6.24,6.88,4.62,4.63,2269,6260990
92,"May 25, 2017",6.61,7.9,4.72,6.29,34470,6635540
93,"May 24, 2017",6.56,7.44,6.2,6.63,18104,6582380
94,"May 23, 2017",5.8,6.62,5.8,6.55,3791,5816260
95,"May 22, 2017",6.33,6.75,5.65,5.81,6946,6351930
96,"May 21, 2017",6.3,6.46,5.85,6.31,14516,6325030
97,"May 20, 2017",5.91,6.31,5.74,6.31,17236,5929480
98,"May 19, 2017",5.49,5.97,5.49,5.92,5134,5511780
99,"May 18, 2017",5.56,6.42,5.23,5.49,7557,5576010
100,"May 17, 2017",5.91,6.28,3.81,5.56,15227,5927880
101,"May 16, 2017",5.08,6.19,4.76,5.91,21164,5095760
102,"May 15, 2017",3.39,5.18,2.77,5.09,19568,3403360
103,"May 14, 2017",1.95,3.75,1.94,3.39,18736,1952280
104,"May 13, 2017",2.07,2.08,1.7,1.94,2479,2080550
105,"May 12, 2017",2.36,2.59,1.83,2.08,4563,2369560
106,"May 11, 2017",2.4,2.78,2.24,2.36,3768,2408280
107,"May 10, 2017",1.83,2.67,1.82,2.4,3085,1833710
108,"May 09, 2017",2.24,2.43,1.83,1.83,914,2248560
109,"May 08, 2017",2.08,2.45,2.08,2.24,13275,2082930
110,"May 07, 2017",2.21,2.25,2.03,2.08,3363,2218620
111,"May 06, 2017",1.87,2.21,1.87,2.21,1240,1874320
112,"May 05, 2017",1.63,1.99,1.62,1.87,755,1638700
113,"May 04, 2017",2.12,2.28,1.49,1.63,1486,2122140
114,"May 03, 2017",2.06,2.12,1.9,2.11,958,2071220
115,"May 02, 2017",1.99,2.27,1.98,2.06,120,1996030
116,"May 01, 2017",2.14,2.23,1.97,1.99,275,2144490
117,"Apr 30, 2017",2.1,2.23,2.09,2.14,780,2102440
118,"Apr 29, 2017",2.31,2.31,2.09,2.1,4023,2315330
119,"Apr 28, 2017",2.39,2.39,2.1,2.31,1721,2397740
120,"Apr 27, 2017",2.31,2.65,2.31,2.39,1259,2321320
121,"Apr 26, 2017",2.33,2.56,2.31,2.31,2120,2336980
122,"Apr 25, 2017",2.33,2.44,2.27,2.33,3889,2332920
123,"Apr 24, 2017",2.35,2.48,2.08,2.32,194,2361950
124,"Apr 23, 2017",2.22,2.39,2.21,2.35,1567,2224860
125,"Apr 22, 2017",2.23,2.42,2.14,2.22,3257,2236020
126,"Apr 21, 2017",2.6,2.63,2.22,2.23,1940,2611890
127,"Apr 20, 2017",2.78,3.19,1.93,2.6,10605,2789330
128,"Apr 19, 2017",2.02,5.95,1.44,3.38,83608,2023740
129,"Apr 18, 2017",1.73,2.02,1.73,2.02,4050,1740110
130,"Apr 17, 2017",2.0,2.01,1.45,1.74,1802,2005500
131,"Apr 16, 2017",1.96,2.01,1.78,2.0,1796,1964110
132,"Apr 15, 2017",1.69,1.99,1.69,1.96,1478,1699510
