,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",3.78,3.92,3.12,3.4,58625,22163900
1,"Aug 24, 2017",3.66,3.9,3.61,3.79,59919,21446800
2,"Aug 23, 2017",3.95,3.95,3.61,3.66,47996,23101400
3,"Aug 22, 2017",3.77,4.0,3.59,3.96,38587,22042400
4,"Aug 21, 2017",3.84,3.92,3.48,3.77,34869,22453300
5,"Aug 20, 2017",3.96,3.96,3.6,3.85,65105,23097800
6,"Aug 19, 2017",3.77,3.97,3.51,3.97,60307,21987100
7,"Aug 18, 2017",3.85,4.01,3.66,3.77,48479,22483800
8,"Aug 17, 2017",4.13,4.23,3.68,3.86,70421,24093200
9,"Aug 16, 2017",3.55,4.21,3.48,4.13,60260,20702800
10,"Aug 15, 2017",4.39,4.46,3.54,3.54,12359,25580900
11,"Aug 14, 2017",4.66,4.71,3.42,4.38,69702,27182000
12,"Aug 13, 2017",4.68,4.82,3.93,4.66,46304,27290900
13,"Aug 12, 2017",3.6,4.69,3.44,4.68,73535,21023300
14,"Aug 11, 2017",4.28,4.31,3.25,3.61,36734,24978700
15,"Aug 10, 2017",3.93,4.46,3.51,4.13,25543,22898600
16,"Aug 09, 2017",4.33,4.34,3.14,3.93,64470,25241900
17,"Aug 08, 2017",4.09,4.58,3.73,4.33,23501,23815400
18,"Aug 07, 2017",3.86,4.57,3.86,4.09,38522,22482100
19,"Aug 06, 2017",3.57,4.54,3.33,3.87,51984,20766200
20,"Aug 05, 2017",3.44,3.9,3.27,3.34,69939,20024100
21,"Aug 04, 2017",3.48,3.68,3.41,3.44,76036,20284000
22,"Aug 03, 2017",3.79,3.81,3.44,3.49,21624,22075100
23,"Aug 02, 2017",3.28,3.89,3.25,3.79,36298,19089200
24,"Aug 01, 2017",3.71,3.86,3.25,3.28,58682,21622900
25,"Jul 31, 2017",3.01,3.87,2.98,3.71,80202,17524800
26,"Jul 30, 2017",2.98,3.18,2.84,3.01,20752,17341800
27,"Jul 29, 2017",2.92,3.22,2.41,2.98,34730,16968800
28,"Jul 28, 2017",3.53,3.55,2.87,2.92,52166,20551700
29,"Jul 27, 2017",3.64,3.7,3.28,3.53,53544,21199800
30,"Jul 26, 2017",3.61,3.7,3.46,3.59,32070,21007000
31,"Jul 25, 2017",3.84,3.98,3.43,3.62,30567,22330700
32,"Jul 24, 2017",3.91,4.07,3.8,3.84,34563,22742300
33,"Jul 23, 2017",3.93,4.06,3.72,3.9,76623,22830700
34,"Jul 22, 2017",4.01,4.28,3.76,3.93,102581,23312500
35,"Jul 21, 2017",4.04,4.24,3.76,4.01,43617,23509800
