,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000173,0.00017900000000000001,0.000172,0.000174,57,12121
1,"Aug 24, 2017",8.3e-05,0.000175,8.2e-05,0.000173,17,5800
2,"Aug 23, 2017",8.2e-05,0.000128,8.1e-05,8.3e-05,409,5720
3,"Aug 22, 2017",8e-05,8.3e-05,7.2e-05,8.2e-05,72,5601
4,"Aug 21, 2017",8.1e-05,8.2e-05,7.900000000000001e-05,8e-05,67,5680
5,"Aug 20, 2017",8.3e-05,8.3e-05,8.1e-05,8.1e-05,116,5803
6,"Aug 19, 2017",4.1e-05,0.000205,4.1e-05,8.3e-05,118,2876
7,"Aug 18, 2017",0.00021400000000000002,0.000217,4e-05,4.1e-05,177,14979
8,"Aug 17, 2017",8.8e-05,0.00022400000000000002,8.499999999999999e-05,0.000215,23,6144
9,"Aug 16, 2017",0.000125,0.00013000000000000002,8.499999999999999e-05,8.8e-05,16,8723
10,"Aug 15, 2017",0.00021600000000000002,0.000221,4.1e-05,0.000124,46,15145
11,"Aug 14, 2017",0.00020299999999999997,0.00021600000000000002,0.000124,0.00021600000000000002,16,14217
12,"Aug 13, 2017",0.000193,0.00020899999999999998,0.000154,0.00020299999999999997,59,13537
13,"Aug 12, 2017",0.00011,0.000229,0.00011,0.000194,6,7666
14,"Aug 11, 2017",0.00013700000000000002,0.000148,0.00011,0.00011,5,9565
15,"Aug 10, 2017",0.00020099999999999998,0.000202,0.00013700000000000002,0.00013700000000000002,20,14041
16,"Aug 09, 2017",0.000205,0.000206,9.9e-05,0.00020099999999999998,159,14359
17,"Aug 08, 2017",0.000136,0.000207,0.000101,0.000205,32,9497
18,"Aug 07, 2017",0.000258,0.000259,9.8e-05,0.000136,28,18033
19,"Aug 06, 2017",0.00026000000000000003,0.000263,0.00022200000000000003,0.000258,28,18229
20,"Aug 05, 2017",0.000143,0.000299,0.000143,0.00026000000000000003,117,9991
21,"Aug 04, 2017",0.00011200000000000001,0.00020099999999999998,5.6000000000000006e-05,0.000143,58,7806
22,"Aug 03, 2017",0.00021600000000000002,0.00028,0.000139,0.000139,240,15115
23,"Aug 02, 2017",0.000246,0.000248,0.000133,0.00021600000000000002,62,17195
24,"Aug 01, 2017",0.000229,0.000262,0.000226,0.000246,0,16029
25,"Jul 31, 2017",0.00021899999999999998,0.000252,0.00021600000000000002,0.000229,104,15347
26,"Jul 30, 2017",0.000109,0.00022,0.00010400000000000001,0.00021899999999999998,19,7611
27,"Jul 29, 2017",0.000195,0.000195,0.00010700000000000001,0.000109,150,13681
28,"Jul 28, 2017",0.000213,0.000305,0.000194,0.000195,26,14902
29,"Jul 27, 2017",0.000303,0.00031099999999999997,0.00017900000000000001,0.000212,21,21208
30,"Jul 26, 2017",0.000333,0.000339,0.000292,0.000302,99,23298
31,"Jul 25, 2017",0.000359,0.000361,0.000132,0.000333,69,25099
32,"Jul 24, 2017",0.000303,0.000359,0.00022,0.000359,123,21179
33,"Jul 23, 2017",0.000368,0.00037,0.000293,0.000303,285,25757
34,"Jul 22, 2017",0.0004,0.000424,0.000363,0.000368,7,28006
35,"Jul 21, 2017",0.000453,0.000505,0.00027,0.0004,290,31718
36,"Jul 20, 2017",0.00047400000000000003,0.000522,0.000276,0.00045,1412,33152
37,"Jul 19, 2017",0.00053,0.000688,0.000231,0.000475,3582,37074
38,"Jul 18, 2017",0.000533,0.000576,0.000479,0.000529,386,37344
39,"Jul 17, 2017",0.000538,0.0006259999999999999,0.000408,0.000532,942,37689
40,"Jul 16, 2017",0.000397,0.000584,0.000337,0.000539,724,27792
41,"Jul 15, 2017",0.00042199999999999996,0.000731,0.00035499999999999996,0.000398,1488,-
42,"Jul 14, 2017",0.00044500000000000003,0.00049,0.000254,0.00042199999999999996,3451,-
43,"Jul 13, 2017",0.000215,0.00044699999999999997,0.000117,0.00044500000000000003,2787,-
44,"Jul 12, 2017",0.000278,0.00028900000000000003,0.000181,0.000215,451,-
45,"Jul 11, 2017",0.00044500000000000003,0.00045,0.00021,0.000279,1452,-
46,"Jul 10, 2017",0.000551,0.000552,0.000397,0.000446,18767,-
47,"Jul 09, 2017",0.000535,0.000664,0.00043099999999999996,0.0005,61712,-
48,"Jul 08, 2017",0.001051,0.00112,0.00040199999999999996,0.000535,23583,-
49,"Jul 07, 2017",0.000987,0.0017690000000000002,0.000781,0.00105,126177,-
50,"Jul 06, 2017",0.001352,0.001607,0.000959,0.000987,63872,-
51,"Jul 05, 2017",0.000742,0.002506,0.00074,0.001351,80710,-
