,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.22571799999999997,0.43744399999999994,0.22571799999999997,0.35828699999999997,1625,89924
1,"Aug 24, 2017",0.24011100000000002,0.313847,0.20513299999999998,0.226088,746,95242
2,"Aug 23, 2017",0.250303,0.263727,0.23011199999999998,0.23997,1603,98817
3,"Aug 22, 2017",0.28428600000000004,0.293157,0.246002,0.254429,1165,111752
4,"Aug 21, 2017",0.329973,0.33283,0.279102,0.283629,1883,129092
5,"Aug 20, 2017",0.380562,0.387839,0.31865,0.33123,1786,148181
6,"Aug 19, 2017",0.301664,0.384637,0.301664,0.382346,908,117188
7,"Aug 18, 2017",0.249135,0.322395,0.237073,0.301662,1648,96417
8,"Aug 17, 2017",0.24824699999999997,0.278506,0.221648,0.24989899999999998,1340,95624
9,"Aug 16, 2017",0.241887,0.287119,0.234604,0.24846999999999997,1459,92670
10,"Aug 15, 2017",0.367981,0.372409,0.24034899999999998,0.241646,1063,140155
11,"Aug 14, 2017",0.36190500000000003,0.47196899999999997,0.327165,0.366998,1018,137041
12,"Aug 13, 2017",0.44402299999999995,0.5458,0.361349,0.361675,3110,167180
13,"Aug 12, 2017",0.37305,0.963935,0.36904899999999996,0.444429,6049,139684
14,"Aug 11, 2017",0.339658,0.413375,0.33815500000000004,0.373339,1558,126461
15,"Aug 10, 2017",0.268629,0.40999300000000005,0.266737,0.33967800000000004,2260,99438
16,"Aug 09, 2017",0.276733,0.305899,0.263783,0.268617,2082,101411
17,"Aug 08, 2017",0.275696,0.324154,0.270464,0.2769,1699,100507
18,"Aug 07, 2017",0.564512,0.570652,0.27504,0.275424,972,204596
19,"Aug 06, 2017",0.260972,0.6021920000000001,0.25595500000000004,0.563361,1390,94023
20,"Aug 05, 2017",0.255728,0.315288,0.254369,0.260782,425,91545
21,"Aug 04, 2017",0.22662100000000002,0.259306,0.22144499999999998,0.255842,1315,80713
22,"Aug 03, 2017",0.20790999999999998,0.27902,0.145172,0.226675,3574,73689
23,"Aug 02, 2017",0.24847600000000003,0.278292,0.204312,0.20752800000000002,766,86538
24,"Aug 01, 2017",0.28631599999999996,0.290665,0.24026399999999998,0.248521,511,99089
25,"Jul 31, 2017",0.277017,0.287507,0.270294,0.28617800000000004,506,95323
26,"Jul 30, 2017",0.28629899999999997,0.296955,0.264022,0.276733,1144,97947
27,"Jul 29, 2017",0.29641799999999996,0.298914,0.270059,0.28876399999999997,549,100875
28,"Jul 28, 2017",0.33058699999999996,0.360059,0.292749,0.297516,1449,111896
29,"Jul 27, 2017",0.303356,0.370002,0.302211,0.328904,940,102055
30,"Jul 26, 2017",0.310463,0.331936,0.29343600000000003,0.30252199999999996,1186,103870
31,"Jul 25, 2017",0.373,0.41027299999999994,0.30444499999999997,0.310325,2540,124102
32,"Jul 24, 2017",0.399683,0.408819,0.33870500000000003,0.373031,1222,132075
33,"Jul 23, 2017",0.434216,0.46856499999999995,0.38623,0.400147,1447,142412
34,"Jul 22, 2017",0.45068500000000006,0.495055,0.4061,0.46293500000000004,1385,146751
35,"Jul 21, 2017",0.496659,0.6134109999999999,0.43034799999999995,0.450746,1867,160625
36,"Jul 20, 2017",0.47339200000000003,0.616827,0.452855,0.493022,1646,151803
37,"Jul 19, 2017",0.541536,0.5997359999999999,0.471896,0.481583,1955,172282
38,"Jul 18, 2017",0.5290020000000001,0.615826,0.502839,0.540675,3533,164327
39,"Jul 17, 2017",0.448508,0.6390060000000001,0.42538400000000004,0.527638,3336,138270
40,"Jul 16, 2017",0.585583,0.616707,0.391698,0.42619799999999997,3310,179188
41,"Jul 15, 2017",0.689,0.782796,0.584082,0.587348,3532,209156
42,"Jul 14, 2017",0.656896,1.03,0.6116729999999999,0.690182,10004,197753
43,"Jul 13, 2017",0.556683,0.951341,0.556683,0.6573760000000001,24536,166120
44,"Jul 12, 2017",0.33726,0.78981,0.327088,0.700385,17826,99801
45,"Jul 11, 2017",0.466681,0.472641,0.335395,0.33775900000000003,4507,136904
46,"Jul 10, 2017",0.5423600000000001,0.56784,0.455834,0.467721,2307,157682
47,"Jul 09, 2017",0.6761560000000001,0.7019920000000001,0.5400020000000001,0.5413060000000001,5286,194804
48,"Jul 08, 2017",0.6959850000000001,0.849541,0.649416,0.675553,3070,198622
49,"Jul 07, 2017",0.751011,0.8557469999999999,0.629386,0.6954130000000001,6206,212297
50,"Jul 06, 2017",0.683601,0.99841,0.5207149999999999,0.696353,8145,191500
51,"Jul 05, 2017",0.478102,0.922931,0.458746,0.683269,22387,132755
52,"Jul 04, 2017",0.486196,0.507446,0.39116100000000004,0.47836000000000006,5548,133894
53,"Jul 03, 2017",0.260651,0.48781899999999995,0.256443,0.487303,3617,71137
