,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.3e-05,4.5e-05,4.3e-05,4.4e-05,6,-
1,"Aug 24, 2017",4.1e-05,4.4e-05,4.1e-05,4.3e-05,430,-
2,"Aug 23, 2017",4.1e-05,4.3e-05,4.1e-05,4.1e-05,9,-
3,"Aug 22, 2017",4e-05,4.1e-05,3.6e-05,4.1e-05,1,-
4,"Aug 21, 2017",4.1e-05,4.1e-05,4e-05,4e-05,5,-
5,"Aug 20, 2017",4.1e-05,4.2e-05,4e-05,4.1e-05,31,-
6,"Aug 19, 2017",4.1e-05,8.3e-05,4e-05,4.2e-05,345,-
7,"Aug 18, 2017",4.3e-05,4.4e-05,4e-05,4.1e-05,24,-
8,"Aug 17, 2017",4.4e-05,8.9e-05,4.3e-05,4.3e-05,34,-
9,"Aug 16, 2017",8.3e-05,8.4e-05,3.9e-05,4.4e-05,15,-
10,"Aug 15, 2017",4.3e-05,8.4e-05,3.9e-05,8.3e-05,26,-
11,"Aug 14, 2017",4.1e-05,8.6e-05,4e-05,4.3e-05,230,-
12,"Aug 13, 2017",3.9e-05,8.2e-05,3.9e-05,4.1e-05,203,-
13,"Aug 12, 2017",3.7e-05,7.8e-05,3.6e-05,3.9e-05,186,-
14,"Aug 11, 2017",3.4e-05,7e-05,3.4e-05,3.7e-05,16,-
15,"Aug 10, 2017",3.3e-05,6.9e-05,3.3e-05,3.4e-05,119,-
16,"Aug 09, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,29,-
17,"Aug 08, 2017",3.4e-05,7e-05,3.3e-05,3.4e-05,83,-
18,"Aug 07, 2017",3.2e-05,6.500000000000001e-05,3.2e-05,3.4e-05,98,-
19,"Aug 06, 2017",6.500000000000001e-05,6.6e-05,3.2e-05,3.2e-05,73,-
20,"Aug 05, 2017",5.6999999999999996e-05,6.6e-05,3.1e-05,6.500000000000001e-05,273,-
21,"Aug 04, 2017",2.8000000000000003e-05,5.6999999999999996e-05,2.8000000000000003e-05,5.6999999999999996e-05,66,-
22,"Aug 03, 2017",2.7000000000000002e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8000000000000003e-05,288,-
23,"Aug 02, 2017",2.7000000000000002e-05,5.4000000000000005e-05,2.7000000000000002e-05,2.7000000000000002e-05,38,-
24,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.7000000000000002e-05,43,-
25,"Jul 31, 2017",2.7000000000000002e-05,5.6999999999999996e-05,2.7000000000000002e-05,2.8999999999999997e-05,14,-
26,"Jul 30, 2017",5.4000000000000005e-05,5.5e-05,2.6000000000000002e-05,2.7000000000000002e-05,386,-
27,"Jul 29, 2017",5.6000000000000006e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.4000000000000005e-05,79,-
28,"Jul 28, 2017",5.3e-05,5.6000000000000006e-05,2.7000000000000002e-05,5.6000000000000006e-05,185,-
29,"Jul 27, 2017",5e-05,5.4000000000000005e-05,2.5e-05,5.3e-05,161,-
30,"Jul 26, 2017",2.6000000000000002e-05,5.1e-05,2.4e-05,5e-05,54,-
31,"Jul 25, 2017",2.8000000000000003e-05,5.4000000000000005e-05,2.5e-05,2.6000000000000002e-05,459,-
32,"Jul 24, 2017",5.5e-05,5.6000000000000006e-05,2.7000000000000002e-05,2.8000000000000003e-05,34,-
33,"Jul 23, 2017",2.8000000000000003e-05,5.6999999999999996e-05,2.7000000000000002e-05,5.5e-05,148,-
34,"Jul 22, 2017",5.3e-05,5.6999999999999996e-05,2.7000000000000002e-05,2.8000000000000003e-05,68,-
35,"Jul 21, 2017",2.8000000000000003e-05,5.6000000000000006e-05,2.6000000000000002e-05,5.3e-05,78,-
36,"Jul 20, 2017",4.5e-05,5.4000000000000005e-05,2.3e-05,2.8000000000000003e-05,7,-
37,"Jul 19, 2017",2.3e-05,4.7e-05,2.2e-05,4.5e-05,210,-
38,"Jul 18, 2017",4.4e-05,4.7e-05,2.2e-05,2.3e-05,150,-
39,"Jul 17, 2017",1.9e-05,4.4e-05,1.9e-05,4.4e-05,88,-
40,"Jul 16, 2017",2e-05,4.1e-05,1.8e-05,1.9e-05,83,-
41,"Jul 15, 2017",2.2e-05,4.3e-05,2e-05,2e-05,408,-
42,"Jul 14, 2017",2.3e-05,4.7e-05,2.2e-05,2.2e-05,275,-
43,"Jul 13, 2017",4.8e-05,4.8e-05,2.3e-05,2.3e-05,808,-
44,"Jul 12, 2017",4.6e-05,4.8e-05,2.3e-05,4.8e-05,451,-
45,"Jul 11, 2017",4.7e-05,4.8e-05,2.3e-05,4.6e-05,1090,-
46,"Jul 10, 2017",2.5e-05,5e-05,2.3e-05,4.7e-05,3575,-
47,"Jul 09, 2017",5.1e-05,5.1e-05,2.5e-05,2.5e-05,162,-
48,"Jul 08, 2017",5e-05,5.1e-05,2.5e-05,5.1e-05,1992,-
49,"Jul 07, 2017",5.2000000000000004e-05,5.2000000000000004e-05,2.5e-05,5e-05,2371,-
50,"Jul 06, 2017",2.6000000000000002e-05,5.2000000000000004e-05,2.6000000000000002e-05,5.2000000000000004e-05,10425,-
51,"Jul 05, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,383,-
52,"Jul 04, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,466,-
53,"Jul 03, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,50,-
54,"Jul 02, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,1547,-
55,"Jul 01, 2017",2.5e-05,2.5e-05,2.4e-05,2.4e-05,8,-
56,"Jun 30, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,259,-
57,"Jun 29, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,43,-
58,"Jun 28, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,842,-
59,"Jun 27, 2017",2.4e-05,2.5e-05,2.3e-05,2.5e-05,266,-
60,"Jun 26, 2017",2.5e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,175,-
61,"Jun 25, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,1,-
62,"Jun 24, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,26,-
63,"Jun 23, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,182,-
64,"Jun 22, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,6,-
65,"Jun 21, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,58,-
66,"Jun 20, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,12,-
