,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8e-06,1.7e-05,3e-06,1.7e-05,1926,3275940
1,"Aug 24, 2017",3.9e-05,4.2e-05,8e-06,8e-06,9990,15979400
2,"Aug 23, 2017",1e-06,4e-05,9.7e-07,3.9e-05,4632,524986
3,"Aug 22, 2017",1.6e-05,2.1e-05,1e-06,1e-06,620,6513060
4,"Aug 21, 2017",5e-06,1.9e-05,3e-06,1.6e-05,350,1943970
5,"Aug 20, 2017",2e-06,5e-06,1e-06,5e-06,2574,680208
6,"Aug 19, 2017",1.3000000000000001e-05,2e-05,2e-06,2e-06,2696,5112170
7,"Aug 18, 2017",5e-06,1.3000000000000001e-05,3e-06,1.3000000000000001e-05,940,1917970
8,"Aug 17, 2017",1.3000000000000001e-05,1.6e-05,3e-06,5e-06,1654,4822960
9,"Aug 16, 2017",5e-06,1.3000000000000001e-05,1e-06,1.3000000000000001e-05,889,2056620
10,"Aug 15, 2017",5e-06,1.1e-05,5e-06,8e-06,580,2052480
11,"Aug 14, 2017",1.3000000000000001e-05,1.4000000000000001e-05,5e-06,5e-06,1342,4964570
12,"Aug 13, 2017",1e-06,1.3000000000000001e-05,9.4e-07,1.3000000000000001e-05,1005,400517
13,"Aug 12, 2017",4e-06,6e-06,1e-06,1e-06,1080,1442430
14,"Aug 11, 2017",9e-06,9e-06,1e-06,5e-06,1352,2934500
15,"Aug 10, 2017",1e-06,9e-06,1e-06,9e-06,657,439988
16,"Aug 09, 2017",2e-06,3e-06,1e-06,1e-06,681,771815
17,"Aug 08, 2017",1e-05,1.1e-05,2e-06,2e-06,1442,3152970
18,"Aug 07, 2017",5e-06,1e-05,2e-06,1e-05,1317,1589110
19,"Aug 06, 2017",2e-06,5e-06,1e-06,5e-06,900,753681
20,"Aug 05, 2017",9e-06,9e-06,2e-06,2e-06,665,2878640
21,"Aug 04, 2017",3e-06,1e-05,3e-06,9e-06,864,1040750
22,"Aug 03, 2017",2e-06,4e-06,2e-06,3e-06,1829,588354
23,"Aug 02, 2017",6e-06,7.000000000000001e-06,2e-06,2e-06,3158,1917700
24,"Aug 01, 2017",2.4e-05,2.8999999999999997e-05,6e-06,6e-06,4302,7252790
25,"Jul 31, 2017",1.1e-05,2.8000000000000003e-05,1e-05,2.4e-05,15016,3337500
26,"Jul 30, 2017",5e-06,2e-05,3e-06,1.1e-05,3757,1622440
27,"Jul 29, 2017",4e-06,6e-06,2e-06,6e-06,583,1098000
28,"Jul 28, 2017",2.5e-05,2.6000000000000002e-05,3e-06,4e-06,1519,7423420
29,"Jul 27, 2017",3e-06,2.5e-05,3e-06,2.5e-05,3702,991090
30,"Jul 26, 2017",7.000000000000001e-06,8e-06,1e-06,3e-06,851,2164740
31,"Jul 25, 2017",3e-06,1e-05,1e-06,7.000000000000001e-06,1176,852233
32,"Jul 24, 2017",2e-06,9e-06,1e-06,3e-06,1160,433868
33,"Jul 23, 2017",4e-06,5e-06,1e-06,2e-06,190,1094480
34,"Jul 22, 2017",4e-06,5e-06,3e-06,4e-06,1526,1248950
35,"Jul 21, 2017",3e-06,5e-06,2e-06,4e-06,1068,783165
36,"Jul 20, 2017",2e-06,3e-06,1e-06,3e-06,823,465792
37,"Jul 19, 2017",2e-06,2e-06,1e-06,2e-06,1723,499301
38,"Jul 18, 2017",1.4999999999999999e-05,1.4999999999999999e-05,2e-06,2e-06,801,4087330
39,"Jul 17, 2017",2e-06,1.4999999999999999e-05,2e-06,1.4999999999999999e-05,194,431682
40,"Jul 16, 2017",1.7e-05,1.7e-05,1e-06,2e-06,582,4510180
41,"Jul 15, 2017",6e-06,1.7e-05,6e-06,1.7e-05,1568,1565320
42,"Jul 14, 2017",2e-06,7.000000000000001e-06,2e-06,6e-06,1892,605341
43,"Jul 13, 2017",1.4000000000000001e-05,1.4000000000000001e-05,2e-06,2e-06,1777,3610950
44,"Jul 12, 2017",1.9e-05,2e-05,9e-06,1.4000000000000001e-05,685,5111640
45,"Jul 11, 2017",8e-06,2.1e-05,3e-06,2e-05,3397,1980620
46,"Jul 10, 2017",7.000000000000001e-06,1.4000000000000001e-05,7.000000000000001e-06,8e-06,817,1712200
47,"Jul 09, 2017",2e-05,2.2e-05,4e-06,7.000000000000001e-06,612,4776650
48,"Jul 08, 2017",9e-06,2.1e-05,3e-06,2e-05,553,1995550
49,"Jul 07, 2017",2e-06,1e-05,2e-06,9e-06,102,497705
50,"Jul 06, 2017",4e-06,4e-06,2e-06,2e-06,1252,824872
51,"Jul 05, 2017",4e-06,7.000000000000001e-06,3e-06,3e-06,1511,983547
52,"Jul 04, 2017",1.2e-05,1.6e-05,3e-06,5e-06,444,2606010
53,"Jul 03, 2017",8e-06,1.3000000000000001e-05,4e-06,1.2e-05,872,1857310
54,"Jul 02, 2017",1.6e-05,1.6e-05,7.000000000000001e-06,8e-06,207,3452280
55,"Jul 01, 2017",6e-06,1.8e-05,3e-06,1.6e-05,146,1263160
56,"Jun 30, 2017",1.6e-05,1.6e-05,4e-06,6e-06,863,3422950
57,"Jun 29, 2017",4e-06,2.2e-05,2e-06,1.6e-05,2190,971389
58,"Jun 28, 2017",9e-06,1.8e-05,4e-06,4e-06,245,1965760
59,"Jun 27, 2017",1.7e-05,1.7e-05,5e-06,9e-06,1091,3565260
60,"Jun 26, 2017",2.5e-05,2.5e-05,1.7e-05,1.7e-05,913,5232460
61,"Jun 25, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.3e-05,2.5e-05,1147,5419300
62,"Jun 24, 2017",2.5e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,2426,5319750
63,"Jun 23, 2017",2e-05,2.7000000000000002e-05,2e-05,2.5e-05,3282,4236810
64,"Jun 22, 2017",2e-05,2.3e-05,1.4999999999999999e-05,2e-05,1585,4113460
65,"Jun 21, 2017",2e-05,7.3e-05,1.6e-05,2e-05,2506,4079810
66,"Jun 20, 2017",2.2e-05,2.2e-05,1.4000000000000001e-05,2e-05,666,4590830
67,"Jun 19, 2017",2.3e-05,2.4e-05,2.2e-05,2.2e-05,6469,4676120
68,"Jun 18, 2017",7.9e-08,2.5e-05,7.8e-08,2.3e-05,2964,16065
69,"Jun 17, 2017",5e-06,5e-06,7.7e-08,8e-08,0,1016890
70,"Jun 16, 2017",1.1e-07,9e-06,1e-07,5e-06,0,21503
71,"Jun 15, 2017",1e-06,9e-06,8e-08,1.1e-07,12,250319
72,"Jun 14, 2017",2.3e-07,1e-06,2.3e-07,1e-06,357,44966
73,"Jun 13, 2017",2.1e-07,2.5e-07,6.5e-08,2.3e-07,24,41727
74,"Jun 12, 2017",2.6e-07,2.7e-07,6.7e-08,2.2e-07,22,50174
75,"Jun 11, 2017",1.3e-07,2.7e-07,1.2e-07,2.6e-07,142,25507
76,"Jun 10, 2017",2.3e-07,2.4e-07,1.2e-07,1.3e-07,1,44189
77,"Jun 09, 2017",3e-07,3.1e-07,2.2e-07,2.3e-07,7,56869
78,"Jun 08, 2017",1.2e-07,2.2e-07,9.1e-08,9.5e-08,15,22515
79,"Jun 07, 2017",1.1e-07,1.9e-07,9.199999999999999e-08,1.3e-07,16,20115
80,"Jun 06, 2017",9.199999999999999e-08,1.1e-07,8e-08,1.1e-07,12,16452
81,"Jun 05, 2017",7.1e-08,1.3e-07,6.2e-08,9.9e-08,19,12569
82,"Jun 04, 2017",1e-07,1.4e-07,6.900000000000001e-08,7e-08,5,18428
83,"Jun 03, 2017",1.1e-07,1.5e-07,8.199999999999999e-08,1e-07,66,19719
84,"Jun 02, 2017",1.7e-07,1.7e-07,7.5e-08,1.1e-07,87,29503
85,"Jun 01, 2017",9.1e-08,1.7e-07,4.8e-08,1.7e-07,52,15747
86,"May 31, 2017",4.2e-08,9.1e-08,2.8999999999999998e-08,9e-08,99,7116
87,"May 30, 2017",4e-08,4.4000000000000004e-08,3.6e-08,4.0999999999999997e-08,25,6854
88,"May 29, 2017",4.3e-08,1.9e-07,2.8e-08,4e-08,28,7350
89,"May 28, 2017",3.2e-08,6.099999999999999e-08,2.8999999999999998e-08,4.3e-08,130,5380
90,"May 27, 2017",1e-07,1.1e-07,1.6e-08,3.2e-08,116,17009
91,"May 26, 2017",3.1e-07,3.7e-07,9.1e-08,1e-07,64,51014
92,"May 25, 2017",1.4e-07,7.000000000000001e-06,7.299999999999999e-08,3.1e-07,710,23099
93,"May 24, 2017",2e-07,2.2e-07,8.1e-08,1.4e-07,91,32659
94,"May 23, 2017",1.1e-07,2.1e-07,1.1e-07,2e-07,31,17900
95,"May 22, 2017",9.6e-08,2e-07,8.1e-08,1.1e-07,54,14850
96,"May 21, 2017",8.7e-08,1.4e-07,7.599999999999999e-08,9.7e-08,25,13297
97,"May 20, 2017",7.599999999999999e-08,2.1e-07,7.5e-08,8.7e-08,31,11556
98,"May 19, 2017",1.7e-07,3.6e-07,9.7e-08,9.7e-08,88,26168
99,"May 18, 2017",1.2e-07,1.8e-07,1.1e-07,1.7e-07,65,17499
100,"May 17, 2017",8.800000000000001e-08,1.5e-07,8.5e-08,1.2e-07,9,12911
