,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.28,1.37,1.26,1.37,1456350,306485000
1,"Aug 24, 2017",1.23,1.33,1.2,1.28,1958180,295147000
2,"Aug 23, 2017",1.21,1.31,1.19,1.24,2415700,289363000
3,"Aug 22, 2017",1.19,1.31,1.12,1.19,2112460,285896000
4,"Aug 21, 2017",1.41,1.49,1.16,1.2,3309300,339535000
5,"Aug 20, 2017",1.06,1.57,1.02,1.44,3358270,254472000
6,"Aug 19, 2017",1.05,1.09,0.929075,1.07,1497640,252876000
7,"Aug 18, 2017",1.12,1.15,1.04,1.07,1036360,269091000
8,"Aug 17, 2017",1.18,1.18,1.08,1.14,1039930,281663000
9,"Aug 16, 2017",1.13,1.21,1.1,1.18,1002990,270430000
10,"Aug 15, 2017",1.21,1.21,1.08,1.14,1538190,290681000
11,"Aug 14, 2017",1.24,1.26,1.1,1.2,1481380,297811000
12,"Aug 13, 2017",1.36,1.4,1.17,1.24,1530080,324184000
13,"Aug 12, 2017",1.15,1.54,1.14,1.36,3035180,273860000
14,"Aug 11, 2017",1.21,1.24,1.14,1.14,1925900,289748000
15,"Aug 10, 2017",1.31,1.32,1.21,1.22,1548230,312575000
16,"Aug 09, 2017",1.36,1.39,1.28,1.31,1458030,324049000
17,"Aug 08, 2017",1.31,1.45,1.29,1.36,1641340,312048000
18,"Aug 07, 2017",1.36,1.37,1.29,1.31,1524890,325531000
19,"Aug 06, 2017",1.35,1.39,1.31,1.38,1565210,322502000
20,"Aug 05, 2017",1.28,1.42,1.28,1.34,1501680,306253000
21,"Aug 04, 2017",1.27,1.33,1.25,1.28,1243190,302687000
22,"Aug 03, 2017",1.24,1.29,1.22,1.27,1035280,295499000
23,"Aug 02, 2017",1.26,1.33,1.2,1.24,1285530,299490000
24,"Aug 01, 2017",1.2,1.27,1.08,1.26,1371770,286856000
25,"Jul 31, 2017",1.2,1.23,1.18,1.2,644073,285869000
26,"Jul 30, 2017",1.3,1.31,1.18,1.2,787045,310048000
27,"Jul 29, 2017",1.23,1.3,1.1,1.3,1152150,293914000
28,"Jul 28, 2017",1.35,1.37,1.2,1.24,1399770,321683000
29,"Jul 27, 2017",1.22,1.37,1.22,1.35,1625210,291038000
30,"Jul 26, 2017",1.3,1.34,1.14,1.22,1232370,308423000
31,"Jul 25, 2017",1.54,1.55,1.18,1.29,2756710,364990000
32,"Jul 24, 2017",1.6,1.65,1.51,1.52,1349760,381085000
33,"Jul 23, 2017",1.77,1.81,1.45,1.61,2627290,419382000
34,"Jul 22, 2017",1.41,1.81,1.4,1.78,2813130,336136000
35,"Jul 21, 2017",1.37,1.5,1.33,1.42,2000850,326865000
36,"Jul 20, 2017",1.14,1.43,1.13,1.36,2381540,271859000
37,"Jul 19, 2017",1.26,1.32,1.09,1.13,2083310,300829000
38,"Jul 18, 2017",1.13,1.35,1.05,1.25,2255590,269311000
39,"Jul 17, 2017",0.887467,1.13,0.887467,1.12,1352660,211333000
40,"Jul 16, 2017",0.954066,0.9848370000000001,0.772624,0.896907,1333100,226737000
41,"Jul 15, 2017",1.07,1.07,0.9150860000000001,0.9531540000000001,1166680,254305000
42,"Jul 14, 2017",1.16,1.16,0.99585,1.07,1012260,276028000
43,"Jul 13, 2017",1.36,1.37,1.12,1.16,1580660,321600000
44,"Jul 12, 2017",1.13,1.36,1.07,1.36,2211440,266730000
45,"Jul 11, 2017",1.24,1.33,0.9724860000000001,1.13,3648840,292641000
46,"Jul 10, 2017",1.54,1.55,1.18,1.26,2718830,363504000
47,"Jul 09, 2017",1.7,1.72,1.52,1.53,1273150,400422000
48,"Jul 08, 2017",1.52,1.7,1.39,1.69,2323660,359178000
49,"Jul 07, 2017",1.86,1.88,1.52,1.52,2576860,438453000
50,"Jul 06, 2017",1.8,1.89,1.78,1.85,1741770,424257000
51,"Jul 05, 2017",1.87,1.89,1.74,1.8,2594160,440681000
52,"Jul 04, 2017",1.63,1.87,1.63,1.85,2692650,385199000
53,"Jul 03, 2017",1.64,1.67,1.58,1.64,1531800,386172000
54,"Jul 02, 2017",1.6,1.66,1.53,1.64,1589740,376228000
55,"Jul 01, 2017",1.66,1.68,1.55,1.59,1223870,390124000
56,"Jun 30, 2017",1.75,1.78,1.63,1.66,1242450,412648000
57,"Jun 29, 2017",1.92,1.93,1.71,1.75,2264590,452171000
58,"Jun 28, 2017",1.81,1.96,1.71,1.92,2796140,425000000
59,"Jun 27, 2017",1.8,1.82,1.48,1.78,3648900,423370000
60,"Jun 26, 2017",1.89,2.01,1.46,1.8,5791180,445388000
61,"Jun 25, 2017",2.05,2.11,1.8,1.89,3225560,481633000
62,"Jun 24, 2017",2.17,2.24,2.02,2.06,2735200,509365000
63,"Jun 23, 2017",2.01,2.24,1.95,2.17,3754720,472276000
64,"Jun 22, 2017",1.98,2.01,1.89,2.01,2838420,465514000
65,"Jun 21, 2017",2.04,2.06,1.85,1.98,4478590,478660000
66,"Jun 20, 2017",2.12,2.21,1.93,2.04,7175230,498126000
67,"Jun 19, 2017",2.0,2.24,1.98,2.12,8208350,469892000
68,"Jun 18, 2017",2.04,2.07,1.98,2.0,3193610,479184000
69,"Jun 17, 2017",2.09,2.1,2.01,2.04,3062660,490186000
70,"Jun 16, 2017",2.03,2.11,1.91,2.08,3660240,476585000
71,"Jun 15, 2017",1.98,2.1,1.64,2.03,4992090,464118000
72,"Jun 14, 2017",2.37,2.44,1.87,1.97,6150010,556000000
73,"Jun 13, 2017",2.08,2.45,2.05,2.37,8685200,487061000
74,"Jun 12, 2017",2.46,2.48,1.97,2.08,7957900,575391000
75,"Jun 11, 2017",2.22,2.48,2.19,2.45,7880470,519354000
76,"Jun 10, 2017",2.5,2.72,2.2,2.24,14081000,585447000
77,"Jun 09, 2017",2.36,2.8,2.3,2.49,18823000,551073000
78,"Jun 08, 2017",2.14,2.37,2.04,2.36,11297400,501907000
79,"Jun 07, 2017",2.61,2.61,1.89,2.09,30080400,611817000
80,"Jun 06, 2017",1.72,2.74,1.44,2.6,46267200,403229000
81,"Jun 05, 2017",1.28,1.73,1.28,1.72,11290300,300712000
82,"Jun 04, 2017",1.29,1.35,1.18,1.3,4379190,303356000
83,"Jun 03, 2017",1.32,1.46,1.17,1.3,9131440,310132000
84,"Jun 02, 2017",1.0,1.34,1.0,1.32,5171210,235431000
85,"Jun 01, 2017",0.950098,1.04,0.948211,1.0,2472990,222636000
86,"May 31, 2017",0.929234,1.0,0.8553959999999999,0.950807,2570200,217655000
87,"May 30, 2017",0.970721,1.02,0.9172100000000001,0.9257920000000001,2088460,227345000
88,"May 29, 2017",0.952227,1.01,0.8915420000000001,0.970867,1857810,222812000
89,"May 28, 2017",0.8151649999999999,1.05,0.8151649999999999,0.957411,3137380,190537000
90,"May 27, 2017",0.961441,0.9979290000000001,0.630137,0.8197549999999999,4019140,224638000
91,"May 26, 2017",1.08,1.31,0.927384,0.9608760000000001,4110000,252678000
92,"May 25, 2017",1.22,1.33,1.07,1.08,4663780,285741000
93,"May 24, 2017",1.24,1.42,1.2,1.23,6237100,288475000
94,"May 23, 2017",1.14,1.32,1.11,1.24,5825390,265548000
95,"May 22, 2017",1.31,1.31,0.974766,1.14,5656130,305563000
96,"May 21, 2017",1.19,1.3,1.13,1.3,6177170,278663000
97,"May 20, 2017",1.06,1.33,1.05,1.19,8484620,248538000
98,"May 19, 2017",0.947874,1.15,0.947874,1.05,5361330,221361000
99,"May 18, 2017",0.8452770000000001,1.02,0.833823,0.9732780000000001,5785910,197408000
100,"May 17, 2017",0.795976,0.8946930000000001,0.7393390000000001,0.837306,5012230,185953000
101,"May 16, 2017",0.8667459999999999,1.01,0.80203,0.802864,7973670,202443000
102,"May 15, 2017",0.752038,0.9980690000000001,0.7075199999999999,0.895444,9503920,175577000
103,"May 14, 2017",0.72888,0.807585,0.7230989999999999,0.755364,2239850,170085000
104,"May 13, 2017",0.739904,0.760745,0.692427,0.7270979999999999,2153340,172584000
105,"May 12, 2017",0.764269,0.878835,0.7139,0.744853,4348360,178171000
106,"May 11, 2017",0.850274,0.902675,0.7273,0.763039,4328880,198186000
