,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",6.03,6.16,5.79,6.06,13223700,593706000
1,"Aug 24, 2017",5.93,6.41,5.9,6.0,14075900,583904000
2,"Aug 23, 2017",5.67,6.93,5.55,5.88,35363700,558913000
3,"Aug 22, 2017",5.42,5.68,4.79,5.68,11947300,533582000
4,"Aug 21, 2017",5.72,5.78,5.27,5.47,14688000,563415000
5,"Aug 20, 2017",5.66,5.96,5.43,5.73,13936500,557626000
6,"Aug 19, 2017",5.61,5.67,4.87,5.66,17616500,552835000
7,"Aug 18, 2017",6.12,6.19,5.36,5.62,15643400,602570000
8,"Aug 17, 2017",6.1,6.52,5.83,6.15,18775000,600694000
9,"Aug 16, 2017",6.13,6.62,5.97,6.05,19390300,603644000
10,"Aug 15, 2017",6.06,7.05,5.64,6.09,29168700,596646000
11,"Aug 14, 2017",6.53,6.81,5.47,6.05,25360200,643558000
12,"Aug 13, 2017",6.73,7.38,6.21,6.52,24769900,662468000
13,"Aug 12, 2017",7.61,7.83,6.49,6.79,25362400,750072000
14,"Aug 11, 2017",8.07,8.25,7.45,7.58,24356200,794844000
15,"Aug 10, 2017",7.49,8.87,7.2,7.91,39078900,737685000
16,"Aug 09, 2017",7.84,7.93,7.33,7.53,15452600,771777000
17,"Aug 08, 2017",7.63,8.34,7.45,7.87,21843100,751997000
18,"Aug 07, 2017",6.75,7.71,6.56,7.62,19820000,664642000
19,"Aug 06, 2017",7.13,7.42,6.68,6.72,12383900,701954000
20,"Aug 05, 2017",6.6,7.49,6.58,7.12,22170600,650402000
21,"Aug 04, 2017",6.04,6.62,5.86,6.61,13083500,595242000
22,"Aug 03, 2017",5.61,6.08,5.53,6.04,9794660,552183000
23,"Aug 02, 2017",5.91,6.0,5.4,5.57,9212420,582364000
24,"Aug 01, 2017",5.02,5.98,4.94,5.92,12038300,494159000
25,"Jul 31, 2017",4.84,5.13,4.66,5.0,8754770,476325000
26,"Jul 30, 2017",5.2,5.2,4.75,4.85,8457590,511780000
27,"Jul 29, 2017",4.59,5.22,4.4,5.22,11185800,451636000
28,"Jul 28, 2017",5.0,5.04,4.33,4.61,15690500,491910000
29,"Jul 27, 2017",5.11,5.34,4.74,4.97,10071100,503595000
30,"Jul 26, 2017",4.83,5.37,4.57,5.06,12565800,475864000
31,"Jul 25, 2017",5.76,5.92,4.31,4.82,20657700,567608000
32,"Jul 24, 2017",6.16,6.35,5.65,5.77,10593700,607093000
33,"Jul 23, 2017",6.8,6.96,5.94,6.17,12522100,669425000
34,"Jul 22, 2017",6.28,7.15,6.25,6.78,20602100,618085000
35,"Jul 21, 2017",5.39,6.27,5.22,6.22,18578500,530496000
36,"Jul 20, 2017",3.87,5.38,3.87,5.38,11643300,380850000
37,"Jul 19, 2017",4.22,4.63,3.82,3.85,8872790,415559000
38,"Jul 18, 2017",3.9,4.8,3.59,4.18,15771000,383676000
39,"Jul 17, 2017",2.87,3.9,2.86,3.88,8947560,282410000
40,"Jul 16, 2017",3.15,3.26,2.5,2.88,5474900,310564000
41,"Jul 15, 2017",3.29,3.29,2.87,3.19,5250730,324366000
42,"Jul 14, 2017",3.66,3.66,2.99,3.29,9898950,360072000
43,"Jul 13, 2017",4.35,4.37,3.42,3.68,13810600,428182000
44,"Jul 12, 2017",2.97,4.35,2.66,4.35,18375700,292008000
45,"Jul 11, 2017",3.06,3.53,2.34,2.98,23622700,301381000
46,"Jul 10, 2017",4.24,4.32,2.67,3.04,19098300,417352000
47,"Jul 09, 2017",4.97,5.19,4.28,4.28,4576640,489388000
48,"Jul 08, 2017",4.93,4.95,4.32,4.95,9638480,485542000
49,"Jul 07, 2017",6.21,6.25,4.82,4.92,9364820,611878000
50,"Jul 06, 2017",5.99,6.29,5.84,6.22,7169490,589414000
51,"Jul 05, 2017",6.31,6.32,5.83,5.99,5158460,621293000
52,"Jul 04, 2017",5.97,6.54,5.94,6.32,6141920,587765000
53,"Jul 03, 2017",5.82,6.05,5.63,5.95,5280130,573245000
54,"Jul 02, 2017",5.59,6.04,5.28,5.88,5537910,550593000
55,"Jul 01, 2017",6.29,6.4,5.54,5.55,4750540,618999000
56,"Jun 30, 2017",6.58,6.78,6.22,6.3,4946910,648016000
57,"Jun 29, 2017",6.97,7.02,6.17,6.59,6378180,685773000
58,"Jun 28, 2017",6.71,7.26,6.22,6.97,6790860,660817000
59,"Jun 27, 2017",6.62,6.85,5.4,6.68,8249570,651371000
60,"Jun 26, 2017",7.1,7.23,5.32,6.36,9864730,698652000
61,"Jun 25, 2017",7.67,7.68,6.66,7.08,5651070,754894000
62,"Jun 24, 2017",8.41,8.56,7.47,7.69,9579230,828315000
63,"Jun 23, 2017",7.14,8.49,6.9,8.35,8762870,702458000
64,"Jun 22, 2017",6.99,7.27,6.85,7.12,6066790,687720000
65,"Jun 21, 2017",7.07,7.67,6.64,6.98,13564400,695668000
66,"Jun 20, 2017",7.72,7.84,6.86,7.03,13751300,759460000
67,"Jun 19, 2017",7.45,8.18,7.3,7.7,14198200,733745000
68,"Jun 18, 2017",7.76,7.85,7.31,7.42,7625120,763324000
69,"Jun 17, 2017",7.97,7.97,7.63,7.76,8056000,784488000
70,"Jun 16, 2017",7.97,8.2,7.51,8.09,10005000,784397000
71,"Jun 15, 2017",8.09,8.4,6.58,7.96,11399100,796567000
72,"Jun 14, 2017",9.38,10.08,7.64,8.07,18743800,922947000
73,"Jun 13, 2017",7.4,9.55,7.4,9.46,24455300,727868000
74,"Jun 12, 2017",8.64,9.61,6.98,7.49,19884300,850720000
75,"Jun 11, 2017",7.0,9.61,6.46,8.7,40501000,688678000
76,"Jun 10, 2017",8.6,8.83,6.97,7.11,37558500,846058000
77,"Jun 09, 2017",9.33,10.54,8.54,8.6,25801700,917966000
78,"Jun 08, 2017",9.47,9.76,8.89,9.36,17328100,931815000
79,"Jun 07, 2017",10.45,11.13,8.94,9.39,22802600,1028700000
80,"Jun 06, 2017",10.48,11.1,9.87,10.62,24926500,1031430000
81,"Jun 05, 2017",10.56,11.26,10.03,10.4,29752700,1039320000
82,"Jun 04, 2017",9.02,10.85,8.13,10.48,40558300,887171000
83,"Jun 03, 2017",8.62,11.68,8.61,9.3,76687700,848350000
84,"Jun 02, 2017",6.0,9.21,5.85,8.68,61652500,590322000
85,"Jun 01, 2017",5.2,6.12,5.04,6.0,17263800,511918000
86,"May 31, 2017",6.0,6.39,4.93,5.09,38378600,590175000
87,"May 30, 2017",3.8,5.99,3.76,5.87,29487300,374312000
88,"May 29, 2017",3.12,4.02,3.12,3.76,12998700,306525000
89,"May 28, 2017",2.68,3.21,2.65,3.12,4152120,263636000
90,"May 27, 2017",3.06,3.17,1.97,2.68,5332510,300653000
91,"May 26, 2017",2.67,3.43,2.59,3.03,6004290,262417000
92,"May 25, 2017",3.06,3.5,2.65,2.67,4621460,301142000
93,"May 24, 2017",3.05,3.43,2.85,3.0,11021500,300580000
94,"May 23, 2017",1.96,3.24,1.96,2.99,8526840,193213000
95,"May 22, 2017",2.1,2.1,1.88,1.95,3365370,206311000
96,"May 21, 2017",2.01,2.15,1.87,2.11,5030270,198012000
97,"May 20, 2017",1.66,2.01,1.62,2.01,4183780,163356000
98,"May 19, 2017",1.42,1.75,1.38,1.66,5798680,139905000
99,"May 18, 2017",1.27,1.42,1.24,1.41,2850560,124689000
100,"May 17, 2017",1.23,1.3,1.19,1.26,1739460,121279000
101,"May 16, 2017",1.2,1.26,1.15,1.24,1680650,118259000
102,"May 15, 2017",1.28,1.28,1.18,1.2,836058,125557000
103,"May 14, 2017",1.25,1.32,1.24,1.28,981516,122761000
