,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.216437,0.298396,0.200357,0.21846100000000002,1523,273668
1,"Aug 24, 2017",0.23614899999999997,0.28933400000000004,0.195984,0.216779,837,295954
2,"Aug 23, 2017",0.286638,0.342781,0.20527399999999998,0.236046,1394,356020
3,"Aug 22, 2017",0.292068,0.336201,0.261869,0.287223,908,359596
4,"Aug 21, 2017",0.21201199999999998,0.386533,0.173979,0.29139299999999996,10211,258643
5,"Aug 20, 2017",0.248719,0.255185,0.21281999999999998,0.21281999999999998,2359,300741
6,"Aug 19, 2017",0.23394,0.27918200000000004,0.22664499999999999,0.249885,1210,280325
7,"Aug 18, 2017",0.290557,0.29878299999999997,0.22633899999999998,0.23414000000000001,1252,344895
8,"Aug 17, 2017",0.35396,0.35526399999999997,0.1857,0.29144699999999996,7138,416237
9,"Aug 16, 2017",0.298029,0.41487799999999997,0.295468,0.35428699999999996,808,347452
10,"Aug 15, 2017",0.314619,0.419624,0.267887,0.297702,3475,363400
11,"Aug 14, 2017",0.345227,0.348754,0.258322,0.313775,8931,395130
12,"Aug 13, 2017",0.38004499999999997,0.38647600000000004,0.352473,0.36132600000000004,2903,430700
13,"Aug 12, 2017",0.34744,0.38105900000000004,0.342549,0.380398,4527,390225
14,"Aug 11, 2017",0.331705,0.352412,0.327533,0.347711,6596,368868
15,"Aug 10, 2017",0.348172,0.375362,0.320446,0.33172399999999996,2591,383538
16,"Aug 09, 2017",0.411138,0.411138,0.344746,0.348139,2585,448347
17,"Aug 08, 2017",0.32279,0.41848,0.320121,0.35951900000000003,9283,348357
18,"Aug 07, 2017",0.31873,0.34007800000000005,0.305981,0.322464,11701,340733
19,"Aug 06, 2017",0.340223,0.35494899999999996,0.317513,0.319444,3803,360170
20,"Aug 05, 2017",0.309323,0.383694,0.309094,0.34014,3839,324054
21,"Aug 04, 2017",0.302111,0.31660900000000003,0.29896500000000004,0.30946,3331,313027
22,"Aug 03, 2017",0.299682,0.333496,0.291955,0.302186,2853,307270
23,"Aug 02, 2017",0.30022600000000005,0.34365999999999997,0.289065,0.299148,12696,304724
24,"Aug 01, 2017",0.292241,0.305752,0.266413,0.30028299999999997,2812,293366
25,"Jul 31, 2017",0.293461,0.301701,0.274567,0.2921,4630,291331
26,"Jul 30, 2017",0.293404,0.298012,0.271887,0.29316,1321,288148
27,"Jul 29, 2017",0.29980500000000004,0.30739299999999997,0.28028200000000003,0.29344499999999996,3133,291201
28,"Jul 28, 2017",0.30378299999999997,0.326959,0.285994,0.300946,5372,291692
29,"Jul 27, 2017",0.272679,0.320155,0.265708,0.302865,6809,258868
30,"Jul 26, 2017",0.28995,0.295119,0.25498899999999997,0.271908,1483,272119
31,"Jul 25, 2017",0.34526100000000004,0.34526100000000004,0.27161799999999997,0.28981799999999996,2536,320250
32,"Jul 24, 2017",0.377841,0.377841,0.331275,0.358869,3623,346443
33,"Jul 23, 2017",0.353242,0.378911,0.311054,0.37828,3885,319898
34,"Jul 22, 2017",0.320126,0.40712800000000005,0.299348,0.35324099999999997,4348,286415
35,"Jul 21, 2017",0.347023,0.455362,0.31559699999999996,0.32019000000000003,3875,306893
36,"Jul 20, 2017",0.359121,0.468732,0.330777,0.344469,7344,313374
37,"Jul 19, 2017",0.269532,0.462574,0.26371,0.360203,12836,232092
38,"Jul 18, 2017",0.269256,0.313015,0.24734099999999998,0.269104,6884,228754
39,"Jul 17, 2017",0.23084699999999997,0.281927,0.20756100000000002,0.26856399999999997,6764,193558
40,"Jul 16, 2017",0.198774,0.258369,0.172163,0.23110300000000003,5686,164459
41,"Jul 15, 2017",0.24704099999999998,0.258071,0.183653,0.199373,6097,201666
42,"Jul 14, 2017",0.248125,0.278062,0.209887,0.24746500000000002,12527,199907
43,"Jul 13, 2017",0.17489000000000002,0.290009,0.164428,0.23429699999999998,4734,139062
44,"Jul 12, 2017",0.185419,0.190762,0.16378,0.174759,1547,145513
45,"Jul 11, 2017",0.227856,0.227856,0.185691,0.185695,2459,176263
46,"Jul 10, 2017",0.222313,0.254469,0.18905,0.22834200000000002,3097,169585
47,"Jul 09, 2017",0.240864,0.279796,0.202958,0.221881,2645,181093
48,"Jul 08, 2017",0.274055,0.284431,0.235423,0.24064899999999997,5656,204083
49,"Jul 07, 2017",0.25985,0.292252,0.24839499999999998,0.273825,7584,190678
50,"Jul 06, 2017",0.185129,0.291497,0.172449,0.25966,4652,133899
51,"Jul 05, 2017",0.25388099999999997,0.25944,0.18153699999999998,0.185038,2194,180911
52,"Jul 04, 2017",0.258726,0.272918,0.206659,0.25401799999999997,2783,181450
53,"Jul 03, 2017",0.258782,0.277312,0.225685,0.259316,1803,178623
54,"Jul 02, 2017",0.287638,0.292446,0.23016999999999999,0.259738,2183,195375
55,"Jul 01, 2017",0.293796,0.295426,0.234967,0.287673,2668,196314
56,"Jun 30, 2017",0.243589,0.32903000000000004,0.239735,0.29390900000000003,3858,160233
57,"Jun 29, 2017",0.24509499999999998,0.256422,0.239571,0.24310500000000002,2009,158627
