,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 20, 2017",227.99,228.41,222.73,226.83,8,-
1,"Aug 19, 2017",226.59,229.49,226.59,229.06,8,-
2,"Aug 18, 2017",213.99,215.19,210.03,211.51,42,-
3,"Aug 17, 2017",216.17,224.12,209.74,214.65,43,-
4,"Aug 14, 2017",528.06,561.35,517.49,553.93,4223,-
5,"Aug 13, 2017",531.67,531.67,527.72,527.72,4023,-
6,"Aug 09, 2017",170.94,171.34,162.93,165.1,3,-
7,"Aug 08, 2017",168.91,172.8,168.41,171.05,3,-
8,"Jul 26, 2017",128.01,130.29,128.01,129.33,13,-
9,"Jul 25, 2017",138.49,138.6,122.53,127.95,13,-
10,"Jul 22, 2017",133.36,137.31,132.72,137.3,549,-
11,"Jul 21, 2017",139.82,139.82,130.88,133.39,534,-
12,"Jul 19, 2017",310.63,321.21,303.7,321.21,12,-
13,"Jul 18, 2017",111.14,321.28,108.0,310.14,11,-
14,"Jul 17, 2017",96.15,111.04,96.15,110.86,231,-
15,"Jul 16, 2017",99.26,113.48,93.7,96.25,206,-
16,"Jul 15, 2017",110.93,111.13,99.48,99.56,398,-
17,"Jul 14, 2017",316.04,317.49,107.9,111.12,400,-
18,"Jul 13, 2017",118.43,323.24,118.35,316.27,389,-
19,"Jul 12, 2017",309.04,322.21,301.08,318.57,1274,-
20,"Jul 11, 2017",312.72,312.94,310.58,310.58,1242,-
21,"Jul 09, 2017",234.5,235.42,232.24,233.64,1453,-
22,"Jul 08, 2017",230.85,234.54,229.71,234.29,1457,-
23,"Jul 07, 2017",213.06,213.45,211.25,211.52,21,-
24,"Jul 06, 2017",213.16,213.5,210.63,212.9,21,-
25,"Jul 05, 2017",362.51,513.6,212.61,213.05,18,-
26,"Jul 04, 2017",389.72,393.45,129.16,362.7,11193,-
27,"Jul 03, 2017",717.13,723.14,716.38,720.28,2,-
28,"Jul 02, 2017",200.15,719.07,197.21,718.09,15,-
29,"Jul 01, 2017",699.65,704.47,198.46,200.17,2504,-
30,"Jan 06, 2017",35.98,37.17,34.65,34.89,679,42344
31,"Jan 05, 2017",32.91,47.11,32.3,35.88,698,38732
32,"Jan 04, 2017",35.44,44.17,31.49,32.88,808,41710
33,"Jan 03, 2017",40.86,43.84,31.09,35.45,1277,48093
34,"Jan 02, 2017",38.75,61.44,38.53,40.87,1317,45608
35,"Jan 01, 2017",57.82,63.52,38.73,38.73,1440,68055
36,"Dec 31, 2016",54.79,69.32,48.77,57.82,1960,64484
37,"Dec 30, 2016",33.98,103.56,24.4,54.78,12643,39986
38,"Dec 29, 2016",29.78,36.53,22.91,33.98,1437,35044
39,"Dec 28, 2016",32.66,37.65,28.66,29.77,297,38440
40,"Dec 27, 2016",33.67,37.1,32.39,32.64,203,39630
41,"Dec 26, 2016",30.36,36.12,30.36,33.65,190,35733
42,"Dec 25, 2016",33.79,33.82,25.43,30.38,667,39767
43,"Dec 24, 2016",24.74,41.09,24.73,33.78,131,29120
44,"Dec 23, 2016",34.24,44.28,24.73,24.73,982,40298
45,"Dec 22, 2016",28.86,46.3,28.86,34.25,1028,33966
46,"Dec 21, 2016",34.4,40.23,26.41,28.78,1846,40481
47,"Dec 20, 2016",48.03,50.31,24.14,32.05,4857,56524
48,"Dec 19, 2016",98.9,103.02,21.25,48.03,12855,116392
49,"Dec 18, 2016",109.35,109.61,98.85,98.86,352,128691
50,"Dec 17, 2016",106.05,110.19,105.96,109.34,968,124810
51,"Dec 16, 2016",106.26,107.71,105.49,106.05,48,125060
52,"Dec 15, 2016",105.73,108.47,104.38,106.29,278,124433
53,"Dec 14, 2016",105.15,108.56,101.49,105.69,1475,123752
54,"Dec 13, 2016",103.9,105.62,101.48,105.29,195,122286
55,"Dec 12, 2016",105.52,106.84,103.78,103.92,45,124186
56,"Dec 11, 2016",107.77,107.79,105.11,105.48,119,126838
57,"Dec 10, 2016",103.72,108.44,101.34,107.77,474,122075
58,"Dec 09, 2016",101.68,105.15,100.89,103.7,43,119668
59,"Dec 08, 2016",102.84,107.53,101.23,101.7,39,121031
60,"Dec 07, 2016",100.32,103.29,99.31,102.84,266,118068
61,"Dec 06, 2016",105.19,107.31,98.7,100.32,385,123800
62,"Dec 05, 2016",109.89,113.31,105.18,105.19,240,129332
63,"Dec 04, 2016",116.81,116.93,108.13,109.84,258,137473
64,"Dec 03, 2016",119.89,122.57,115.55,116.8,139,141107
65,"Dec 02, 2016",119.25,135.53,107.25,119.52,1144,140342
66,"Dec 01, 2016",120.73,121.84,104.87,119.08,484,142093
67,"Nov 30, 2016",129.65,132.59,103.47,120.74,1772,152582
68,"Nov 29, 2016",128.7,129.9,128.67,129.66,194,151465
69,"Nov 28, 2016",128.11,130.61,128.11,128.69,293,150770
70,"Nov 27, 2016",125.93,129.28,125.86,128.1,77,148207
71,"Nov 26, 2016",124.28,129.5,123.66,125.97,326,146272
72,"Nov 25, 2016",120.91,127.47,120.81,124.28,125,142295
73,"Nov 24, 2016",124.62,125.1,117.77,120.93,178,146671
74,"Nov 23, 2016",123.94,134.55,114.95,124.62,1000,145867
75,"Nov 22, 2016",124.19,128.63,118.08,123.5,272,146166
76,"Nov 21, 2016",121.66,127.44,115.92,124.25,502,143180
77,"Nov 20, 2016",121.26,127.08,118.56,121.65,136,142711
