,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.04437,0.044933,0.035608999999999995,0.044668,879,1350750
1,"Aug 24, 2017",0.045324,0.046105,0.041097,0.04444,273,1379750
2,"Aug 23, 2017",0.037224,0.046548,0.037097000000000005,0.045304000000000004,11,1133130
3,"Aug 22, 2017",0.036048000000000004,0.037755000000000004,0.032641,0.0373,5,1097300
4,"Aug 21, 2017",0.048398000000000004,0.04877,0.035891,0.035965,2,1473180
5,"Aug 20, 2017",0.048917,0.049762,0.048322000000000004,0.048583,11,1488920
6,"Aug 19, 2017",0.049179,0.050086,0.047475,0.049314,0,1496830
7,"Aug 18, 2017",0.051358,0.05154500000000001,0.031162,0.049221,732,1563070
8,"Aug 17, 2017",0.056397,0.056603999999999995,0.047289,0.051515,311,1716340
9,"Aug 16, 2017",0.039419,0.056459,0.030014,0.056449,1435,1199600
10,"Aug 15, 2017",0.032452999999999996,0.039826,0.02333,0.039376,407,987574
11,"Aug 14, 2017",0.041188,0.042302,0.031262,0.032366000000000006,2884,1253370
12,"Aug 13, 2017",0.03918,0.046798,0.029998,0.041162,1461,1192200
13,"Aug 12, 2017",0.034751,0.057799,0.018272,0.039217,39921,1057370
14,"Aug 11, 2017",0.042599,0.045616000000000004,0.034589,0.034777999999999996,1012,1296090
15,"Aug 10, 2017",0.033162,0.042829,0.032919,0.042601,232,1008930
16,"Aug 09, 2017",0.046664,0.046776,0.032213,0.033158999999999994,716,1419630
17,"Aug 08, 2017",0.045138,0.04922,0.031497000000000004,0.046696,1235,1373120
18,"Aug 07, 2017",0.012816,0.045269,0.010059,0.045092,367,389846
19,"Aug 06, 2017",0.039018000000000004,0.03947,0.012804,0.012844999999999999,312,1186800
20,"Aug 05, 2017",0.028105,0.046872000000000004,0.028083999999999998,0.039008,1682,854830
21,"Aug 04, 2017",0.009323,0.028117000000000003,0.008553,0.028117000000000003,56,283562
22,"Aug 03, 2017",0.015925,0.019607,0.009318,0.009322,39,484320
23,"Aug 02, 2017",0.013642,0.017706,0.012281,0.015896,169,414895
24,"Aug 01, 2017",0.040012,0.040012,0.01351,0.013645,169,1216810
25,"Jul 31, 2017",0.039939999999999996,0.047751999999999996,0.032869,0.039993,1255,1214550
26,"Jul 30, 2017",0.023846,0.041393,0.02355,0.039899000000000004,55,725127
27,"Jul 29, 2017",0.027058,0.032249,0.023496,0.02385,731,822718
28,"Jul 28, 2017",0.029937000000000002,0.036524,0.026808,0.027161,958,910239
29,"Jul 27, 2017",0.029358,0.0423,0.028415,0.029847000000000002,1367,892565
30,"Jul 26, 2017",0.033413,0.033777999999999996,0.028325,0.029274,635,1015810
31,"Jul 25, 2017",0.025108000000000002,0.033417,0.013548,0.033398000000000004,301,763299
32,"Jul 24, 2017",0.031179000000000002,0.034674,0.025065999999999998,0.025111,2437,947792
33,"Jul 23, 2017",0.043465,0.043874,0.030416000000000002,0.031214999999999996,562,1321200
34,"Jul 22, 2017",0.030316000000000003,0.043566,0.029112,0.043463999999999996,910,921460
35,"Jul 21, 2017",0.04193,0.042217000000000005,0.026164999999999997,0.030322,948,1274420
36,"Jul 20, 2017",0.029481,0.042959,0.023636,0.041621,7649,895996
37,"Jul 19, 2017",0.036982999999999995,0.039846,0.02732,0.02957,1212,1123980
38,"Jul 18, 2017",0.0311,0.038618,0.02702,0.036925,1522,945143
39,"Jul 17, 2017",0.04179,0.04179,0.015727,0.03102,1013,1269940
40,"Jul 16, 2017",0.033253,0.042695,0.033253,0.041837,2519,1010460
41,"Jul 15, 2017",0.039235,0.039307,0.031027999999999997,0.033354,1099,1192170
42,"Jul 14, 2017",0.039633,0.041412,0.033929,0.039302,939,1204180
43,"Jul 13, 2017",0.034953,0.040339,0.029044,0.039662,4476,1061940
44,"Jul 12, 2017",0.045202,0.046619,0.034627,0.034928,368,1373230
45,"Jul 11, 2017",0.040842,0.048296,0.030667000000000003,0.045427999999999996,4655,1240730
46,"Jul 10, 2017",0.057046000000000006,0.057481,0.03313,0.040929,1687,1732920
47,"Jul 09, 2017",0.036495,0.056935,0.02738,0.056935,13986,1108590
48,"Jul 08, 2017",0.028725999999999998,0.038234,0.028172000000000003,0.036462,455,872565
49,"Jul 07, 2017",0.042182,0.046355,0.02818,0.028702,4678,1281250
50,"Jul 06, 2017",0.027969,0.043585000000000006,0.027585000000000002,0.042151,2570,849408
51,"Jul 05, 2017",0.045923,0.047445999999999995,0.023249000000000002,0.027956,693,1394660
52,"Jul 04, 2017",0.023742,0.045951,0.018187000000000002,0.045948,3503,721024
53,"Jul 03, 2017",0.026264,0.026999000000000002,0.020776,0.023796,76,797609
54,"Jul 02, 2017",0.026452999999999997,0.029182,0.012386,0.026361000000000002,214,803302
55,"Jul 01, 2017",0.028906,0.02928,0.016931,0.026456,416,877778
56,"Jun 30, 2017",0.012762,0.030423000000000002,0.011862000000000001,0.028917,2155,387518
57,"Jun 29, 2017",0.03229,0.053679,0.012736,0.012736,529,980416
58,"Jun 28, 2017",0.030994999999999998,0.053904999999999995,0.011128,0.03232,3216,941042
59,"Jun 27, 2017",0.039889,0.04688,0.028899,0.030794,7119,1211000
60,"Jun 26, 2017",0.041634,0.064608,0.038969,0.038969,2519,1263900
61,"Jun 25, 2017",0.034276,0.047363,0.030784,0.041655000000000005,5168,1040470
62,"Jun 24, 2017",0.053603,0.053964,0.033107,0.034355000000000004,2362,1627060
63,"Jun 23, 2017",0.047369,0.053991,0.029869,0.053609000000000004,19302,1437780
64,"Jun 22, 2017",0.049731,0.049731,0.025404,0.047369,9308,1509450
65,"Jun 21, 2017",0.045647,0.0624,0.043811,0.049731,4726,1385430
66,"Jun 20, 2017",0.045383,0.063351,0.037344999999999996,0.045647,7344,1377360
67,"Jun 19, 2017",0.07244199999999999,0.07244199999999999,0.042466000000000004,0.045383,2582,2198530
68,"Jun 18, 2017",0.08743,0.094924,0.062475,0.07244199999999999,2580,2653310
69,"Jun 17, 2017",0.078061,0.091781,0.07286000000000001,0.08743,10210,2368830
70,"Jun 16, 2017",0.037847000000000006,0.10906099999999999,0.033871,0.078061,9379,1148470
71,"Jun 15, 2017",0.034255,0.038339,0.021443,0.037875,2429,1039420
72,"Jun 14, 2017",0.026425999999999998,0.034257,0.013817,0.034257,3117,801850
73,"Jun 13, 2017",0.016977000000000003,0.026876,0.016977000000000003,0.026442,5873,515111
74,"Jun 12, 2017",0.019185,0.01924,0.013841999999999998,0.017034,86,582087
75,"Jun 11, 2017",0.019859,0.020672,0.018974,0.019211000000000002,4,602388
76,"Jun 10, 2017",0.017681,0.020131,0.017067,0.01987,1048,536200
77,"Jun 09, 2017",0.013849,0.017961,0.012734,0.017655,517,419982
78,"Jun 08, 2017",0.016183000000000003,0.01718,0.013715999999999999,0.014091999999999999,1102,490744
79,"Jun 07, 2017",0.020382,0.024016,0.015816,0.016103,766,618038
80,"Jun 06, 2017",0.011923999999999999,0.024528,0.011923999999999999,0.020377000000000003,154,361560
81,"Jun 05, 2017",0.016262000000000002,0.016715,0.011599,0.011888,330,493060
82,"Jun 04, 2017",0.022575,0.022575,0.013411000000000001,0.016259,139,684457
83,"Jun 03, 2017",0.022031,0.030422,0.016590999999999998,0.022636,2522,667911
84,"Jun 02, 2017",0.012757,0.023780000000000003,0.012757,0.022040999999999998,220,386734
85,"Jun 01, 2017",0.016752,0.01826,0.012751,0.012751,212,507837
86,"May 31, 2017",0.023302,0.031462000000000004,0.016734,0.016737000000000002,354,706375
87,"May 30, 2017",0.011498,0.023693000000000002,0.010739,0.023211000000000002,659,348535
88,"May 29, 2017",0.017973,0.01815,0.010628,0.011484000000000001,576,544768
89,"May 28, 2017",0.013406,0.019854,0.010782,0.018009,1968,406348
90,"May 27, 2017",0.018511,0.019198,0.012918,0.013327,235,561059
91,"May 26, 2017",0.019909,0.022511,0.016729,0.01845,192,603408
92,"May 25, 2017",0.016316,0.031342,0.013340000000000001,0.020056,2524,494506
93,"May 24, 2017",0.0162,0.016896,0.013052000000000001,0.016347,314,490964
94,"May 23, 2017",0.011988,0.016227000000000002,0.011852,0.016181,92,363296
95,"May 22, 2017",0.014977,0.017342,0.011505,0.012005,345,453864
96,"May 21, 2017",0.014730000000000002,0.015197,0.014537999999999999,0.014927000000000001,54,446312
97,"May 20, 2017",0.016097,0.017716,0.014214,0.014736,247,487701
98,"May 19, 2017",0.013935,0.016146999999999998,0.013935,0.016114,202,422199
99,"May 18, 2017",0.013368999999999999,0.017706,0.008942,0.013927000000000002,1297,405019
100,"May 17, 2017",0.015453999999999999,0.018254,0.013219,0.013375999999999999,262,468187
101,"May 16, 2017",0.017524,0.017537,0.013057,0.015458000000000001,55,530896
102,"May 15, 2017",0.01383,0.018257,0.013115,0.01755,8,418953
103,"May 14, 2017",0.013323,0.013822,0.012657999999999999,0.013822,28,403579
104,"May 13, 2017",0.011704,0.015518,0.011152,0.013280000000000002,56,354546
105,"May 12, 2017",0.015198,0.015865,0.010854,0.011729,275,460363
106,"May 11, 2017",0.01732,0.01732,0.010453,0.015183000000000002,595,524633
107,"May 10, 2017",0.017521000000000002,0.017842,0.015907,0.017289,274,530683
108,"May 09, 2017",0.013777000000000001,0.018208000000000002,0.012391,0.017509,350,417273
109,"May 08, 2017",0.01549,0.016266,0.013621000000000001,0.013772999999999999,232,469149
110,"May 07, 2017",0.014718,0.015488,0.01459,0.015488,21,445743
111,"May 06, 2017",0.016737000000000002,0.016747,0.010191,0.014712000000000001,1290,506865
112,"May 05, 2017",0.015327,0.017737,0.013347999999999999,0.016722,326,464135
113,"May 04, 2017",0.014972,0.017432,0.014812,0.015295,1163,453373
114,"May 03, 2017",0.014759999999999999,0.015003,0.014688999999999999,0.014966,372,446945
115,"May 02, 2017",0.012642,0.016996999999999998,0.012595,0.01475,591,382797
116,"May 01, 2017",0.015229,0.015406,0.011364,0.012648000000000001,695,461101
117,"Apr 30, 2017",0.013104,0.019856,0.009473,0.015225,1564,396724
118,"Apr 29, 2017",0.00922,0.013516,0.00922,0.012862,371,279144
119,"Apr 28, 2017",0.018026,0.018416,0.009211,0.009211,547,545726
120,"Apr 27, 2017",0.013774000000000002,0.020905,0.008361,0.017975,5201,416977
121,"Apr 26, 2017",0.013402,0.02663,0.010785,0.025065,4350,405706
122,"Apr 25, 2017",0.009553,0.013744,0.009549,0.013397,1994,289158
