,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000173,0.00017900000000000001,0.000172,0.000177,2,-
1,"Aug 24, 2017",0.000169,0.000175,0.000168,0.000173,2,-
2,"Aug 22, 2017",8e-05,8e-05,7.2e-05,7.6e-05,20,-
3,"Aug 21, 2017",8.1e-05,8.2e-05,8e-05,8e-05,21,-
4,"Aug 20, 2017",8.3e-05,8.3e-05,8.1e-05,8.1e-05,20,-
5,"Aug 19, 2017",0.000123,0.000248,8.1e-05,8.3e-05,1408,-
6,"Aug 18, 2017",0.000173,0.000174,0.000123,0.000123,1,-
7,"Aug 17, 2017",8.8e-05,9e-05,8.4e-05,8.7e-05,22,-
8,"Aug 16, 2017",0.000125,0.000126,8.7e-05,8.8e-05,23,-
9,"Aug 15, 2017",0.00013000000000000002,0.000133,0.00011599999999999999,0.000124,6,-
10,"Aug 14, 2017",0.000162,0.000164,0.000122,0.000129,2,-
11,"Aug 13, 2017",0.000161,0.000165,0.00015800000000000002,0.000162,0,-
12,"Aug 12, 2017",0.00011,0.00011399999999999999,0.00010800000000000001,0.00011399999999999999,1,-
13,"Aug 11, 2017",0.00013700000000000002,0.00014,0.000102,0.00011,75,-
14,"Aug 10, 2017",0.0001,0.00013700000000000002,0.0001,0.00013700000000000002,5,-
15,"Aug 09, 2017",0.0001,0.000101,9.9e-05,0.0001,0,-
16,"Aug 08, 2017",0.000102,0.00010400000000000001,0.000101,0.000103,0,-
17,"Aug 07, 2017",6.4e-05,0.000102,6.4e-05,0.000102,10,-
18,"Aug 06, 2017",9.8e-05,9.9e-05,6.3e-05,6.500000000000001e-05,1,-
19,"Aug 05, 2017",0.00011399999999999999,0.000128,9.4e-05,9.8e-05,5,-
20,"Aug 04, 2017",0.00011399999999999999,0.00011499999999999999,5.6999999999999996e-05,0.00011399999999999999,166,-
21,"Aug 03, 2017",5.4000000000000005e-05,5.5e-05,5.4000000000000005e-05,5.5e-05,2,-
22,"Aug 02, 2017",5.5e-05,5.5e-05,5.3e-05,5.4000000000000005e-05,31,-
23,"Aug 01, 2017",8.6e-05,8.7e-05,8.4e-05,8.4e-05,1,-
24,"Jul 31, 2017",8.2e-05,8.6e-05,8.1e-05,8.6e-05,1,-
25,"Jul 30, 2017",5.4000000000000005e-05,5.5e-05,5.2000000000000004e-05,5.5e-05,1,-
26,"Jul 29, 2017",0.00011,0.00011,5.4000000000000005e-05,5.4000000000000005e-05,7,-
27,"Jul 28, 2017",8e-05,8.499999999999999e-05,8e-05,8.3e-05,1,-
28,"Jul 27, 2017",0.000101,0.00010400000000000001,7.900000000000001e-05,8e-05,1,-
29,"Jul 26, 2017",7.7e-05,0.000101,7.3e-05,0.000101,25,-
30,"Jul 25, 2017",8.3e-05,8.3e-05,7.4e-05,7.7e-05,16,-
31,"Jul 24, 2017",8.3e-05,8.4e-05,8.1e-05,8.2e-05,1,-
32,"Jul 23, 2017",8.499999999999999e-05,0.00011200000000000001,8e-05,8.3e-05,2,-
33,"Jul 22, 2017",0.00010700000000000001,0.00011499999999999999,8.4e-05,8.499999999999999e-05,2,-
34,"Jul 21, 2017",8.499999999999999e-05,0.00011200000000000001,8e-05,0.00010700000000000001,0,-
35,"Jul 20, 2017",9e-05,9.4e-05,7e-05,8.4e-05,1,-
36,"Jul 19, 2017",9.2e-05,9.6e-05,8.9e-05,9e-05,0,-
