,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",1.7e-05,1.7e-05,1.4999999999999999e-05,1.6e-05,7532,1137330
1,"Aug 24, 2017",1.7e-05,1.7e-05,1.6e-05,1.7e-05,6790,1135800
2,"Aug 23, 2017",1.7e-05,1.8e-05,1.6e-05,1.7e-05,16729,1120780
3,"Aug 22, 2017",1.8e-05,1.9e-05,1.4999999999999999e-05,1.7e-05,5809,1208950
4,"Aug 21, 2017",1.8e-05,2.1e-05,1.6e-05,1.8e-05,49590,1178910
5,"Aug 20, 2017",1.7e-05,1.8e-05,1.4999999999999999e-05,1.7e-05,11436,1127650
6,"Aug 19, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,12484,1202770
7,"Aug 18, 2017",1.8e-05,1.9e-05,1.8e-05,1.8e-05,8387,1188270
8,"Aug 17, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,8044,1225160
9,"Aug 16, 2017",1.9e-05,1.9e-05,1.8e-05,1.8e-05,16843,1271200
10,"Aug 15, 2017",1.9e-05,1.9e-05,1.6e-05,1.9e-05,26430,1263250
11,"Aug 14, 2017",2.1e-05,2.2e-05,1.9e-05,1.9e-05,32710,1404670
12,"Aug 13, 2017",2.1e-05,2.2e-05,2.1e-05,2.1e-05,22089,1425920
13,"Aug 12, 2017",2.2e-05,2.5e-05,2.1e-05,2.1e-05,69103,1464860
14,"Aug 11, 2017",2.1e-05,2.3e-05,2.1e-05,2.2e-05,50370,1393160
15,"Aug 10, 2017",2.3e-05,2.6000000000000002e-05,2e-05,2.1e-05,120270,1537270
16,"Aug 09, 2017",2.3e-05,2.3e-05,2.2e-05,2.3e-05,10638,1517120
17,"Aug 08, 2017",2.2e-05,2.3e-05,2.2e-05,2.3e-05,32906,1496320
18,"Aug 07, 2017",2.3e-05,2.4e-05,2.2e-05,2.2e-05,23319,1561870
19,"Aug 06, 2017",2.5e-05,2.5e-05,2.3e-05,2.3e-05,51741,1664900
20,"Aug 05, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,52990,1674900
21,"Aug 04, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,57074,1643830
22,"Aug 03, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,22889,1662150
23,"Aug 02, 2017",2.4e-05,2.5e-05,2.3e-05,2.5e-05,22672,1581490
24,"Aug 01, 2017",2.4e-05,2.4e-05,2.3e-05,2.4e-05,9148,1634370
25,"Jul 31, 2017",2.3e-05,2.5e-05,2.3e-05,2.4e-05,9638,1538050
26,"Jul 30, 2017",2.4e-05,2.5e-05,2.3e-05,2.3e-05,7424,1588080
27,"Jul 29, 2017",2.5e-05,2.5e-05,2.2e-05,2.3e-05,15231,1667680
28,"Jul 28, 2017",2.5e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,26428,1669090
29,"Jul 27, 2017",2.5e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,10105,1649430
30,"Jul 26, 2017",2.3e-05,2.6000000000000002e-05,2e-05,2.5e-05,42982,1548320
31,"Jul 25, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.3e-05,2.3e-05,25546,1876250
32,"Jul 24, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.3e-05,2.8000000000000003e-05,50019,1788610
33,"Jul 23, 2017",2.7000000000000002e-05,3.2e-05,2.4e-05,2.6000000000000002e-05,69685,1827340
34,"Jul 22, 2017",2.2e-05,2.7000000000000002e-05,2.2e-05,2.7000000000000002e-05,51459,1496340
35,"Jul 21, 2017",2.2e-05,2.6000000000000002e-05,2.2e-05,2.4e-05,44328,1484150
36,"Jul 20, 2017",1.9e-05,2.4e-05,1.9e-05,2.2e-05,37487,1262880
37,"Jul 19, 2017",2e-05,2.2e-05,1.8e-05,1.9e-05,26200,1358970
38,"Jul 18, 2017",1.7e-05,2.3e-05,1.7e-05,2e-05,33075,1164450
39,"Jul 17, 2017",1.6e-05,1.8e-05,1.4999999999999999e-05,1.7e-05,6893,1094200
40,"Jul 16, 2017",1.6e-05,1.7e-05,1.4999999999999999e-05,1.6e-05,5936,1097180
41,"Jul 15, 2017",1.8e-05,1.8e-05,1.6e-05,1.6e-05,8226,1192680
42,"Jul 14, 2017",1.9e-05,1.9e-05,1.7e-05,1.8e-05,6578,1269630
43,"Jul 13, 2017",2e-05,2.1e-05,1.8e-05,1.9e-05,29910,1328130
44,"Jul 12, 2017",1.6e-05,2e-05,1.6e-05,2e-05,19745,1101310
45,"Jul 11, 2017",2.1e-05,2.1e-05,1.4999999999999999e-05,1.6e-05,27902,1376260
46,"Jul 10, 2017",2.3e-05,2.3e-05,2e-05,2e-05,19680,1506490
47,"Jul 09, 2017",2.5e-05,2.5e-05,2.1e-05,2.2e-05,27582,1670580
48,"Jul 08, 2017",2.3e-05,2.6000000000000002e-05,2.1e-05,2.5e-05,49140,1513470
49,"Jul 07, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.3e-05,2.3e-05,40279,1959670
50,"Jul 06, 2017",3.1e-05,3.1e-05,2.8999999999999997e-05,2.8999999999999997e-05,17073,2040820
51,"Jul 05, 2017",3.1e-05,3.2e-05,2.8000000000000003e-05,3.1e-05,42291,2104550
52,"Jul 04, 2017",3.2e-05,3.5e-05,2.9999999999999997e-05,3.2e-05,50709,2106830
53,"Jul 03, 2017",3.2e-05,3.5e-05,2.8000000000000003e-05,3.2e-05,83148,2118210
54,"Jul 02, 2017",3.9e-05,3.9e-05,2.8000000000000003e-05,3.2e-05,75790,2608920
55,"Jul 01, 2017",4.1e-05,4.3e-05,3.8e-05,3.9e-05,49855,2765930
56,"Jun 30, 2017",4.3e-05,4.4e-05,4.1e-05,4.1e-05,38733,2859170
57,"Jun 29, 2017",4.6e-05,4.6e-05,4.1e-05,4.3e-05,69545,3064080
58,"Jun 28, 2017",4.8e-05,5.1e-05,4.3e-05,4.6e-05,106785,3232490
59,"Jun 27, 2017",5e-05,5.6999999999999996e-05,3.7e-05,4.8e-05,244468,3326590
60,"Jun 26, 2017",5.5e-05,5.6000000000000006e-05,3.9e-05,5e-05,283402,3703040
