,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.3e-05,4.5e-05,4.3e-05,4.4e-05,73,-
1,"Aug 24, 2017",4.1e-05,4.4e-05,4.1e-05,4.3e-05,72,-
2,"Aug 23, 2017",4.1e-05,4.3e-05,4.1e-05,4.1e-05,43,-
3,"Aug 22, 2017",4e-05,4.1e-05,3.6e-05,4.1e-05,17,-
4,"Aug 21, 2017",4.1e-05,4.1e-05,4e-05,4e-05,45,-
5,"Aug 20, 2017",4.1e-05,4.2e-05,4e-05,4.1e-05,10,-
6,"Aug 19, 2017",4.1e-05,4.2e-05,4e-05,4.2e-05,2920,-
7,"Aug 18, 2017",4.3e-05,4.4e-05,4e-05,4.1e-05,10,-
8,"Aug 17, 2017",4.4e-05,4.5e-05,4.2e-05,4.3e-05,8,-
9,"Aug 16, 2017",4.2e-05,4.4e-05,3.9e-05,4.4e-05,4,-
10,"Aug 15, 2017",4.3e-05,4.4e-05,3.9e-05,4.1e-05,47,-
11,"Aug 14, 2017",4.1e-05,4.3e-05,4e-05,4.3e-05,6,-
12,"Aug 13, 2017",3.9e-05,4.2e-05,3.9e-05,4.1e-05,229,-
13,"Aug 12, 2017",3.7e-05,4e-05,3.6e-05,3.9e-05,124,-
14,"Aug 11, 2017",3.4e-05,3.7e-05,3.4e-05,3.7e-05,94,-
15,"Aug 10, 2017",3.3e-05,3.4e-05,3.3e-05,3.4e-05,36,-
16,"Aug 09, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,59,-
17,"Aug 08, 2017",3.4e-05,3.5e-05,3.3e-05,3.4e-05,8,-
18,"Aug 07, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,36,-
19,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,4,-
20,"Aug 05, 2017",2.8999999999999997e-05,3.3e-05,2.8999999999999997e-05,3.3e-05,195,-
21,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,11,-
22,"Aug 03, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,7,-
23,"Aug 02, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,12,-
24,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,34,-
25,"Jul 31, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8999999999999997e-05,34,-
26,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.7000000000000002e-05,94,-
27,"Jul 29, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,77,-
28,"Jul 28, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,91,-
29,"Jul 27, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,183,-
30,"Jul 26, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,19,-
31,"Jul 25, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.5e-05,2.6000000000000002e-05,130,-
32,"Jul 24, 2017",2.8000000000000003e-05,5.3e-05,2.7000000000000002e-05,2.8000000000000003e-05,441,-
33,"Jul 23, 2017",2.8000000000000003e-05,5.5e-05,2.7000000000000002e-05,2.8000000000000003e-05,559,-
34,"Jul 22, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,57,-
35,"Jul 21, 2017",5e-05,5e-05,2.6000000000000002e-05,2.7000000000000002e-05,997,-
36,"Jul 20, 2017",2.3e-05,5.1e-05,2.3e-05,5e-05,151,-
37,"Jul 19, 2017",2.3e-05,2.4e-05,2.2e-05,2.3e-05,669,-
38,"Jul 18, 2017",2.2e-05,2.4e-05,2.2e-05,2.3e-05,31,-
39,"Jul 17, 2017",2e-05,2.2e-05,2e-05,2.2e-05,570,-
40,"Jul 16, 2017",2e-05,2.1e-05,1.8e-05,2e-05,536,-
41,"Jul 15, 2017",2.2e-05,2.2e-05,2e-05,2e-05,1740,-
42,"Jul 14, 2017",2.4e-05,4.7e-05,2.2e-05,2.2e-05,2363,-
43,"Jul 13, 2017",4.8e-05,4.8e-05,2.3e-05,2.4e-05,2923,-
44,"Jul 12, 2017",2.3e-05,4.8e-05,2.3e-05,4.8e-05,751,-
45,"Jul 11, 2017",2.3e-05,4.7e-05,2.3e-05,2.3e-05,4269,-
46,"Jul 10, 2017",5e-05,5e-05,2.3e-05,2.3e-05,1949,-
47,"Jul 09, 2017",5.1e-05,5.1e-05,2.5e-05,5e-05,3042,-
48,"Jul 08, 2017",5e-05,5.1e-05,2.6000000000000002e-05,5.1e-05,2251,-
49,"Jul 07, 2017",5.2000000000000004e-05,5.2000000000000004e-05,2.5e-05,5e-05,5044,-
50,"Jul 06, 2017",5.2000000000000004e-05,5.2000000000000004e-05,2.6000000000000002e-05,5.2000000000000004e-05,2845,-
51,"Jul 05, 2017",5.2000000000000004e-05,5.2000000000000004e-05,2.5e-05,5.2000000000000004e-05,14432,-
52,"Jul 04, 2017",5.1e-05,5.2000000000000004e-05,2.6000000000000002e-05,5.2000000000000004e-05,3136,-
53,"Jul 03, 2017",2.5e-05,5.2000000000000004e-05,2.5e-05,5.1e-05,2271,-
54,"Jul 02, 2017",2.4e-05,5e-05,2.4e-05,2.5e-05,14929,-
55,"Jul 01, 2017",4.9e-05,5e-05,2.4e-05,2.4e-05,1368,-
56,"Jun 30, 2017",5.1e-05,5.1e-05,2.5e-05,4.9e-05,2435,-
57,"Jun 29, 2017",5.1e-05,5.2000000000000004e-05,2.5e-05,5.1e-05,2890,-
