,Date,Open,High,Low,Close,Volume,Market Cap
0,"Sep 17, 2016",6e-06,6e-06,6e-06,6e-06,0,6849
1,"Sep 16, 2016",6e-06,6e-06,6e-06,6e-06,0,6863
2,"Sep 08, 2016",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,13869
3,"Sep 07, 2016",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,13755
4,"Aug 30, 2016",6e-06,6e-06,6e-06,6e-06,0,6478
5,"Aug 29, 2016",1.1e-05,1.2e-05,6e-06,6e-06,0,12952
6,"Aug 28, 2016",6e-06,1.1e-05,6e-06,1.1e-05,17,6440
7,"Aug 25, 2016",6e-06,6e-06,6e-06,6e-06,1,6547
8,"Aug 24, 2016",6e-06,6e-06,6e-06,6e-06,1,6557
9,"Aug 23, 2016",6e-06,6e-06,6e-06,6e-06,1,6621
10,"Aug 22, 2016",6e-06,6e-06,6e-06,6e-06,2,6565
11,"Aug 19, 2016",1.1e-05,1.2e-05,1.1e-05,1.2e-05,19,12961
12,"Aug 18, 2016",1.2e-05,1.2e-05,1.1e-05,1.1e-05,19,12994
13,"Aug 08, 2016",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,13376
14,"Aug 07, 2016",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,13429
15,"Aug 04, 2016",1.1e-05,1.2e-05,1.1e-05,1.1e-05,13,12782
16,"Aug 03, 2016",4e-05,4e-05,1.1e-05,1.1e-05,13,44763
17,"Jul 26, 2016",5.9e-05,5.9e-05,5.9e-05,5.9e-05,1,66428
18,"Jul 25, 2016",4.6e-05,5.9e-05,4.6e-05,5.9e-05,1,52234
19,"Jul 24, 2016",4.6e-05,4.6e-05,4.6e-05,4.6e-05,1,52289
20,"Jul 23, 2016",2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,12,29367
21,"Jul 22, 2016",2.7000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,12,30016
22,"Jul 21, 2016",2.7000000000000002e-05,2.7000000000000002e-05,2e-05,2.7000000000000002e-05,0,30047
23,"Jul 20, 2016",2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,3,30371
24,"Jul 19, 2016",2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2.7000000000000002e-05,2,30330
25,"Jul 18, 2016",2e-05,2e-05,2e-05,2e-05,0,23001
26,"Jul 17, 2016",2.7000000000000002e-05,2.7000000000000002e-05,2e-05,2e-05,0,30062
27,"Jan 05, 2016",3.9e-05,3.9e-05,3.4e-05,3.5e-05,112,43967
28,"Jan 04, 2016",3.4e-05,3.9e-05,3.4e-05,3.9e-05,41,38803
29,"Jan 03, 2016",3.5e-05,3.9e-05,3.4e-05,3.4e-05,2,39111
30,"Jan 02, 2016",3.5e-05,3.9e-05,3.5e-05,3.5e-05,5,39191
31,"Jan 01, 2016",3.9e-05,3.9e-05,3.4e-05,3.5e-05,3,43706
32,"Dec 31, 2015",3.4e-05,3.9e-05,3.3e-05,3.9e-05,282,38491
33,"Dec 30, 2015",3.5e-05,3.5e-05,3.4e-05,3.4e-05,1,39064
34,"Dec 29, 2015",2.9999999999999997e-05,3.9e-05,2.9999999999999997e-05,3.5e-05,27,33335
35,"Dec 28, 2015",2.9999999999999997e-05,2.9999999999999997e-05,2.8999999999999997e-05,2.9999999999999997e-05,2,33377
36,"Dec 27, 2015",2.8999999999999997e-05,3.3e-05,2.8999999999999997e-05,2.9999999999999997e-05,3,32937
37,"Dec 26, 2015",3.6e-05,3.8e-05,2.8999999999999997e-05,2.8999999999999997e-05,13,41103
38,"Dec 25, 2015",3.6e-05,4.1e-05,3.6e-05,3.6e-05,1,41042
39,"Dec 24, 2015",4e-05,4.1e-05,3.6e-05,3.6e-05,1,44893
40,"Dec 23, 2015",3.5e-05,4e-05,3.5e-05,4e-05,19,39378
41,"Dec 22, 2015",3.1e-05,4e-05,2.9999999999999997e-05,3.5e-05,48,34617
42,"Dec 21, 2015",3.1e-05,4e-05,2.9999999999999997e-05,3.1e-05,49,34935
43,"Dec 20, 2015",3.2e-05,3.7e-05,2.9999999999999997e-05,3.1e-05,13,36484
44,"Dec 19, 2015",3.7e-05,3.7e-05,3.2e-05,3.2e-05,11,41811
45,"Dec 18, 2015",3.6e-05,4.2e-05,3.2e-05,3.7e-05,165,41129
46,"Dec 17, 2015",3.6e-05,4.1e-05,3.6e-05,3.7e-05,45,41024
47,"Dec 16, 2015",3.7e-05,4.1e-05,3.6e-05,3.6e-05,26,41959
48,"Dec 15, 2015",4e-05,4.2e-05,3.6e-05,3.7e-05,42,45058
49,"Dec 14, 2015",3.5e-05,4e-05,3.4e-05,4e-05,19,39110
50,"Dec 13, 2015",3.9e-05,4e-05,3.4e-05,3.5e-05,28,44123
51,"Dec 12, 2015",4.1e-05,4.2e-05,3.4e-05,3.9e-05,115,45839
52,"Dec 11, 2015",3.3e-05,4.1e-05,3.3e-05,4.1e-05,7,37457
53,"Dec 10, 2015",2.8999999999999997e-05,3.8e-05,2.8999999999999997e-05,3.3e-05,7,32938
54,"Dec 09, 2015",3.3e-05,3.4e-05,2.8999999999999997e-05,2.8999999999999997e-05,18,37462
55,"Dec 08, 2015",3.2e-05,3.6e-05,3.1e-05,3.3e-05,4,35655
56,"Dec 07, 2015",3.5e-05,3.6e-05,2.8000000000000003e-05,3.2e-05,16,39426
57,"Dec 06, 2015",2.7000000000000002e-05,3.6e-05,2.7000000000000002e-05,3.5e-05,22,30676
58,"Dec 05, 2015",2.8999999999999997e-05,3.5e-05,2.6000000000000002e-05,2.7000000000000002e-05,46,32735
59,"Dec 04, 2015",2.8999999999999997e-05,3.3e-05,2.5e-05,2.8999999999999997e-05,35,32541
60,"Dec 03, 2015",2.5e-05,3.3e-05,2.5e-05,2.8999999999999997e-05,11,28326
61,"Dec 02, 2015",2.8999999999999997e-05,3.3e-05,2.5e-05,2.5e-05,27,32669
62,"Dec 01, 2015",2.6000000000000002e-05,3.3e-05,2.5e-05,2.8999999999999997e-05,17,29753
63,"Nov 30, 2015",2.9999999999999997e-05,3.4e-05,2.6000000000000002e-05,2.6000000000000002e-05,61,33459
64,"Nov 29, 2015",3.2e-05,3.6e-05,2.8999999999999997e-05,2.9999999999999997e-05,4,36230
65,"Nov 28, 2015",2.8999999999999997e-05,3.5e-05,2.8000000000000003e-05,3.2e-05,2,32263
66,"Nov 27, 2015",3.5e-05,4e-05,2.8999999999999997e-05,2.8999999999999997e-05,293,39724
67,"Nov 26, 2015",3.3e-05,3.9e-05,3.3e-05,3.6e-05,83,36965
68,"Nov 25, 2015",3.2e-05,3.6e-05,2.8999999999999997e-05,3.3e-05,135,36045
69,"Nov 24, 2015",2.8999999999999997e-05,3.5e-05,2.8999999999999997e-05,3.2e-05,195,32743
70,"Nov 23, 2015",2.8999999999999997e-05,3.2e-05,2.8999999999999997e-05,2.8999999999999997e-05,8,32893
71,"Nov 22, 2015",3.3e-05,3.3e-05,2.8999999999999997e-05,2.8999999999999997e-05,9,36815
72,"Nov 21, 2015",3.2e-05,3.3e-05,2.8999999999999997e-05,3.3e-05,7,36262
73,"Nov 20, 2015",3.3e-05,3.3e-05,2.8000000000000003e-05,3.2e-05,14,36725
74,"Nov 19, 2015",2.9999999999999997e-05,3.4e-05,2.8999999999999997e-05,3.3e-05,8,33907
75,"Nov 18, 2015",2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,2.9999999999999997e-05,4,33956
76,"Nov 17, 2015",2.9999999999999997e-05,3.7e-05,2.9999999999999997e-05,2.9999999999999997e-05,138,33515
77,"Nov 16, 2015",2.8999999999999997e-05,3.5e-05,2.5e-05,2.9999999999999997e-05,60,32441
78,"Nov 15, 2015",3.7e-05,4e-05,2.8999999999999997e-05,2.8999999999999997e-05,159,41226
79,"Nov 14, 2015",3.7e-05,4.1e-05,2.9999999999999997e-05,3.7e-05,122,41701
80,"Nov 13, 2015",3.4e-05,3.7e-05,2.8999999999999997e-05,3.7e-05,80,38065
81,"Nov 12, 2015",3.1e-05,3.4e-05,2.8000000000000003e-05,3.4e-05,21,35015
82,"Nov 11, 2015",2.7000000000000002e-05,3.2e-05,2.5e-05,3.1e-05,12,30327
83,"Nov 10, 2015",3.8e-05,4.2e-05,2.6000000000000002e-05,2.7000000000000002e-05,42,42794
84,"Nov 09, 2015",3.7e-05,4.1e-05,2.9999999999999997e-05,3.1e-05,43,42016
85,"Nov 08, 2015",3.9e-05,4.2e-05,3.4e-05,3.7e-05,15,43488
86,"Nov 07, 2015",3.7e-05,4.3e-05,3.1e-05,3.9e-05,168,42133
87,"Nov 06, 2015",3.5e-05,4.1e-05,3.2e-05,3.7e-05,37,39120
88,"Nov 05, 2015",4.1e-05,4.9e-05,3.4e-05,3.5e-05,55,46299
89,"Nov 04, 2015",4e-05,5.5e-05,3.8e-05,4.1e-05,96,45379
90,"Nov 03, 2015",3.6e-05,4.4e-05,3.5e-05,4e-05,90,40626
91,"Nov 02, 2015",3.6e-05,3.7e-05,2.8999999999999997e-05,3.6e-05,45,40261
92,"Nov 01, 2015",3.5e-05,3.6e-05,3.1e-05,3.6e-05,29,38865
93,"Oct 31, 2015",3.3e-05,3.9e-05,3.1e-05,3.5e-05,70,36886
94,"Oct 30, 2015",3.5e-05,3.9e-05,2.8000000000000003e-05,3.3e-05,35,38820
95,"Oct 29, 2015",2.4e-05,3.5e-05,2.4e-05,3.5e-05,73,27398
96,"Oct 28, 2015",2.8999999999999997e-05,3.1e-05,2.4e-05,2.4e-05,22,33029
97,"Oct 27, 2015",2.6000000000000002e-05,2.9999999999999997e-05,2.3e-05,2.6000000000000002e-05,59,28865
98,"Oct 26, 2015",4e-05,4e-05,1.7e-05,2.6000000000000002e-05,546,44643
99,"Oct 25, 2015",4.2e-05,4.4e-05,3.1e-05,4e-05,158,47486
100,"Oct 24, 2015",3.9e-05,4.8e-05,2.8000000000000003e-05,4.2e-05,165,43505
101,"Oct 23, 2015",3.8e-05,4.4e-05,3.3e-05,3.9e-05,163,43111
102,"Oct 22, 2015",4.3e-05,5e-05,3.8e-05,3.8e-05,43,47874
103,"Oct 21, 2015",4.6e-05,4.6e-05,4e-05,4.3e-05,17,51472
