,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.4e-05,4.5e-05,4.3e-05,4.4e-05,75,152947
1,"Aug 24, 2017",4.1e-05,4.3e-05,4.1e-05,4.2e-05,0,145569
2,"Aug 23, 2017",4.1e-05,4.2e-05,4.1e-05,4.1e-05,0,145212
3,"Aug 22, 2017",4e-05,4.1e-05,3.6e-05,4.1e-05,0,140536
4,"Aug 21, 2017",4.1e-05,4.1e-05,4e-05,4e-05,2,142927
5,"Aug 20, 2017",4.2e-05,4.2e-05,4e-05,4.1e-05,0,146254
6,"Aug 19, 2017",4.1e-05,4.2e-05,4e-05,4.2e-05,48,144260
7,"Aug 18, 2017",4.3e-05,4.3e-05,4e-05,4.1e-05,27,150257
8,"Aug 17, 2017",4.4e-05,4.5e-05,4.2e-05,4.3e-05,1,154066
9,"Aug 16, 2017",4.3e-05,4.4e-05,4.3e-05,4.4e-05,1,150586
10,"Aug 15, 2017",4.3e-05,4.4e-05,3.9e-05,4.1e-05,1,151856
11,"Aug 14, 2017",4.1e-05,4.3e-05,4e-05,4.3e-05,3,142538
12,"Aug 13, 2017",3.9e-05,4.2e-05,3.9e-05,4.1e-05,1,135710
13,"Aug 12, 2017",3.7e-05,4e-05,3.6e-05,3.9e-05,1,128069
14,"Aug 11, 2017",3.4e-05,3.7e-05,3.4e-05,3.7e-05,0,119780
15,"Aug 10, 2017",3.3e-05,3.4e-05,3.3e-05,3.4e-05,116,116484
16,"Aug 09, 2017",3.4e-05,3.4e-05,3.2e-05,3.3e-05,3,119110
17,"Aug 08, 2017",3.4e-05,3.5e-05,3.3e-05,3.4e-05,0,117949
18,"Aug 07, 2017",3.2e-05,3.4e-05,3.2e-05,3.4e-05,28,111968
19,"Aug 06, 2017",3.3e-05,3.3e-05,3.2e-05,3.2e-05,4,113167
20,"Aug 05, 2017",2.8999999999999997e-05,3.3e-05,2.8999999999999997e-05,3.3e-05,0,99229
21,"Aug 04, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,3,96683
22,"Aug 03, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,1,93064
23,"Aug 02, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,1,93514
24,"Aug 01, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,0,98066
25,"Jul 31, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,0,97797
26,"Jul 29, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.7000000000000002e-05,1,94829
27,"Jul 28, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,52,89919
28,"Jul 27, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,0,84629
29,"Jul 26, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,3,85410
30,"Jul 25, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.5e-05,2.6000000000000002e-05,1,91999
31,"Jul 24, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.7000000000000002e-05,2.8000000000000003e-05,1,91737
32,"Jul 23, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,0,94392
33,"Jul 22, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,7,88939
34,"Jul 21, 2017",2.8000000000000003e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.7000000000000002e-05,26,94418
35,"Jul 20, 2017",2.3e-05,2.8999999999999997e-05,2.3e-05,2.8000000000000003e-05,0,75181
36,"Jul 19, 2017",2.3e-05,2.4e-05,2.2e-05,2.3e-05,1,76756
37,"Jul 18, 2017",2.2e-05,2.4e-05,2.2e-05,2.3e-05,58,74083
38,"Jul 17, 2017",1.9e-05,2.2e-05,1.9e-05,2.2e-05,1,64077
39,"Jul 16, 2017",2e-05,2.1e-05,1.8e-05,1.9e-05,10,66141
40,"Jul 15, 2017",2.2e-05,2.2e-05,2e-05,2e-05,2,73905
41,"Jul 14, 2017",2.3e-05,2.4e-05,2.2e-05,2.2e-05,3,77970
42,"Jul 13, 2017",2.4e-05,2.4e-05,2.3e-05,2.3e-05,4,80455
43,"Jul 12, 2017",2.3e-05,2.4e-05,2.2e-05,2.4e-05,0,76620
44,"Jul 11, 2017",2.3e-05,2.4e-05,2.3e-05,2.3e-05,3,73195
45,"Jul 10, 2017",2.5e-05,2.5e-05,2.3e-05,2.3e-05,157,77609
46,"Jul 09, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,28,78756
47,"Jul 08, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,1,77271
48,"Jul 07, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,3,80250
49,"Jul 06, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,3,80279
50,"Jul 05, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,3,79970
51,"Jul 04, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,247,78306
52,"Jul 03, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,5,76849
53,"Jul 02, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,1,75108
54,"Jul 01, 2017",2.5e-05,2.5e-05,2.4e-05,2.4e-05,1,75674
55,"Jun 30, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,129,77580
56,"Jun 29, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,4,77495
57,"Jun 28, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.6000000000000002e-05,5,76814
58,"Jun 27, 2017",2.4e-05,2.5e-05,2.3e-05,2.5e-05,4,73426
59,"Jun 26, 2017",2.5e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,27,75899
60,"Jun 25, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,1,77317
61,"Jun 24, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,58,81042
62,"Jun 23, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,81,75248
63,"Jun 22, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,17,75248
64,"Jun 21, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,63,75248
65,"Jun 20, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,12,75248
66,"Jun 19, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,0,75248
67,"Jun 18, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,4,75248
68,"Jun 17, 2017",2.5e-05,2.5e-05,2.5e-05,2.5e-05,33,75248
69,"Jun 16, 2017",2.4e-05,2.5e-05,2.3e-05,2.5e-05,130,72711
70,"Jun 15, 2017",2.5e-05,2.5e-05,2.1e-05,2.4e-05,1,74024
71,"Jun 14, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.3e-05,2.5e-05,1,81569
72,"Jun 13, 2017",2.6000000000000002e-05,2.7000000000000002e-05,2.6000000000000002e-05,2.7000000000000002e-05,30,79560
73,"Jun 12, 2017",2.9999999999999997e-05,2.9999999999999997e-05,2.5e-05,2.7000000000000002e-05,9,89588
74,"Jun 11, 2017",2.8999999999999997e-05,2.9999999999999997e-05,2.8999999999999997e-05,2.9999999999999997e-05,184,86666
75,"Jun 10, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8999999999999997e-05,95,83907
76,"Jun 09, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2.8000000000000003e-05,2.8000000000000003e-05,7,83296
77,"Jun 08, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.6000000000000002e-05,2.8000000000000003e-05,112,79999
78,"Jun 07, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.6000000000000002e-05,2.7000000000000002e-05,73,85222
79,"Jun 06, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8999999999999997e-05,9,80102
80,"Jun 05, 2017",2.5e-05,2.7000000000000002e-05,2.5e-05,2.7000000000000002e-05,635,73431
81,"Jun 04, 2017",2.5e-05,2.6000000000000002e-05,2.5e-05,2.5e-05,54,73243
82,"Jun 03, 2017",2.5e-05,2.6000000000000002e-05,2.4e-05,2.5e-05,5,71090
83,"Jun 02, 2017",2.4e-05,2.5e-05,2.4e-05,2.5e-05,4,68923
84,"Jun 01, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,12,65684
85,"May 31, 2017",2.2e-05,2.3e-05,2.2e-05,2.3e-05,67,62898
86,"May 30, 2017",2.3e-05,2.3e-05,2.2e-05,2.2e-05,2,65414
87,"May 29, 2017",2.2e-05,2.3e-05,2.1e-05,2.3e-05,0,61777
88,"May 28, 2017",2e-05,2.3e-05,2e-05,2.2e-05,116,57692
89,"May 27, 2017",2.2e-05,2.3e-05,1.9e-05,2e-05,5,62665
90,"May 26, 2017",2.3e-05,2.6000000000000002e-05,2.1e-05,2.2e-05,2,64116
91,"May 25, 2017",2.4e-05,2.8000000000000003e-05,2.2e-05,2.3e-05,20,68205
92,"May 24, 2017",2.3e-05,2.5e-05,2.3e-05,2.4e-05,61,63349
93,"May 23, 2017",2.1e-05,2.3e-05,2.1e-05,2.3e-05,1,59030
94,"May 22, 2017",2e-05,2.2e-05,2e-05,2.1e-05,0,57121
95,"May 21, 2017",2e-05,2.1e-05,2e-05,2e-05,6,57297
96,"May 20, 2017",2e-05,2e-05,2e-05,2e-05,22,-
97,"May 19, 2017",1.9e-05,2e-05,1.9e-05,2e-05,4,-
98,"May 17, 2017",1.7e-05,1.8e-05,1.7e-05,1.8e-05,0,-
99,"May 16, 2017",1.7e-05,1.8e-05,1.7e-05,1.7e-05,0,-
100,"May 15, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,2,-
101,"May 14, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,8,-
102,"May 13, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0,-
103,"May 12, 2017",1.8e-05,1.8e-05,1.7e-05,1.8e-05,0,-
104,"May 11, 2017",1.8e-05,1.9e-05,1.7e-05,1.8e-05,10,-
105,"May 10, 2017",1.8e-05,1.8e-05,1.7e-05,1.8e-05,0,-
106,"May 08, 2017",1.6e-05,1.7e-05,1.6e-05,1.7e-05,0,-
107,"May 07, 2017",1.6e-05,1.6e-05,1.6e-05,1.6e-05,0,-
108,"May 06, 2017",1.6e-05,1.6e-05,1.4999999999999999e-05,1.6e-05,0,-
109,"May 05, 2017",1.4999999999999999e-05,1.6e-05,1.4999999999999999e-05,1.6e-05,0,-
110,"May 04, 2017",1.4999999999999999e-05,1.6e-05,1.4999999999999999e-05,1.4999999999999999e-05,1,-
111,"May 01, 2017",1.3000000000000001e-05,1.4000000000000001e-05,1.3000000000000001e-05,1.4000000000000001e-05,1,-
112,"Apr 30, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1,-
113,"Apr 29, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,8,-
114,"Apr 28, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,21,-
115,"Apr 27, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,4,-
116,"Apr 26, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,15,-
117,"Apr 24, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
118,"Apr 23, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
119,"Apr 22, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
120,"Apr 21, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
121,"Apr 20, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,10,-
122,"Apr 19, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
123,"Apr 18, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
124,"Apr 17, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2,-
125,"Apr 16, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
126,"Apr 15, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2,-
127,"Apr 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
128,"Apr 13, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
129,"Apr 12, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
130,"Apr 07, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2,-
131,"Apr 06, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,2,-
132,"Apr 05, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,-
133,"Apr 04, 2017",1.2e-05,1.2e-05,1.1e-05,1.1e-05,6,-
134,"Apr 03, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,-
135,"Apr 02, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,-
136,"Apr 01, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,0,-
137,"Mar 31, 2017",1e-05,1.1e-05,1e-05,1.1e-05,0,-
138,"Mar 30, 2017",1e-05,1e-05,1e-05,1e-05,0,-
139,"Mar 29, 2017",1e-05,1.1e-05,1e-05,1.1e-05,0,-
140,"Mar 28, 2017",1.1e-05,1.1e-05,1e-05,1e-05,0,-
141,"Mar 27, 2017",1e-05,1e-05,1e-05,1e-05,0,-
142,"Mar 26, 2017",1e-05,1e-05,1e-05,1e-05,0,-
143,"Mar 25, 2017",9e-06,9e-06,9e-06,9e-06,0,-
144,"Mar 24, 2017",1e-05,1e-05,9e-06,9e-06,0,-
145,"Mar 23, 2017",1.1e-05,1.1e-05,1e-05,1e-05,0,-
146,"Mar 22, 2017",1.1e-05,1.1e-05,1e-05,1e-05,0,-
147,"Mar 21, 2017",1.1e-05,1.1e-05,1.1e-05,1.1e-05,1,-
148,"Mar 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
149,"Mar 13, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
