,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",0.000425,0.000455,0.000424,0.000437,818,62871
1,"Aug 24, 2017",0.000469,0.00047400000000000003,0.000356,0.000425,953,69509
2,"Aug 23, 2017",0.000377,0.000491,0.000333,0.000452,2117,55797
3,"Aug 22, 2017",0.000408,0.00045099999999999996,0.000315,0.000377,5119,60390
4,"Aug 21, 2017",0.00045999999999999996,0.0006230000000000001,0.000359,0.000407,6619,68063
5,"Aug 20, 2017",0.000412,0.00047599999999999997,0.00038500000000000003,0.00046100000000000004,1674,61029
6,"Aug 19, 2017",0.000395,0.000465,0.00031800000000000003,0.000414,3156,58499
7,"Aug 18, 2017",0.000472,0.00054,0.000384,0.000395,2716,69831
8,"Aug 17, 2017",0.000437,0.0008119999999999999,0.00041900000000000005,0.00044400000000000006,3411,64721
9,"Aug 16, 2017",0.00042300000000000004,0.0008439999999999999,0.00035499999999999996,0.000437,1806,62695
10,"Aug 15, 2017",0.00043499999999999995,0.000439,0.00025299999999999997,0.00042300000000000004,4186,64388
11,"Aug 14, 2017",0.00045099999999999996,0.0004969999999999999,0.000349,0.000434,3205,66771
12,"Aug 13, 2017",0.000496,0.0005480000000000001,0.000381,0.00045099999999999996,4334,60652
13,"Aug 12, 2017",0.000508,0.000546,0.000466,0.000496,1693,62172
14,"Aug 11, 2017",0.0005780000000000001,0.00061,0.000463,0.000509,5663,70708
15,"Aug 10, 2017",0.0005690000000000001,0.00078,0.000504,0.0005780000000000001,4986,69517
16,"Aug 09, 2017",0.0005110000000000001,0.00065,0.00045099999999999996,0.0005679999999999999,5223,62509
17,"Aug 08, 2017",0.000522,0.0006190000000000001,0.000443,0.000512,2911,63858
18,"Aug 07, 2017",0.000984,0.000984,0.000521,0.000522,2283,120287
19,"Aug 06, 2017",0.000618,0.001007,0.000589,0.000986,659,75546
20,"Aug 05, 2017",0.000675,0.0007070000000000001,0.000557,0.000618,1052,82586
21,"Aug 04, 2017",0.000504,0.000746,0.000459,0.000676,1233,61681
22,"Aug 03, 2017",0.00062,0.000625,0.000424,0.000504,893,75791
23,"Aug 02, 2017",0.000505,0.00079,0.00046699999999999997,0.0006190000000000001,1092,61800
24,"Aug 01, 2017",0.0008869999999999999,0.00359,0.00040199999999999996,0.0005059999999999999,1369,98557
25,"Jul 31, 2017",0.000542,0.0009390000000000001,0.000537,0.0008869999999999999,711,60186
26,"Jul 30, 2017",0.000547,0.00056,0.000412,0.000541,3137,60793
27,"Jul 29, 2017",0.000566,0.00067,0.00045999999999999996,0.000547,1404,62843
28,"Jul 28, 2017",0.000633,0.00082,0.0005650000000000001,0.0005679999999999999,498,70303
29,"Jul 27, 2017",0.000731,0.000753,0.000512,0.0006309999999999999,2960,81252
30,"Jul 26, 2017",0.001021,0.001052,0.000644,0.00073,4045,113411
31,"Jul 25, 2017",0.000754,0.0010630000000000001,0.000711,0.001021,2621,83761
32,"Jul 24, 2017",0.0008460000000000001,0.001035,0.000752,0.000754,2558,90698
33,"Jul 23, 2017",0.000983,0.0012490000000000001,0.000843,0.000848,3032,105420
34,"Jul 22, 2017",0.002229,0.00228,0.000858,0.000983,2996,239116
35,"Jul 21, 2017",0.00108,0.002445,0.000909,0.002228,3018,115868
36,"Jul 20, 2017",0.000975,0.001323,0.0008810000000000001,0.001073,3495,104567
37,"Jul 19, 2017",0.001431,0.001467,0.000974,0.000978,5812,153433
38,"Jul 18, 2017",0.001882,0.0018859999999999999,0.001037,0.001429,5604,201798
39,"Jul 17, 2017",0.002338,0.0025670000000000003,0.001213,0.001877,2169,250739
40,"Jul 16, 2017",0.0013130000000000001,0.002365,0.001301,0.0023510000000000002,1981,140853
41,"Jul 15, 2017",0.0017219999999999998,0.002323,0.001025,0.001317,7754,174027
42,"Jul 14, 2017",0.002816,0.0029620000000000002,0.0015140000000000002,0.001725,4119,284566
43,"Jul 13, 2017",0.0019690000000000003,0.002821,0.0017879999999999999,0.002817,2280,198950
44,"Jul 12, 2017",0.002724,0.0027429999999999998,0.0019210000000000002,0.001968,2378,275281
45,"Jul 11, 2017",0.002876,0.003718,0.0026309999999999997,0.002736,709,290616
46,"Jul 10, 2017",0.00294,0.003128,0.0025280000000000003,0.002881,3363,297032
47,"Jul 09, 2017",0.003435,0.004656,0.002825,0.002935,6960,347114
48,"Jul 08, 2017",0.0037159999999999997,0.003752,0.0026850000000000003,0.003432,7805,375448
49,"Jul 07, 2017",0.004124,0.004131,0.003062,0.0037070000000000002,2986,407601
50,"Jul 06, 2017",0.003558,0.0052,0.0035409999999999994,0.004128,2957,351626
51,"Jul 05, 2017",0.004947,0.005038,0.003184,0.003556,2593,488907
52,"Jul 04, 2017",0.003134,0.005388,0.00292,0.004888,2372,309777
53,"Jul 03, 2017",0.004007999999999999,0.004306,0.002809,0.003141,3214,396120
54,"Jul 02, 2017",0.005828,0.005884,0.003807,0.004023,2541,559244
55,"Jul 01, 2017",0.006884,0.006904,0.005147,0.005827000000000001,2654,660555
56,"Jun 30, 2017",0.006962,0.007522,0.005288,0.00687,2395,668050
57,"Jun 29, 2017",0.007833,0.008562,0.006952,0.006952,2150,751621
58,"Jun 28, 2017",0.0068709999999999995,0.008711,0.006631000000000001,0.007829000000000001,1403,659256
59,"Jun 27, 2017",0.008376999999999999,0.008868000000000001,0.006188,0.006845,4714,803800
60,"Jun 26, 2017",0.007823,0.009514,0.006227,0.008264,3315,750626
61,"Jun 25, 2017",0.008783,0.014266,0.007417,0.008383,4958,842707
62,"Jun 24, 2017",0.010039,0.01127,0.008626,0.008758,3363,924334
63,"Jun 23, 2017",0.012071,0.012118,0.009929,0.010048,3354,1111410
64,"Jun 22, 2017",0.008686,0.012551999999999999,0.008686,0.012046,9021,799777
65,"Jun 21, 2017",0.014255,0.014278,0.008582,0.008776,2769,1312450
66,"Jun 20, 2017",0.0075450000000000005,0.014688,0.006625,0.0142,9343,694705
67,"Jun 19, 2017",0.010616,0.011053,0.007293000000000001,0.007412,3781,977421
68,"Jun 18, 2017",0.013757,0.015397,0.007056999999999999,0.010574,5475,1266610
69,"Jun 17, 2017",0.01042,0.015340000000000001,0.007965999999999999,0.013694999999999999,11911,959403
70,"Jun 16, 2017",0.013321000000000001,0.013853,0.007423000000000001,0.010221,5309,1226500
71,"Jun 15, 2017",0.011258,0.014261000000000001,0.009983,0.013402,10738,1001510
72,"Jun 14, 2017",0.018517,0.02037,0.009579,0.011328,5059,1647230
73,"Jun 13, 2017",0.015015,0.018605,0.010409,0.018502,27334,1335730
74,"Jun 12, 2017",0.013130000000000001,0.016855000000000002,0.013130000000000001,0.015201,16216,1168070
75,"Jun 11, 2017",0.016568,0.016895,0.011993,0.013637,3192,1473850
76,"Jun 10, 2017",0.015383,0.018548,0.01525,0.016614,23225,1368440
77,"Jun 09, 2017",0.013584,0.016218,0.012981,0.015373,19363,1208420
78,"Jun 08, 2017",0.015784,0.016319,0.01374,0.013884,7841,1404170
79,"Jun 07, 2017",0.018285,0.019875999999999998,0.014062,0.015886,21096,1626620
80,"Jun 06, 2017",0.022185,0.02219,0.016587,0.018283,31588,1973570
81,"Jun 05, 2017",0.024057,0.025128,0.017183,0.02228,24323,2140110
82,"Jun 04, 2017",0.021915999999999998,0.024937,0.021187,0.024036000000000002,36306,1873510
83,"Jun 03, 2017",0.027499000000000003,0.027598,0.021575,0.021973,16731,2350780
84,"Jun 02, 2017",0.028392,0.031616000000000005,0.022535,0.027420999999999997,92518,2427130
85,"Jun 01, 2017",0.033756,0.035595999999999996,0.027849000000000002,0.028361,33221,2885650
86,"May 31, 2017",0.033092,0.034282,0.028268,0.033848,95981,2828910
87,"May 30, 2017",0.031398,0.034095,0.029199,0.033068,55832,2684150
88,"May 29, 2017",0.028392,0.031916,0.027048000000000003,0.031301,67690,2427150
89,"May 28, 2017",0.025755,0.030095,0.02518,0.028406999999999998,47925,2201720
90,"May 27, 2017",0.025838,0.028014999999999998,0.021272,0.025583,67580,2208780
