,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",5.02,5.46,4.94,5.27,9306450,502380000
1,"Aug 24, 2017",4.63,5.02,4.55,5.02,3537820,463403000
2,"Aug 23, 2017",4.49,4.82,4.44,4.6,2989630,449053000
3,"Aug 22, 2017",4.38,4.74,3.81,4.46,3358640,437971000
4,"Aug 21, 2017",4.85,4.88,4.33,4.39,4064960,485218000
5,"Aug 20, 2017",4.43,4.92,4.29,4.86,4519570,442870000
6,"Aug 19, 2017",4.3,4.45,4.1,4.43,3801000,429611000
7,"Aug 18, 2017",4.57,4.73,4.1,4.3,2588840,456631000
8,"Aug 17, 2017",4.81,4.95,4.46,4.58,2609230,481390000
9,"Aug 16, 2017",4.8,4.96,4.58,4.83,2607640,479668000
10,"Aug 15, 2017",4.73,5.16,4.31,4.79,5107560,473033000
11,"Aug 14, 2017",4.83,5.04,4.54,4.72,5089710,483469000
12,"Aug 13, 2017",5.05,5.28,4.63,4.79,5823330,504705000
13,"Aug 12, 2017",5.58,5.58,4.89,5.05,6782250,557670000
14,"Aug 11, 2017",5.6,5.78,5.13,5.54,7567900,560241000
15,"Aug 10, 2017",5.24,5.63,5.15,5.6,7501860,524375000
16,"Aug 09, 2017",5.38,5.45,4.9,5.27,4960110,538244000
17,"Aug 08, 2017",5.64,5.83,5.04,5.41,6867910,564066000
18,"Aug 07, 2017",5.18,5.75,4.62,5.64,7792050,518233000
19,"Aug 06, 2017",4.32,5.37,4.29,5.21,7075590,432028000
20,"Aug 05, 2017",3.67,4.57,3.65,4.32,4831480,367228000
21,"Aug 04, 2017",3.87,4.13,3.59,3.67,4324800,386797000
22,"Aug 03, 2017",3.54,3.96,3.46,3.84,4766700,354471000
23,"Aug 02, 2017",3.02,3.6,2.96,3.51,3739710,302169000
24,"Aug 01, 2017",2.77,3.11,2.61,3.01,3257400,277390000
25,"Jul 31, 2017",2.74,2.87,2.62,2.78,2651760,273812000
26,"Jul 30, 2017",2.87,2.93,2.72,2.72,1530680,286809000
27,"Jul 29, 2017",2.98,3.06,2.69,2.87,2116910,297597000
28,"Jul 28, 2017",2.76,3.11,2.45,3.0,3030820,276459000
29,"Jul 27, 2017",2.74,2.84,2.6,2.75,1889170,274372000
30,"Jul 26, 2017",2.92,2.99,2.5,2.74,3013790,291623000
31,"Jul 25, 2017",3.52,3.56,2.76,2.91,2462600,351753000
32,"Jul 24, 2017",3.65,3.71,3.39,3.52,1813130,364582000
33,"Jul 23, 2017",3.9,3.97,3.5,3.65,2608730,390012000
34,"Jul 22, 2017",3.24,4.17,3.23,3.9,3246480,324151000
35,"Jul 21, 2017",3.26,3.44,3.13,3.24,2167520,326154000
36,"Jul 20, 2017",2.61,3.43,2.61,3.25,2164540,260970000
37,"Jul 19, 2017",2.83,2.87,2.53,2.64,2096680,282847000
38,"Jul 18, 2017",2.52,2.95,2.38,2.83,2325000,252329000
39,"Jul 17, 2017",1.97,2.52,1.94,2.52,1909110,196939000
40,"Jul 16, 2017",2.01,2.06,1.77,1.97,1677160,201211000
41,"Jul 15, 2017",2.43,2.43,1.98,2.04,2860750,242705000
42,"Jul 14, 2017",2.89,2.89,2.33,2.43,2439500,289495000
43,"Jul 13, 2017",3.05,3.09,2.72,2.9,1734160,305263000
44,"Jul 12, 2017",2.59,3.05,2.42,3.05,1930340,258727000
45,"Jul 11, 2017",2.79,2.96,2.49,2.59,3152450,278827000
46,"Jul 10, 2017",3.74,3.76,2.73,2.82,2638830,373806000
47,"Jul 09, 2017",3.92,3.94,3.75,3.75,1225380,392118000
48,"Jul 08, 2017",3.79,3.93,3.5,3.93,1412280,379403000
49,"Jul 07, 2017",4.33,4.36,3.71,3.77,2631630,432714000
50,"Jul 06, 2017",4.58,4.65,4.24,4.34,2939230,457740000
51,"Jul 05, 2017",4.32,4.79,4.28,4.56,5733020,431855000
52,"Jul 04, 2017",3.79,4.49,3.75,4.32,5214290,378985000
53,"Jul 03, 2017",3.61,3.87,3.48,3.81,2625710,361116000
54,"Jul 02, 2017",3.7,3.71,3.51,3.62,2239090,369637000
55,"Jul 01, 2017",3.57,4.08,3.53,3.7,2615170,357030000
56,"Jun 30, 2017",3.95,3.97,3.51,3.57,2036280,394515000
57,"Jun 29, 2017",4.24,4.28,3.9,3.91,1639660,423977000
58,"Jun 28, 2017",4.31,4.34,4.03,4.24,2772690,431391000
59,"Jun 27, 2017",3.95,4.31,3.66,4.29,2439380,395139000
60,"Jun 26, 2017",4.64,4.65,3.53,3.83,6562970,464448000
61,"Jun 25, 2017",4.88,4.96,4.45,4.62,3048820,488443000
62,"Jun 24, 2017",5.21,5.34,4.73,4.86,2400890,521488000
63,"Jun 23, 2017",4.91,5.36,4.81,5.21,2166710,491211000
64,"Jun 22, 2017",4.91,5.05,4.8,4.92,2058720,490781000
65,"Jun 21, 2017",5.06,5.12,4.87,4.89,2505130,506126000
