,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",8.7e-05,8.8e-05,4.3e-05,4.4e-05,2,-
1,"Aug 24, 2017",8.3e-05,8.7e-05,8.2e-05,8.7e-05,1,-
2,"Aug 23, 2017",8.2e-05,8.499999999999999e-05,8.1e-05,8.3e-05,1,-
3,"Aug 22, 2017",8e-05,8.3e-05,7.2e-05,8.2e-05,2,-
4,"Aug 21, 2017",4.1e-05,8.1e-05,4e-05,8e-05,1,-
5,"Aug 20, 2017",8.3e-05,8.3e-05,8.1e-05,8.2e-05,1,-
6,"Aug 19, 2017",8.2e-05,8.3e-05,7.900000000000001e-05,8.3e-05,1,-
7,"Aug 18, 2017",4.3e-05,4.3e-05,4.2e-05,4.3e-05,2,-
8,"Aug 17, 2017",4.3e-05,4.5e-05,4.2e-05,4.3e-05,2,-
9,"Aug 16, 2017",4.2e-05,4.2e-05,3.9e-05,4.1e-05,41,-
10,"Aug 15, 2017",8.7e-05,8.9e-05,3.9e-05,4.1e-05,62,-
11,"Aug 14, 2017",8.1e-05,8.6e-05,4.2e-05,8.6e-05,88,-
12,"Aug 13, 2017",7.7e-05,8.4e-05,4e-05,8.1e-05,42,-
13,"Aug 12, 2017",7.3e-05,7.8e-05,7.2e-05,7.7e-05,5,-
14,"Aug 11, 2017",6.8e-05,7.4e-05,6.8e-05,7.3e-05,0,-
15,"Aug 10, 2017",6.7e-05,6.9e-05,3.4e-05,6.8e-05,17,-
16,"Aug 09, 2017",6.6e-05,6.7e-05,6.500000000000001e-05,6.7e-05,7,-
17,"Aug 08, 2017",6.8e-05,7e-05,6.7e-05,6.8e-05,0,-
18,"Aug 07, 2017",6.4e-05,9.7e-05,6.4e-05,6.8e-05,13,-
19,"Aug 06, 2017",6.500000000000001e-05,9.7e-05,6.3e-05,6.500000000000001e-05,1,-
20,"Aug 05, 2017",5.6999999999999996e-05,6.6e-05,3.1e-05,6.500000000000001e-05,29,-
21,"Aug 04, 2017",8.499999999999999e-05,8.6e-05,5.6999999999999996e-05,5.6999999999999996e-05,53,-
22,"Aug 03, 2017",5.4000000000000005e-05,5.5e-05,5.4000000000000005e-05,5.5e-05,27,-
23,"Aug 02, 2017",8.2e-05,8.3e-05,5.3e-05,5.4000000000000005e-05,27,-
24,"Aug 01, 2017",5.6999999999999996e-05,8.6e-05,5.6999999999999996e-05,8.2e-05,8,-
25,"Jul 31, 2017",8.1e-05,8.4e-05,5.6000000000000006e-05,5.6999999999999996e-05,5,-
26,"Jul 30, 2017",5.4000000000000005e-05,5.4000000000000005e-05,5.2000000000000004e-05,5.3e-05,1,-
27,"Jul 29, 2017",5.6000000000000006e-05,8.3e-05,5.4000000000000005e-05,5.4000000000000005e-05,3,-
28,"Jul 28, 2017",8e-05,8.2e-05,5.4000000000000005e-05,5.6000000000000006e-05,2,-
29,"Jul 27, 2017",7.7e-05,8e-05,7.6e-05,8e-05,3,-
30,"Jul 26, 2017",5.1e-05,5.2000000000000004e-05,4.8e-05,5e-05,0,-
31,"Jul 25, 2017",5.5e-05,5.6000000000000006e-05,4.9e-05,5.1e-05,0,-
32,"Jul 24, 2017",8.3e-05,8.3e-05,5.5e-05,5.5e-05,8,-
33,"Jul 23, 2017",8.499999999999999e-05,8.6e-05,8e-05,8.3e-05,1,-
34,"Jul 22, 2017",8e-05,8.7e-05,8e-05,8.499999999999999e-05,7,-
35,"Jul 21, 2017",5.6999999999999996e-05,8.1e-05,5.2000000000000004e-05,8e-05,3,-
36,"Jul 20, 2017",4.5e-05,7e-05,4.5e-05,5.6000000000000006e-05,7,-
37,"Jul 19, 2017",4.6e-05,7.099999999999999e-05,4.5e-05,4.5e-05,30,-
38,"Jul 18, 2017",6.9e-05,7e-05,4.5e-05,4.6e-05,4,-
39,"Jul 17, 2017",3.8e-05,4.4e-05,3.8e-05,4.4e-05,0,-
40,"Jul 16, 2017",5.9999999999999995e-05,5.9999999999999995e-05,3.7e-05,3.9e-05,4,-
41,"Jul 15, 2017",6.6e-05,6.6e-05,5.9999999999999995e-05,5.9999999999999995e-05,13,-
42,"Jul 13, 2017",4.8e-05,4.8e-05,4.6e-05,4.7e-05,2,-
43,"Jul 12, 2017",4.6e-05,7.2e-05,4.5e-05,4.8e-05,32,-
44,"Jul 11, 2017",7e-05,7.099999999999999e-05,4.5e-05,4.6e-05,64,-
45,"Jul 10, 2017",7.5e-05,7.5e-05,4.7e-05,7e-05,21,-
46,"Jul 09, 2017",7.6e-05,7.7e-05,7.5e-05,7.5e-05,8,-
47,"Jul 08, 2017",5e-05,7.6e-05,4.9e-05,7.6e-05,16,-
48,"Jul 07, 2017",5.2000000000000004e-05,7.8e-05,4.9e-05,5e-05,40,-
49,"Jul 06, 2017",7.8e-05,7.8e-05,5.1e-05,5.2000000000000004e-05,17,-
50,"Jul 05, 2017",7.8e-05,7.8e-05,7.6e-05,7.8e-05,0,-
51,"Jul 04, 2017",7.6e-05,7.900000000000001e-05,5.1e-05,7.8e-05,110,-
52,"Jul 03, 2017",7.5e-05,7.7e-05,7.4e-05,7.6e-05,13,-
53,"Jul 02, 2017",7.099999999999999e-05,9.9e-05,7.099999999999999e-05,7.5e-05,51,-
54,"Jul 01, 2017",7.4e-05,7.5e-05,7.2e-05,7.2e-05,1,-
55,"Jun 30, 2017",7.6e-05,0.000102,7.3e-05,7.4e-05,286,-
56,"Jun 29, 2017",7.7e-05,7.7e-05,5e-05,7.6e-05,22,-
57,"Jun 28, 2017",7.6e-05,7.8e-05,7.4e-05,7.7e-05,18,-
58,"Jun 27, 2017",4.9e-05,7.6e-05,4.8e-05,7.6e-05,22,-
59,"Jun 26, 2017",5e-05,5.1e-05,4.6e-05,4.9e-05,38,-
60,"Jun 25, 2017",5.1e-05,5.3e-05,4.9e-05,5e-05,0,-
61,"Jun 24, 2017",8.1e-05,8.2e-05,5e-05,5.1e-05,6,-
62,"Jun 23, 2017",5e-05,8.2e-05,5e-05,8.1e-05,13,-
63,"Jun 22, 2017",7.5e-05,7.5e-05,5e-05,5e-05,159,-
64,"Jun 21, 2017",5e-05,7.5e-05,5e-05,7.5e-05,80,-
65,"Jun 20, 2017",7.5e-05,7.5e-05,5e-05,5e-05,18,-
66,"Jun 19, 2017",5e-05,7.5e-05,5e-05,7.5e-05,5,-
67,"Jun 18, 2017",5e-05,5e-05,5e-05,5e-05,8,-
68,"Jun 17, 2017",5e-05,5e-05,5e-05,5e-05,11,-
69,"Jun 16, 2017",5e-05,5e-05,5e-05,5e-05,1,-
70,"Jun 15, 2017",4.9e-05,5e-05,4.5e-05,4.8e-05,2,-
71,"Jun 14, 2017",5.4000000000000005e-05,5.6000000000000006e-05,4.7e-05,4.9e-05,2,-
72,"Jun 13, 2017",5.3e-05,5.5e-05,5.3e-05,5.4000000000000005e-05,3,-
73,"Jun 12, 2017",5.9e-05,8.9e-05,5e-05,5.3e-05,66,-
74,"Jun 11, 2017",8.7e-05,8.7e-05,5.6999999999999996e-05,5.9999999999999995e-05,9,-
75,"Jun 10, 2017",5.6000000000000006e-05,8.7e-05,5.6000000000000006e-05,8.7e-05,2,-
76,"Jun 09, 2017",8.4e-05,8.499999999999999e-05,5.6000000000000006e-05,5.6000000000000006e-05,60,-
77,"Jun 08, 2017",8.1e-05,8.4e-05,5.4000000000000005e-05,8.4e-05,41,-
78,"Jun 07, 2017",8.6e-05,0.000169,5.3e-05,8e-05,2020,-
79,"Jun 06, 2017",5.4000000000000005e-05,8.6e-05,2.7000000000000002e-05,8.6e-05,2846,-
80,"Jun 05, 2017",2.5e-05,5.4000000000000005e-05,2.5e-05,5.4000000000000005e-05,416,-
81,"Jun 04, 2017",2.5e-05,5.1e-05,2.5e-05,2.5e-05,19,-
82,"Jun 03, 2017",4.9e-05,5.1e-05,4.9e-05,5.1e-05,0,-
83,"Jun 02, 2017",2.4e-05,5e-05,2.4e-05,5e-05,8,-
84,"Jun 01, 2017",2.4e-05,2.4e-05,2.3e-05,2.4e-05,4,-
85,"May 31, 2017",2.2e-05,2.3e-05,2.2e-05,2.3e-05,0,-
86,"May 30, 2017",2.3e-05,2.3e-05,2.2e-05,2.2e-05,0,-
87,"May 29, 2017",2.2e-05,2.3e-05,2.1e-05,2.3e-05,0,-
88,"May 28, 2017",2e-05,2.3e-05,2e-05,2.2e-05,2,-
89,"May 27, 2017",2.2e-05,2.3e-05,1.9e-05,2e-05,0,-
90,"May 26, 2017",2.3e-05,2.6000000000000002e-05,2.1e-05,2.2e-05,1,-
91,"May 25, 2017",2.6000000000000002e-05,2.8000000000000003e-05,2.2e-05,2.3e-05,9,-
92,"May 24, 2017",2.3e-05,2.4e-05,2.3e-05,2.4e-05,11,-
93,"May 23, 2017",2.1e-05,4.5e-05,2.1e-05,2.3e-05,12,-
94,"May 22, 2017",4.1e-05,4.4e-05,2e-05,2.1e-05,1,-
95,"May 21, 2017",4.1e-05,4.1e-05,2e-05,4.1e-05,5,-
96,"May 20, 2017",2e-05,4.1e-05,2e-05,4.1e-05,2,-
97,"May 19, 2017",1.9e-05,2e-05,1.9e-05,2e-05,4,-
98,"May 16, 2017",1.7e-05,1.7e-05,1.7e-05,1.7e-05,0,-
99,"May 15, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,0,-
100,"May 14, 2017",1.8e-05,1.8e-05,1.8e-05,1.8e-05,0,-
101,"May 13, 2017",1.7e-05,3.5e-05,1.6e-05,1.8e-05,1,-
102,"May 12, 2017",1.8e-05,1.8e-05,1.7e-05,1.7e-05,9,-
103,"May 11, 2017",1.8e-05,1.9e-05,1.7e-05,1.8e-05,0,-
104,"May 10, 2017",1.8e-05,1.8e-05,1.7e-05,1.8e-05,0,-
105,"May 09, 2017",1.7e-05,1.8e-05,1.7e-05,1.8e-05,20,-
106,"May 08, 2017",1.6e-05,1.7e-05,1.6e-05,1.7e-05,1,-
107,"May 07, 2017",1.6e-05,1.6e-05,1.6e-05,1.6e-05,1,-
108,"May 06, 2017",1.6e-05,1.6e-05,1.4999999999999999e-05,1.6e-05,2,-
109,"May 05, 2017",3.1e-05,3.1e-05,1.4999999999999999e-05,1.6e-05,1,-
110,"May 04, 2017",1.4999999999999999e-05,3.2e-05,1.4999999999999999e-05,3.1e-05,2,-
111,"May 03, 2017",1.4999999999999999e-05,1.4999999999999999e-05,1.4000000000000001e-05,1.4999999999999999e-05,0,-
112,"May 02, 2017",2.8000000000000003e-05,2.8999999999999997e-05,1.4000000000000001e-05,1.4999999999999999e-05,1,-
113,"May 01, 2017",2.7000000000000002e-05,2.8999999999999997e-05,2.7000000000000002e-05,2.8000000000000003e-05,0,-
114,"Apr 30, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,0,-
115,"Apr 29, 2017",2.6000000000000002e-05,2.7000000000000002e-05,1.3000000000000001e-05,1.3000000000000001e-05,0,-
116,"Apr 28, 2017",2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,2.6000000000000002e-05,5,-
117,"Apr 24, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
118,"Apr 23, 2017",1.2e-05,2.5e-05,1.2e-05,1.2e-05,0,-
119,"Apr 22, 2017",2.4e-05,2.5e-05,1.2e-05,1.2e-05,2,-
120,"Apr 21, 2017",2.5e-05,2.5e-05,1.2e-05,2.4e-05,4,-
121,"Apr 20, 2017",1.2e-05,2.5e-05,1.2e-05,2.5e-05,0,-
122,"Apr 19, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
123,"Apr 18, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
124,"Apr 17, 2017",2.4e-05,2.4e-05,1.2e-05,1.2e-05,6,-
125,"Apr 16, 2017",2.3e-05,2.4e-05,1.2e-05,2.4e-05,14,-
126,"Apr 15, 2017",1.2e-05,2.4e-05,1.2e-05,2.3e-05,5,-
127,"Apr 14, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,3,-
128,"Apr 13, 2017",2.4e-05,2.4e-05,1.2e-05,1.2e-05,0,-
129,"Apr 12, 2017",2.4e-05,2.4e-05,2.4e-05,2.4e-05,0,-
130,"Apr 11, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,0,-
131,"Apr 10, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
132,"Apr 08, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
133,"Apr 07, 2017",1.2e-05,1.2e-05,1.2e-05,1.2e-05,1,-
134,"Apr 04, 2017",1.1e-05,1.2e-05,1.1e-05,1.1e-05,11,-
135,"Apr 03, 2017",1.1e-05,1.2e-05,1.1e-05,1.1e-05,11,-
136,"Apr 02, 2017",1.1e-05,2.2e-05,1.1e-05,1.1e-05,0,-
137,"Apr 01, 2017",1.1e-05,2.2e-05,1.1e-05,1.1e-05,10,-
138,"Mar 31, 2017",1e-05,1.1e-05,1e-05,1.1e-05,33,-
139,"Mar 30, 2017",1e-05,1e-05,1e-05,1e-05,13,-
140,"Mar 29, 2017",2.1e-05,2.1e-05,1e-05,1e-05,29,-
141,"Mar 28, 2017",2.1e-05,2.1e-05,1e-05,2.1e-05,176,-
142,"Mar 27, 2017",1.9e-05,2.1e-05,1e-05,2.1e-05,990,-
143,"Mar 26, 2017",1.9e-05,2e-05,1e-05,1.9e-05,39,-
144,"Mar 25, 2017",1.9e-05,2e-05,1.8e-05,1.9e-05,1,-
145,"Mar 24, 2017",1e-05,2e-05,1e-05,1.9e-05,7,-
146,"Mar 23, 2017",1.1e-05,2.1e-05,1e-05,1e-05,22,-
147,"Mar 22, 2017",1.1e-05,2.2e-05,1e-05,1e-05,0,-
148,"Mar 21, 2017",2.1e-05,2.2e-05,1.1e-05,1.1e-05,20,-
149,"Mar 20, 2017",1e-05,2.1e-05,1e-05,2.1e-05,4,-
150,"Mar 19, 2017",1e-05,2e-05,1e-05,1e-05,12,-
151,"Mar 18, 2017",2.2e-05,2.2e-05,1e-05,1e-05,3,-
152,"Mar 17, 2017",2.4e-05,2.4e-05,1.1e-05,2.2e-05,11,-
153,"Mar 16, 2017",2.5e-05,2.5e-05,1.2e-05,2.4e-05,5,-
154,"Mar 15, 2017",2.5e-05,2.5e-05,1.2e-05,2.5e-05,15,-
155,"Mar 14, 2017",2.5e-05,2.5e-05,1.2e-05,2.5e-05,19,-
156,"Mar 13, 2017",1.2e-05,2.5e-05,1.2e-05,2.5e-05,13,-
157,"Mar 12, 2017",1.2e-05,2.4e-05,1.2e-05,1.2e-05,21,-
158,"Mar 11, 2017",1.1e-05,1.2e-05,1.1e-05,1.2e-05,0,-
159,"Mar 10, 2017",2.4e-05,2.5e-05,1.1e-05,1.1e-05,78,-
160,"Mar 09, 2017",1.2e-05,2.4e-05,1.1e-05,2.4e-05,821,-
161,"Mar 08, 2017",1.2e-05,1.2e-05,1.1e-05,1.2e-05,1,-
162,"Mar 03, 2017",1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,1.3000000000000001e-05,0,-
