,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",3e-06,7.000000000000001e-06,3e-06,6e-06,4065,495454
1,"Aug 24, 2017",4e-06,4e-06,2e-06,3e-06,5216,603618
2,"Aug 23, 2017",1e-05,1e-05,4e-06,4e-06,4344,1419340
3,"Aug 22, 2017",9e-06,1.3000000000000001e-05,7.000000000000001e-06,1e-05,3121,1252380
4,"Aug 21, 2017",3e-06,9e-06,3e-06,9e-06,1461,492029
5,"Aug 20, 2017",3e-06,6e-06,2e-06,3e-06,4558,465594
6,"Aug 19, 2017",4e-06,4e-06,2e-06,3e-06,5534,557193
7,"Aug 18, 2017",3e-06,4e-06,3e-06,4e-06,3674,452030
8,"Aug 17, 2017",3e-06,3e-06,2e-06,3e-06,8721,404995
9,"Aug 16, 2017",3e-06,4e-06,2e-06,3e-06,4440,418462
10,"Aug 15, 2017",3e-06,3e-06,2e-06,3e-06,8336,418997
11,"Aug 14, 2017",7.000000000000001e-06,8e-06,3e-06,3e-06,6804,996619
12,"Aug 13, 2017",5e-06,7.000000000000001e-06,4e-06,7.000000000000001e-06,4783,706660
13,"Aug 12, 2017",1.4000000000000001e-05,1.4000000000000001e-05,3e-06,5e-06,5496,1972390
14,"Aug 11, 2017",4e-06,1.8e-05,4e-06,1.4000000000000001e-05,7374,563747
15,"Aug 10, 2017",2e-06,5e-06,2e-06,4e-06,2520,276312
16,"Aug 09, 2017",2e-06,2e-06,2e-06,2e-06,1486,288207
17,"Aug 08, 2017",2e-06,3e-06,2e-06,2e-06,1699,241891
18,"Aug 07, 2017",1e-06,2e-06,1e-06,2e-06,2783,202119
19,"Aug 06, 2017",2e-06,2e-06,1e-06,1e-06,1950,232323
20,"Aug 05, 2017",1e-06,2e-06,1e-06,2e-06,3117,210005
21,"Aug 04, 2017",4e-06,4e-06,1e-06,1e-06,2598,525920
22,"Aug 03, 2017",1e-06,4e-06,1e-06,4e-06,2087,200796
23,"Aug 02, 2017",1e-06,2e-06,1e-06,1e-06,1334,186819
24,"Aug 01, 2017",2e-06,2e-06,1e-06,1e-06,748,264708
25,"Jul 31, 2017",3e-06,5e-06,2e-06,2e-06,1854,451976
26,"Jul 30, 2017",2e-06,3e-06,1e-06,3e-06,1518,242287
27,"Jul 29, 2017",3e-06,3e-06,2e-06,2e-06,1292,362599
28,"Jul 28, 2017",2e-06,3e-06,1e-06,3e-06,1310,216366
29,"Jul 27, 2017",3e-06,3e-06,1e-06,2e-06,1730,449653
30,"Jul 26, 2017",2e-06,3e-06,2e-06,3e-06,1994,304770
31,"Jul 25, 2017",2e-06,3e-06,2e-06,2e-06,3969,308223
32,"Jul 24, 2017",3e-06,3e-06,1e-06,2e-06,2333,436114
33,"Jul 23, 2017",3e-06,5e-06,2e-06,3e-06,2234,372421
34,"Jul 22, 2017",2e-06,3e-06,2e-06,3e-06,2037,256384
35,"Jul 21, 2017",2e-06,2e-06,1e-06,2e-06,1070,254881
36,"Jul 20, 2017",9e-06,1.1e-05,2e-06,2e-06,5513,1290360
37,"Jul 19, 2017",3e-06,1e-05,3e-06,1e-05,1287,388477
38,"Jul 18, 2017",3e-06,4e-06,2e-06,3e-06,1729,464281
39,"Jul 17, 2017",2e-06,4e-06,2e-06,3e-06,1859,249184
40,"Jul 16, 2017",4e-06,4e-06,2e-06,2e-06,3117,513088
41,"Jul 15, 2017",2e-06,4e-06,2e-06,4e-06,955,272455
42,"Jul 14, 2017",4e-06,5e-06,1e-06,2e-06,5423,482158
43,"Jul 13, 2017",3e-06,4e-06,2e-06,4e-06,4252,444865
44,"Jul 12, 2017",3e-06,4e-06,3e-06,3e-06,4565,408434
45,"Jul 11, 2017",4e-06,4e-06,3e-06,3e-06,6036,523479
46,"Jul 10, 2017",8e-06,8e-06,4e-06,4e-06,2735,1099360
47,"Jul 09, 2017",7.000000000000001e-06,1e-05,7.000000000000001e-06,8e-06,3484,898971
48,"Jul 08, 2017",8e-06,9e-06,5e-06,7.000000000000001e-06,3351,1125020
49,"Jul 07, 2017",5e-06,1.3000000000000001e-05,5e-06,8e-06,8341,687062
50,"Jul 06, 2017",6e-06,7.000000000000001e-06,3e-06,5e-06,11189,865534
51,"Jul 05, 2017",4e-06,1.2e-05,4e-06,6e-06,6337,582089
52,"Jul 04, 2017",8e-06,8e-06,4e-06,4e-06,7061,1038270
53,"Jul 03, 2017",1.1e-05,1.1e-05,6e-06,8e-06,9762,1376800
54,"Jul 02, 2017",8e-06,1.4000000000000001e-05,8e-06,1.1e-05,19878,1050910
55,"Jul 01, 2017",1.2e-05,1.3000000000000001e-05,8e-06,8e-06,8161,1548310
56,"Jun 30, 2017",1.3000000000000001e-05,1.8e-05,1.1e-05,1.2e-05,12042,1614280
57,"Jun 29, 2017",1e-05,1.3000000000000001e-05,7.000000000000001e-06,1.3000000000000001e-05,18593,1252160
58,"Jun 28, 2017",3e-06,1e-05,3e-06,1e-05,25674,447991
