,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",5.47,5.54,5.29,5.48,183001,16509400
1,"Aug 24, 2017",5.32,5.47,5.25,5.47,174738,16062400
2,"Aug 23, 2017",5.29,5.4,5.22,5.32,158946,15988300
3,"Aug 22, 2017",5.11,5.31,5.08,5.29,93145,15424300
4,"Aug 21, 2017",5.15,5.26,5.02,5.1,82435,15560200
5,"Aug 20, 2017",5.11,5.3,5.0,5.15,89323,15445600
6,"Aug 19, 2017",5.3,5.35,4.89,5.11,140818,16001600
7,"Aug 18, 2017",5.4,5.52,5.22,5.29,153104,16295700
8,"Aug 17, 2017",5.38,5.42,5.26,5.4,70156,16253300
9,"Aug 16, 2017",5.46,5.47,5.31,5.38,79222,16481500
10,"Aug 15, 2017",5.48,5.57,5.32,5.5,238097,16553900
11,"Aug 14, 2017",5.41,5.85,5.4,5.48,231739,16351000
12,"Aug 13, 2017",5.75,5.76,5.37,5.41,241434,17370400
13,"Aug 12, 2017",5.82,5.92,5.71,5.75,247783,17591800
14,"Aug 11, 2017",5.78,5.92,5.64,5.92,226765,17443500
15,"Aug 10, 2017",5.78,5.9,5.71,5.78,257766,17459600
16,"Aug 09, 2017",5.9,5.96,5.78,5.78,197871,17809000
17,"Aug 08, 2017",6.16,6.16,5.77,5.9,273686,18612900
18,"Aug 07, 2017",5.8,6.17,5.69,6.17,379761,17508200
19,"Aug 06, 2017",6.3,6.35,5.75,5.79,452737,19036100
20,"Aug 05, 2017",5.85,6.32,5.68,6.32,492526,17678300
21,"Aug 04, 2017",5.72,6.07,5.66,5.86,580804,17285500
22,"Aug 03, 2017",5.58,5.85,5.49,5.85,188895,16847700
23,"Aug 02, 2017",5.55,5.69,5.41,5.57,201199,16764000
24,"Aug 01, 2017",5.34,5.6,5.33,5.51,138303,16123200
25,"Jul 31, 2017",5.28,5.42,5.22,5.34,92291,15945700
26,"Jul 30, 2017",5.37,5.42,5.25,5.28,69929,16223600
27,"Jul 29, 2017",5.43,5.45,5.2,5.4,126991,16406800
28,"Jul 28, 2017",5.65,5.68,5.38,5.44,276903,17051600
29,"Jul 27, 2017",5.8,5.83,5.5,5.65,331659,17529200
30,"Jul 26, 2017",5.64,5.85,5.18,5.8,549461,17034800
31,"Jul 25, 2017",6.35,6.64,5.58,5.71,1034240,19187000
32,"Jul 24, 2017",6.22,6.79,6.03,6.35,1510810,18800700
33,"Jul 23, 2017",6.73,6.99,5.81,6.2,1406820,20338500
34,"Jul 22, 2017",6.3,6.77,6.3,6.7,1229870,19026200
35,"Jul 21, 2017",6.03,6.38,5.76,6.24,1205280,18221100
36,"Jul 20, 2017",5.22,6.23,5.19,6.02,969366,15766400
37,"Jul 19, 2017",5.46,5.65,5.1,5.23,776004,16476700
38,"Jul 18, 2017",5.05,5.6,4.86,5.4,860719,15265200
39,"Jul 17, 2017",4.66,5.15,4.56,5.05,738947,14084200
40,"Jul 16, 2017",4.98,5.23,4.55,4.61,410245,15050000
41,"Jul 15, 2017",5.65,5.66,4.77,5.02,658439,17056700
42,"Jul 14, 2017",6.07,6.11,5.49,5.64,498945,18346300
43,"Jul 13, 2017",6.43,6.63,6.03,6.12,658866,19428000
44,"Jul 12, 2017",6.21,6.47,5.77,6.47,896179,18751200
45,"Jul 11, 2017",6.75,6.86,5.97,6.21,882566,20377200
46,"Jul 10, 2017",7.2,7.42,6.6,6.74,1314410,21758600
47,"Jul 09, 2017",7.36,7.77,7.05,7.2,957166,22232300
48,"Jul 08, 2017",7.04,7.48,6.36,7.29,1142650,21264000
49,"Jul 07, 2017",7.83,7.83,6.96,7.1,1386090,23648200
50,"Jul 06, 2017",8.71,9.01,7.7,7.77,3133820,26313300
51,"Jul 05, 2017",8.57,9.27,8.35,8.74,1898800,25888600
52,"Jul 04, 2017",8.24,8.77,8.04,8.53,2268300,24894000
53,"Jul 03, 2017",7.94,8.29,7.73,8.2,1708330,23992600
54,"Jul 02, 2017",8.03,8.07,7.48,7.88,1468340,24257200
55,"Jul 01, 2017",8.21,8.57,7.95,8.1,2179240,24800300
56,"Jun 30, 2017",8.14,8.32,7.89,8.21,1023840,24585900
