,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.2e-05,4.2e-05,2.8000000000000003e-05,2.8000000000000003e-05,50,-
1,"Aug 24, 2017",1e-05,4.2e-05,1e-05,4.2e-05,71,-
2,"Aug 23, 2017",3.1e-05,3.1e-05,9e-06,9e-06,46,-
3,"Aug 22, 2017",1.1e-05,3.3e-05,1e-05,3.3e-05,31,-
4,"Aug 21, 2017",5e-06,1.1e-05,3e-06,1.1e-05,22,-
5,"Aug 20, 2017",2e-06,7.000000000000001e-06,2e-06,5e-06,37,-
6,"Aug 19, 2017",2.8000000000000003e-05,2.8999999999999997e-05,2e-06,2e-06,193,-
7,"Aug 18, 2017",3e-06,2.8000000000000003e-05,3e-06,2.8000000000000003e-05,8,-
8,"Aug 17, 2017",4e-06,1.4000000000000001e-05,3e-06,3e-06,8,-
9,"Aug 16, 2017",5e-06,1.2e-05,3e-06,4e-06,67,-
10,"Aug 15, 2017",5e-06,9e-06,4e-06,5e-06,81,-
11,"Aug 14, 2017",6e-06,1.4000000000000001e-05,5e-06,5e-06,16,-
12,"Aug 13, 2017",3.7e-05,3.9e-05,6e-06,6e-06,2,-
13,"Aug 12, 2017",1.7e-05,3.7e-05,1.6e-05,3.7e-05,10,-
14,"Aug 11, 2017",3.4e-05,3.5e-05,8e-06,1.7e-05,11,-
15,"Aug 10, 2017",3.1e-05,3.4e-05,3.1e-05,3.4e-05,20,-
16,"Aug 09, 2017",6e-06,3.1e-05,5e-06,3.1e-05,8,-
17,"Aug 08, 2017",3.4e-05,3.4e-05,5e-06,6e-06,17,-
18,"Aug 07, 2017",1.9e-05,3.4e-05,1.8e-05,3.4e-05,112,-
19,"Aug 06, 2017",1.2e-05,2.1e-05,1.2e-05,1.9e-05,4,-
20,"Aug 05, 2017",8e-06,1.4000000000000001e-05,5e-06,1.2e-05,10,-
21,"Aug 04, 2017",7.000000000000001e-06,2.5e-05,7.000000000000001e-06,8e-06,26,-
22,"Aug 03, 2017",1.6e-05,2.6000000000000002e-05,7.000000000000001e-06,7.000000000000001e-06,1,-
23,"Aug 02, 2017",1.1e-05,1.9e-05,1.1e-05,1.6e-05,32,-
24,"Aug 01, 2017",1.4000000000000001e-05,2.8000000000000003e-05,8e-06,1.1e-05,7,-
25,"Jul 31, 2017",1.3000000000000001e-05,2.5e-05,1.2e-05,1.4000000000000001e-05,3,-
26,"Jul 30, 2017",2.7000000000000002e-05,2.7000000000000002e-05,1.3000000000000001e-05,1.3000000000000001e-05,3,-
27,"Jul 29, 2017",2.6000000000000002e-05,2.7000000000000002e-05,2e-05,2.7000000000000002e-05,4,-
28,"Jul 28, 2017",2.6000000000000002e-05,2.7000000000000002e-05,2.5e-05,2.6000000000000002e-05,13,-
29,"Jul 27, 2017",9e-06,2.6000000000000002e-05,6e-06,2.5e-05,28,-
30,"Jul 26, 2017",2.1e-05,2.1e-05,8e-06,9e-06,25,-
31,"Jul 25, 2017",2.6000000000000002e-05,2.7000000000000002e-05,1.7e-05,2.1e-05,9,-
32,"Jul 24, 2017",1.4999999999999999e-05,2.7000000000000002e-05,7.000000000000001e-06,2.6000000000000002e-05,307,-
33,"Jul 23, 2017",2.8000000000000003e-05,2.8999999999999997e-05,9e-06,1.4999999999999999e-05,8,-
34,"Jul 22, 2017",2.4e-05,2.8000000000000003e-05,2.4e-05,2.8000000000000003e-05,100,-
35,"Jul 21, 2017",2.5e-05,2.7000000000000002e-05,1.1e-05,2.4e-05,16,-
36,"Jul 20, 2017",2.3e-05,2.6000000000000002e-05,2.3e-05,2.4e-05,16,-
37,"Jul 19, 2017",2.2e-05,2.3e-05,2e-05,2.3e-05,73,-
38,"Jul 18, 2017",2e-05,2.3e-05,2e-05,2.2e-05,73,-
39,"Jul 17, 2017",1.9e-05,2.1e-05,1.7e-05,2e-05,55,-
40,"Jul 16, 2017",1.9e-05,2e-05,1.8e-05,1.9e-05,627,-
41,"Jul 15, 2017",2.1e-05,2.1e-05,1.9e-05,1.9e-05,434,-
42,"Jul 14, 2017",2.3e-05,2.3e-05,2.1e-05,2.1e-05,310,-
43,"Jul 13, 2017",2.4e-05,2.4e-05,2.2e-05,2.3e-05,33,-
44,"Jul 12, 2017",2.2e-05,2.4e-05,2.2e-05,2.4e-05,212,-
45,"Jul 11, 2017",2.2e-05,2.3e-05,2.1e-05,2.2e-05,664,-
46,"Jul 10, 2017",2.1e-05,2.2e-05,1.4000000000000001e-05,2.2e-05,152,-
47,"Jul 09, 2017",2.5e-05,2.5e-05,2.1e-05,2.1e-05,295,-
48,"Jul 08, 2017",2.5e-05,2.5e-05,2.4e-05,2.5e-05,307,-
49,"Jul 07, 2017",2.4e-05,2.5e-05,2.1e-05,2.5e-05,1018,-
50,"Jul 06, 2017",2.3e-05,2.5e-05,2.3e-05,2.4e-05,163,-
51,"Jul 05, 2017",2.5e-05,2.5e-05,1.6e-05,2.3e-05,126,-
52,"Jul 04, 2017",1.7e-05,2.5e-05,1.7e-05,2.5e-05,18,-
53,"Jul 03, 2017",2e-05,2.1e-05,1.7e-05,1.7e-05,34,-
54,"Jul 02, 2017",1.9e-05,2.1e-05,1.4999999999999999e-05,2e-05,105,-
55,"Jul 01, 2017",1.4000000000000001e-05,1.9e-05,1.2e-05,1.9e-05,36,-
56,"Jun 30, 2017",1.9e-05,2.4e-05,1.4000000000000001e-05,1.4000000000000001e-05,319,-
57,"Jun 29, 2017",2e-05,2.1e-05,1.4000000000000001e-05,1.9e-05,137,-
58,"Jun 28, 2017",2.5e-05,2.5e-05,2.1e-05,2.1e-05,614,-
59,"Jun 27, 2017",2.2e-05,2.5e-05,1.9e-05,2.5e-05,402,-
60,"Jun 26, 2017",2.7000000000000002e-05,2.7000000000000002e-05,2.2e-05,2.2e-05,1237,-
61,"Jun 25, 2017",2.5e-05,2.9999999999999997e-05,2.4e-05,2.7000000000000002e-05,768,-
62,"Jun 24, 2017",2.4e-05,0.000135,2.1e-05,2.5e-05,853,-
63,"Jun 23, 2017",2.5e-05,3.2e-05,2.4e-05,2.4e-05,421,-
64,"Jun 22, 2017",2e-05,2.5e-05,1.7e-05,2.5e-05,1249,-
65,"Jun 21, 2017",1.2e-05,2.1e-05,1.2e-05,2e-05,145,-
66,"Jun 20, 2017",2.3e-05,2.5e-05,1.2e-05,1.2e-05,211,-
67,"Jun 19, 2017",1.9e-05,2.3e-05,1.9e-05,2.3e-05,266,-
68,"Jun 18, 2017",2.5e-05,2.5e-05,1.9e-05,1.9e-05,133,-
69,"Jun 17, 2017",2.1e-05,2.5e-05,2.1e-05,2.5e-05,840,-
70,"Jun 16, 2017",2.2e-05,2.3e-05,1.9e-05,2.1e-05,208,-
71,"Jun 15, 2017",2.4e-05,2.5e-05,2.1e-05,2.2e-05,344,-
72,"Jun 14, 2017",2.7000000000000002e-05,2.8000000000000003e-05,2.3e-05,2.4e-05,543,-
73,"Jun 13, 2017",2.6000000000000002e-05,2.8999999999999997e-05,2.6000000000000002e-05,2.7000000000000002e-05,407,-
74,"Jun 12, 2017",2.8999999999999997e-05,2.8999999999999997e-05,2.5e-05,2.6000000000000002e-05,640,-
