,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",227.9,256.83,227.9,237.86,28281900,463553000
1,"Aug 24, 2017",228.12,231.47,225.13,228.11,15371700,462350000
2,"Aug 23, 2017",227.13,238.8,224.99,228.3,19773800,458739000
3,"Aug 22, 2017",239.67,240.24,209.21,227.71,26540900,482352000
4,"Aug 21, 2017",241.22,258.89,231.64,239.06,33202000,483761000
5,"Aug 20, 2017",232.05,250.96,224.8,241.07,30209100,463682000
6,"Aug 19, 2017",201.65,242.61,194.37,233.34,34374700,401504000
7,"Aug 18, 2017",208.93,211.38,200.21,201.01,17564100,414480000
8,"Aug 17, 2017",217.05,237.16,206.91,208.95,16505300,429048000
9,"Aug 16, 2017",211.92,218.01,206.16,216.75,17198100,417382000
10,"Aug 15, 2017",209.94,213.17,199.59,212.17,21171600,411977000
11,"Aug 14, 2017",214.54,216.58,203.64,210.23,18355900,419477000
12,"Aug 13, 2017",223.34,225.51,202.03,214.31,21036100,435089000
13,"Aug 12, 2017",234.22,235.42,219.06,223.31,20015900,454579000
14,"Aug 11, 2017",231.04,234.79,225.66,234.37,18765000,446761000
15,"Aug 10, 2017",242.51,247.29,230.4,230.4,20530400,467188000
16,"Aug 09, 2017",245.89,261.31,231.67,242.9,37956900,471948000
17,"Aug 08, 2017",209.18,255.97,208.04,245.48,39426100,400002000
18,"Aug 07, 2017",206.98,210.31,203.67,208.64,21607900,394300000
19,"Aug 06, 2017",205.52,215.81,205.52,206.3,17480000,390040000
20,"Aug 05, 2017",187.59,214.84,186.24,207.52,25450100,354682000
21,"Aug 04, 2017",188.94,190.13,184.8,186.76,18265500,355864000
22,"Aug 03, 2017",188.93,189.71,182.61,186.84,17505400,354510000
23,"Aug 02, 2017",190.31,194.16,183.47,189.14,28456000,355707000
24,"Aug 01, 2017",172.93,195.17,172.8,192.34,36659900,321995000
25,"Jul 31, 2017",175.48,179.42,169.36,176.32,28589500,325483000
