,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",2.24,2.34,1.87,1.87,148316,4062460
1,"Aug 24, 2017",2.56,2.62,2.05,2.25,290633,4635800
2,"Aug 23, 2017",2.17,2.63,2.09,2.58,421035,3932440
3,"Aug 22, 2017",2.25,2.55,1.7,2.18,650299,4080900
4,"Aug 21, 2017",1.43,2.69,1.4,2.23,1613870,2590200
5,"Aug 20, 2017",1.27,1.46,1.23,1.39,63111,2294150
6,"Aug 19, 2017",1.35,1.4,1.18,1.3,42434,2434520
7,"Aug 18, 2017",1.45,1.51,1.33,1.35,71099,2622960
8,"Aug 17, 2017",1.3,1.62,1.24,1.47,82900,2354680
9,"Aug 16, 2017",1.28,1.35,1.2,1.3,31379,2320710
10,"Aug 15, 2017",1.44,1.47,1.14,1.28,45468,2613000
11,"Aug 14, 2017",1.54,1.62,1.4,1.44,60580,2796040
12,"Aug 13, 2017",1.63,1.69,1.44,1.55,40873,2952740
13,"Aug 12, 2017",1.5,1.76,1.43,1.58,83759,2717550
14,"Aug 11, 2017",1.47,1.71,1.37,1.46,118872,2663350
15,"Aug 10, 2017",1.51,1.58,1.32,1.45,139831,2729530
16,"Aug 09, 2017",1.47,1.89,1.31,1.51,114792,2653440
17,"Aug 08, 2017",1.41,1.5,1.28,1.47,94850,2555760
18,"Aug 07, 2017",1.55,1.58,1.35,1.41,56542,2797260
19,"Aug 06, 2017",1.61,1.67,1.54,1.55,52148,2914490
20,"Aug 05, 2017",1.44,1.75,1.37,1.61,129218,2609350
21,"Aug 04, 2017",1.32,1.93,1.29,1.44,420989,2386000
22,"Aug 03, 2017",1.13,1.38,1.11,1.32,43835,2037680
23,"Aug 02, 2017",1.13,1.19,1.09,1.12,35426,2047780
24,"Aug 01, 2017",1.1,1.32,0.991883,1.15,40352,1995430
25,"Jul 31, 2017",1.2,1.2,1.08,1.1,44901,2165650
26,"Jul 30, 2017",1.23,1.27,1.15,1.2,14263,2220810
27,"Jul 29, 2017",1.19,1.28,1.15,1.28,28557,2156600
28,"Jul 28, 2017",1.33,1.38,1.18,1.2,63492,2415480
29,"Jul 27, 2017",1.33,1.36,1.3,1.33,33978,2412780
30,"Jul 26, 2017",1.3,1.39,1.26,1.33,21067,2357320
31,"Jul 25, 2017",1.72,1.77,1.28,1.3,58254,3112540
32,"Jul 24, 2017",1.71,1.84,1.54,1.72,32317,3098780
33,"Jul 23, 2017",1.92,1.98,1.62,1.66,45496,3479950
34,"Jul 22, 2017",1.49,2.01,1.49,1.92,74212,2700010
35,"Jul 21, 2017",1.48,1.56,1.34,1.49,38145,2670100
36,"Jul 20, 2017",1.3,1.59,1.3,1.5,32471,2346940
37,"Jul 19, 2017",1.25,1.63,1.21,1.34,74773,2254880
38,"Jul 18, 2017",1.2,1.34,1.14,1.25,72509,2169400
