,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",10.05,10.29,9.71,10.07,325964,28583400
1,"Aug 24, 2017",9.65,10.14,9.32,10.06,316137,27381500
2,"Aug 23, 2017",9.27,10.2,9.19,9.61,336436,26232700
3,"Aug 22, 2017",8.97,9.52,8.48,9.3,313099,25320200
4,"Aug 21, 2017",9.77,9.95,8.95,9.16,401079,27515400
5,"Aug 20, 2017",9.28,9.87,9.13,9.72,299338,26073800
6,"Aug 19, 2017",9.11,10.12,8.37,9.29,680138,25536800
7,"Aug 18, 2017",9.25,9.94,8.59,9.07,467480,25851200
8,"Aug 17, 2017",10.58,11.83,8.5,9.26,1053900,29505100
9,"Aug 16, 2017",11.34,11.96,10.36,10.66,1036450,31515600
10,"Aug 15, 2017",10.71,11.87,9.68,11.71,1584920,29685200
11,"Aug 14, 2017",10.08,11.12,10.01,10.77,1141240,27851000
12,"Aug 13, 2017",11.56,11.61,9.48,10.15,1954580,31855200
13,"Aug 12, 2017",11.56,12.44,11.19,11.56,896947,31765900
14,"Aug 11, 2017",12.5,13.12,11.17,11.47,1826210,34251000
15,"Aug 10, 2017",9.96,13.58,9.26,12.56,2985000,27239400
16,"Aug 09, 2017",9.73,10.61,9.66,10.12,1231730,26544400
17,"Aug 08, 2017",8.8,10.52,8.56,9.69,1970660,23912100
18,"Aug 07, 2017",8.13,9.04,7.94,8.74,572513,22058700
19,"Aug 06, 2017",8.91,9.07,8.16,8.16,440581,24124200
20,"Aug 05, 2017",8.72,9.13,8.18,8.89,700040,23510600
21,"Aug 04, 2017",8.6,8.96,8.25,8.72,589967,23118000
22,"Aug 03, 2017",7.48,8.82,7.38,8.6,512876,20058400
23,"Aug 02, 2017",7.09,7.62,6.83,7.54,346321,18960600
24,"Aug 01, 2017",6.71,7.22,6.43,7.09,219257,17912000
25,"Jul 31, 2017",6.52,6.88,6.25,6.71,144347,17370000
26,"Jul 30, 2017",6.75,6.76,6.34,6.52,92747,17937800
27,"Jul 29, 2017",6.67,6.8,6.24,6.75,124399,17668900
28,"Jul 28, 2017",7.08,7.16,6.42,6.68,175202,18722100
29,"Jul 27, 2017",7.01,7.26,6.79,7.08,156878,18473900
30,"Jul 26, 2017",6.95,7.09,6.32,7.08,212184,18272200
31,"Jul 25, 2017",8.18,8.29,6.61,6.87,394663,21468500
32,"Jul 24, 2017",8.18,8.3,7.47,8.18,374005,21394200
33,"Jul 23, 2017",9.45,9.52,7.54,8.13,740538,24652900
34,"Jul 22, 2017",7.81,9.58,7.79,9.45,601642,20308300
35,"Jul 21, 2017",8.05,8.62,7.57,7.77,668193,20885700
36,"Jul 20, 2017",6.87,8.32,6.67,7.96,764915,17788800
37,"Jul 19, 2017",7.19,7.3,6.59,6.81,389190,18569600
38,"Jul 18, 2017",6.31,7.51,6.06,7.12,707446,16241500
39,"Jul 17, 2017",5.64,6.52,5.64,6.3,338728,14499900
40,"Jul 16, 2017",5.75,5.96,5.3,5.59,246906,14715900
41,"Jul 15, 2017",6.44,6.44,5.56,5.75,501894,16422500
42,"Jul 14, 2017",7.15,7.44,6.08,6.48,368630,18192100
43,"Jul 13, 2017",7.81,8.1,6.98,7.15,418751,19805900
44,"Jul 12, 2017",6.99,7.82,6.36,7.77,903696,17681200
45,"Jul 11, 2017",8.27,8.74,6.78,6.95,918083,20853600
46,"Jul 10, 2017",10.05,10.36,7.89,8.27,638235,25263900
47,"Jul 09, 2017",10.87,10.91,9.43,10.04,483694,27257200
48,"Jul 08, 2017",9.82,10.81,8.33,10.71,1109410,24548700
49,"Jul 07, 2017",11.52,11.52,9.78,9.82,1165450,28695300
50,"Jul 06, 2017",11.67,12.08,11.3,11.45,798880,28972500
51,"Jul 05, 2017",11.88,11.93,11.16,11.67,571853,29390500
52,"Jul 04, 2017",11.8,12.39,11.64,11.96,623918,29128000
53,"Jul 03, 2017",11.73,12.23,11.15,11.73,948891,28889200
54,"Jul 02, 2017",11.06,12.0,9.93,11.78,1254320,27147900
55,"Jul 01, 2017",13.21,13.33,11.02,11.14,851375,32305200
56,"Jun 30, 2017",13.57,13.83,13.03,13.1,1040400,33088300
57,"Jun 29, 2017",14.49,15.06,13.01,13.47,1291860,35203400
58,"Jun 28, 2017",12.82,15.9,12.22,14.52,2194600,31083100
59,"Jun 27, 2017",13.15,13.78,11.13,12.51,2304410,31771300
60,"Jun 26, 2017",14.65,15.44,12.4,13.91,2934760,35318600
61,"Jun 25, 2017",16.47,16.84,14.67,14.67,1692860,39568000
62,"Jun 24, 2017",16.79,17.41,14.92,16.47,5869580,40220300
63,"Jun 23, 2017",19.12,19.96,15.92,16.92,4157960,45645400
64,"Jun 22, 2017",17.13,21.08,17.13,19.09,5283570,40767900
65,"Jun 21, 2017",15.6,17.12,14.0,16.94,2792140,37021000
66,"Jun 20, 2017",14.38,16.31,14.32,15.45,2123490,34023900
67,"Jun 19, 2017",16.3,16.84,14.33,14.47,2343800,38442900
68,"Jun 18, 2017",17.24,17.25,15.25,16.29,2071190,40519700
69,"Jun 17, 2017",18.53,19.44,16.76,16.76,2961890,43420800
70,"Jun 16, 2017",13.14,19.27,13.14,18.84,7258650,30671600
71,"Jun 15, 2017",11.45,13.43,10.15,13.02,2847380,26631600
72,"Jun 14, 2017",11.85,12.3,10.29,11.16,2428170,27482100
73,"Jun 13, 2017",10.51,12.34,9.74,11.7,2530410,24299200
74,"Jun 12, 2017",12.94,12.94,9.64,10.31,2844100,29828600
75,"Jun 11, 2017",11.25,14.73,9.42,12.68,8258350,25840100
76,"Jun 10, 2017",7.63,10.99,7.63,10.98,3364130,17455700
77,"Jun 09, 2017",7.39,7.65,7.28,7.58,974374,16848800
78,"Jun 08, 2017",7.09,7.61,6.71,7.38,957448,16114400
79,"Jun 07, 2017",7.29,7.86,6.94,7.18,820051,16515200
80,"Jun 06, 2017",7.93,7.93,7.03,7.29,851169,17898300
81,"Jun 05, 2017",7.09,8.08,7.09,7.86,1569910,15955200
82,"Jun 04, 2017",7.38,7.38,6.98,7.16,447975,16553300
83,"Jun 03, 2017",7.3,7.52,6.8,7.29,875533,16326900
84,"Jun 02, 2017",7.56,7.76,6.85,7.25,1116560,16853100
85,"Jun 01, 2017",8.09,8.42,7.02,7.56,1563280,17982200
86,"May 31, 2017",5.78,8.15,5.57,8.15,2184920,12806400
87,"May 30, 2017",5.79,6.17,5.56,5.77,545206,12796400
88,"May 29, 2017",5.1,6.2,4.81,5.78,924294,11236000
89,"May 28, 2017",5.14,5.59,4.57,5.1,523446,11282800
90,"May 27, 2017",5.15,5.49,4.14,5.15,1174800,11264900
91,"May 26, 2017",5.92,6.71,4.88,5.16,883223,12900800
92,"May 25, 2017",7.44,7.53,5.88,5.96,1490560,16172000
93,"May 24, 2017",8.41,9.2,7.31,7.47,2388460,18219700
94,"May 23, 2017",7.4,8.49,7.4,8.49,2218480,15984200
95,"May 22, 2017",6.2,8.72,5.79,7.52,3868630,13346300
96,"May 21, 2017",5.57,6.48,5.55,6.18,1717270,11935600
97,"May 20, 2017",5.57,5.7,5.39,5.62,677308,11894400
98,"May 19, 2017",5.76,5.94,5.52,5.56,881074,12266100
99,"May 18, 2017",5.49,6.16,5.36,5.75,731080,11641500
100,"May 17, 2017",5.32,5.63,5.16,5.49,431833,11253700
101,"May 16, 2017",5.34,5.63,5.19,5.32,274522,11252500
102,"May 15, 2017",5.56,5.56,5.19,5.34,260756,11687500
103,"May 14, 2017",5.86,5.9,5.44,5.57,336968,12255900
104,"May 13, 2017",5.35,6.42,4.94,5.85,787247,11145000
105,"May 12, 2017",5.4,6.08,5.22,5.36,583094,11213600
106,"May 11, 2017",5.94,5.94,4.86,5.45,971481,12291200
107,"May 10, 2017",6.3,6.49,5.67,5.94,1183620,12984900
108,"May 09, 2017",7.0,7.89,5.69,6.35,3226130,14385700
109,"May 08, 2017",6.7,7.89,6.45,6.93,2489240,13740900
110,"May 07, 2017",6.8,6.95,6.3,6.62,1091020,13905000
111,"May 06, 2017",7.01,7.08,6.34,6.8,1073150,14285200
