,Date,Open,High,Low,Close,Volume,Market Cap
0,"Aug 25, 2017",4.8e-05,7.5e-05,4.8e-05,6.3e-05,514,1756200
1,"Aug 24, 2017",7e-05,7.6e-05,4.3e-05,4.8e-05,1141,2601400
2,"Aug 23, 2017",7.4e-05,8.4e-05,5.5e-05,7e-05,2116,2736580
3,"Aug 22, 2017",7.7e-05,7.7e-05,4.6e-05,7.5e-05,3232,2855310
4,"Aug 21, 2017",7.4e-05,7.8e-05,4.1e-05,7.7e-05,989,2745040
5,"Aug 20, 2017",7e-05,7.900000000000001e-05,4.2e-05,7.5e-05,1008,2579440
6,"Aug 19, 2017",7.2e-05,7.2e-05,4.8e-05,7e-05,1449,2679610
7,"Aug 18, 2017",7.900000000000001e-05,8.499999999999999e-05,4.4e-05,7.2e-05,1242,2938250
8,"Aug 17, 2017",6.6e-05,8.3e-05,4.8e-05,8e-05,3118,2428830
9,"Aug 16, 2017",6.6e-05,7.900000000000001e-05,5.9e-05,6.6e-05,1237,2424510
10,"Aug 15, 2017",8.9e-05,9.7e-05,5.7999999999999994e-05,7.8e-05,699,3303950
11,"Aug 14, 2017",7.099999999999999e-05,8.9e-05,4.8e-05,8.9e-05,5799,2620900
12,"Aug 13, 2017",7.8e-05,8.1e-05,5.3e-05,7e-05,2374,2900800
13,"Aug 12, 2017",6.6e-05,8.2e-05,5.2000000000000004e-05,7.900000000000001e-05,6768,2442570
14,"Aug 11, 2017",6.6e-05,7e-05,4.5e-05,6.6e-05,3244,2432240
15,"Aug 10, 2017",5.4000000000000005e-05,9e-05,5.4000000000000005e-05,6.6e-05,3477,1978000
16,"Aug 09, 2017",5.9999999999999995e-05,6.7e-05,3.8e-05,5.4000000000000005e-05,2425,2207450
17,"Aug 08, 2017",5.9999999999999995e-05,6.9e-05,4.4e-05,5.9999999999999995e-05,3949,2227370
18,"Aug 07, 2017",6.4e-05,6.8e-05,3.7e-05,5.9999999999999995e-05,617,2349040
19,"Aug 06, 2017",6.6e-05,7e-05,4e-05,6.4e-05,4758,2423400
20,"Aug 05, 2017",7.900000000000001e-05,8.1e-05,3.3e-05,6.6e-05,4985,2919120
21,"Aug 04, 2017",5.6000000000000006e-05,8.6e-05,3.7e-05,7.900000000000001e-05,1479,2063580
22,"Aug 03, 2017",5.6000000000000006e-05,8.4e-05,5.5e-05,5.6000000000000006e-05,5381,2054500
23,"Aug 02, 2017",2.8999999999999997e-05,5.9e-05,2.8999999999999997e-05,5.5e-05,931,1081220
24,"Aug 01, 2017",4.8e-05,5.9999999999999995e-05,2.8999999999999997e-05,2.8999999999999997e-05,1587,1758940
25,"Jul 31, 2017",5.5e-05,5.9e-05,4.7e-05,4.7e-05,804,2027620
26,"Jul 30, 2017",5.6000000000000006e-05,8.2e-05,5.4000000000000005e-05,5.5e-05,4025,2055990
27,"Jul 29, 2017",7.5e-05,8.2e-05,5.1e-05,5.6000000000000006e-05,4373,2755870
28,"Jul 28, 2017",5.5e-05,8.1e-05,5.5e-05,7.5e-05,2032,2015950
29,"Jul 27, 2017",5.1e-05,7.7e-05,5.1e-05,5.4000000000000005e-05,2496,1867170
30,"Jul 26, 2017",7.3e-05,7.6e-05,5e-05,5e-05,8167,2675960
31,"Jul 25, 2017",7.5e-05,8e-05,5e-05,7.2e-05,2059,2751150
32,"Jul 24, 2017",8.2e-05,8.3e-05,5.4000000000000005e-05,7.5e-05,580,3029400
33,"Jul 23, 2017",8.1e-05,8.3e-05,5.5e-05,8.2e-05,2674,3007200
34,"Jul 22, 2017",7.900000000000001e-05,8.499999999999999e-05,5.6999999999999996e-05,8.2e-05,1515,2908410
35,"Jul 21, 2017",7.900000000000001e-05,8e-05,5.4000000000000005e-05,7.900000000000001e-05,4255,2930080
36,"Jul 20, 2017",5.3e-05,8.1e-05,4.9e-05,7.900000000000001e-05,2026,1963800
37,"Jul 19, 2017",6.500000000000001e-05,8e-05,5.3e-05,5.3e-05,2257,2396590
38,"Jul 18, 2017",5.9e-05,6.8e-05,4.4e-05,6.500000000000001e-05,2243,2158460
39,"Jul 17, 2017",5.4000000000000005e-05,6.1e-05,4.3e-05,5.7999999999999994e-05,1427,1986250
40,"Jul 16, 2017",5.7999999999999994e-05,5.9999999999999995e-05,3.7e-05,5.4000000000000005e-05,4891,2130250
41,"Jul 15, 2017",6.6e-05,6.6e-05,4.1e-05,5.7999999999999994e-05,863,2411270
42,"Jul 14, 2017",4.9e-05,7e-05,4.5e-05,6.6e-05,2082,1796420
43,"Jul 13, 2017",6.3e-05,7e-05,4.8e-05,4.9e-05,4080,2327150
44,"Jul 12, 2017",6.8e-05,7.7e-05,6.2e-05,6.3e-05,1580,2485270
45,"Jul 11, 2017",5.3e-05,6.9e-05,4.9e-05,6.8e-05,1119,1954000
46,"Jul 10, 2017",8.3e-05,8.4e-05,5.1e-05,5.3e-05,945,3067560
47,"Jul 09, 2017",9.1e-05,9.2e-05,7.5e-05,8.3e-05,1743,3356640
48,"Jul 08, 2017",7.900000000000001e-05,9e-05,7.2e-05,8.8e-05,2408,2888980
49,"Jul 07, 2017",8.6e-05,8.6e-05,5.2000000000000004e-05,8.2e-05,5698,3150710
50,"Jul 06, 2017",0.00010700000000000001,0.00010700000000000001,6.9e-05,8.6e-05,7712,3940540
51,"Jul 05, 2017",0.00011399999999999999,0.00011499999999999999,7.6e-05,0.00010700000000000001,6778,4187410
52,"Jul 04, 2017",8.6e-05,0.00011399999999999999,8e-05,0.00011399999999999999,5333,3176180
53,"Jul 03, 2017",9.6e-05,0.000101,7.6e-05,8.7e-05,19540,3527570
